"%s codes deleted","%s x Code gelöscht"
"%s codes imported","%s x Codes importiert"
"%s codes not imported","%s x Codes nicht importiert"
"%s product in feed.","%s product in feed."
"%s product not in feed.","%s product not in feed."
"Add new","Anlegen"
"Attrib. Set Name","Attrib. Set Name"
"Attributes map","Attributes map"
"Cron Frequency","Cron Frequency"
"Cron Hour","Cron Hour"
"Delete","Löschen"
"Eav code","Eav code"
"FTP Password","FTP Passwort"
"FTP Path","FTP Pfad"
"FTP Server","FTP Server"
"FTP Settings","FTP Einstellungen"
"FTP User","FTP User"
"FTP: Can't delete files","FTP: Dateien konnten nicht gelöscht werden"
"Feed","Feed"
"Feed code","Feed Code"
"ID","ID"
"Import","Import"
"Import attribute map","Import Attribut Karte"
"Import code","Import Code"
"In feed","In feed"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href="https://merchant.thefind.com/mc/claim.fhtml">here</a> to get started.","In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href="https://merchant.thefind.com/mc/claim.fhtml">here</a> to get started."
"Is imported","Is imported"
"Item params","Artiekleigenschaften"
"Manage attributes","Attribute verwalten"
"Manage items","Artikel verwalten"
"Not import","Nicht importiert"
"Not publish","Nicht veröffentlicht"
"Price","Preis"
"Product Name","Artikelname"
"Product import","Artikelimport"
"Publish","Veröffentlichen"
"SKU","Artikelnummer"
"Settings","Einstellungen"
"The Find","The Find"
"TheFind Feed Filename","TheFind Feed Dateiname"
"TheFind feed","TheFind feed"
"Type","Art"
"Unable to process an import. ","Import nicht möglich. "
"Update TheFind Item when Product is Updated","TheFind Artikel aktualisieren wenn der Artikel aktualisiert wird"
