"Access denied.","Zugriff verweigert."
"Can not find webservice adapter.","Web Service-Adapter wurde nicht gefunden."
"Client Session Timeout (sec.)","Client Session Zeitüberschreitung (Sek.)"
"Default Response Charset","Standard-Schriftsatz für Antwort"
"Email","eMail"
"Enable WSDL Cache","WSDL Cache aktivieren"
"General Settings","Allgemeine Einstellungen"
"Invalid webservice adapter specified.","Ungültiger Webservice Adapter angegeben"
"Invalid webservice handler specified.","Ungültiger Webservice Handler angegeben"
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Berechtigungen"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Benutzer"
"Unable to login.","Login fehlgeschlagen."
"User Name","Benutzername"
"WS-I Compliance","WS-I Konformität"
"Web Services","Web Services"
"Your account has been deactivated.","Ihr Benutzerkonto wurde deaktviert."
