"Action","Aktion"
"An error occurred while creating the backup.","Beim Anlegen der Sicherung ist ein Fehler aufgetreten."
"An error occurred while writing to the backup file ""%s"".","Beim Erstellen der Sicherungsdatei ""%s"" ist ein Fehler aufgetreten."
"Are you sure you want to delete the selected backup(s)?","Sind Sie sicher, dass Sie die ausgewählten Sicherungen löschen möchten?"
"Backup Type","Art der Sicherung"
"Backup file ""%s"" cannot be read from or written to.","Sicherungsdatei ""%s"" kann nicht gelesen oder geschrieben werden."
"Backup file ""%s"" does not exist.","Sicherungsdatei ""%s"" existiert nicht."
"Backup file does not exist.","Sicherungsdatei existiert nicht"
"Backup file handler was unspecified.","Sicherungsdatei-Handler wurde nicht spezifiziert."
"Backup file not found","Sicherungsdatei nicht gefunden"
"Backup file path was not specified.","Dateipfad für die Sicherungsdateien wurde nicht spezifiziert."
"Backups","Sicherungen"
"Cannot read backup file.","Sicherungsdatei konnte nicht gelesen werden."
"Create Backup","Sicherung erstellen"
"Database Backup","Nur Datenbank sichern"
"Database and Media Backup","Datenbank und Medienordner sichern"
"Database was successfuly backed up.","Datenbank wurde erfolgreich gesichert."
"Download","Herunterladen"
"Enable Scheduled Backup","Geplante Sicherungen aktivieren"
"Failed to connect to FTP","FTP-Verbindung fehlgeschlagen"
"Failed to delete one or several backups.","Beim Löschen einer oder mehrerer Sicherungen trat ein Fehler auf."
"Failed to rollback","Wiederherstellung fehlgeschlagen"
"Failed to validate FTP","FTP-Prüfung fehlgeschlagen"
"Frequency","Häufigkeit"
"Invalid Password.","Ungültiges Passwort."
"Maintenance Mode","Wartungsmodus"
"Name","Name"
"Not enough free space to create backup.","Nicht genügend Speicherplatz zum Erstellen einer Sicherung"
"Not enough permissions to create backup.","Keine ausreichende Rechte zum Erstellen einer Sicherung"
"Not enough permissions to perform rollback","Keine ausreichende Rechte zum Wiederherstellen einer Sicherung"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","Bitte wählen Sie entweder die Option ""Shop in den Wartungsmodus versetzen"" ab oder passen Sie Ihre Berechtigung an, um mit dem Backup fortzufahren."
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","Bitte wählen Sie entweder die Option ""Shop in den Wartungsmodus versetzen"" ab oder passen Sie Ihre Berechtigung an, um mit der Wiederherstellung fortzufahren."
"Put store on the maintenance mode while backup's creation","Shop in den Wartungsmodus versetzen"
"Rollback","Wiederherstellung"
"Scheduled Backup Settings","Einstellungen für geplante Sicherungen"
"Size, Bytes","Größe in Bytes"
"Start Time","Startzeit"
"System Backup","System sichern"
"System couldn't put store on the maintenance mode","Der Shop konnte nicht in den Wartungsmodus versetzt werden"
"The database and media backup has been created.","Datenbank und Medienordner wurden gesichert."
"The database backup has been created.","Datenbank wurde gesichert."
"The file was compressed with Zlib, but this extension is not installed on server.","Die Datei ist Zlib komprimiert. Diese Erweiterung ist jedoch auf dem Server nicht installiert."
"The selected backup(s) has been deleted.","Die ausgewählten Sicherungen wurden gelöscht."
"The system (excluding Media) backup has been created.","System (ohne Medienordner) wurde gesichert."
"The system backup has been created.","Die Sicherung wurde angelegt."
"Time","Zeit"
"Type","Art"
"Unable to create backup. Please, try again later.","Fehler beim Erstellen der Sicherung. Bitte versuchen Sie es später nocheinmal."
"Unable to save the cron expression.","Cron-Werte konnten nicht gespeichert werden."
"Wrong order of creation for new backup.","Falsche Erstellungsreihenfolge für neues Backup."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Sie haben keine ausreichende Berechtigung um den Wartungsmodus zu aktivieren."
