"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure Kartenüberprüfung"
"3D Secure Cardholder Validation","3D Secure Karteninhaberprüfung"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indikator"
"3D Secure Verification Result","3D Secure Prüfungsergebnis"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Kartenaussteller Verantwortlichkeit"
"Card Verification","Kartenprüfung"
"Enrolled","Eingeschrieben"
"Enrolled but Authentication Unavailable","Eingeschrieben aber Authentifikation nicht verfügbar"
"Failed","fehlgeschlagen"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Händler Belastung"
"Not Enrolled","Nicht Eingeschrieben"
<<<<<<< HEAD:app/locale/de_CH/Mage_Centinel.csv
"Order cannot be placed.","Bestellung kann nicht abgeschlossen werden."
"Payment information error. Please start over.","Zahlungsinformation-Fehler. Bitte noch einmal versuchen."
"Please continue with placing order.","Bitte fahren Sie fort, indem Sie die Bestellung abschliessen."
"Please verify the card with the issuer bank before placing the order.","Bitte verifizieren Sie sich mit der Karte bei der ausstellenden Bank bevor Sie die Bestellung abschliessen."
"Please verify the card with the issuer bank:","Bitte verifizieren Sie sich bei der ausstellenden Bank:"
"Start/Reset Validation...","Validierung Starten/Zurücksetzen..."
=======
"Order cannot be placed.","Bestellung kann nicht aufgegeben werden."
"Payment information error. Please start over.","Fehler in den Zahlungsinformationen. Bitte noch einmal versuchen."
"Please continue with placing order.","Bitte fahren Sie fort, indem Sie die Bestellung aufgeben."
"Please verify the card with the issuer bank before placing the order.","Bitte lassen Sie die Karte bei der ausstellenden Bank überprüfen, bevor Sie die Bestellung aufgeben."
"Please verify the card with the issuer bank:","Bitte lassen Sie die Karte bei der ausstellenden Bank überprüfen:"
"Start/Reset Validation...","Gültigkeitsprüfung beginnen/zurücksetzen..."
>>>>>>> upstream/master:app/locale/de_DE/Mage_Centinel.csv
"Successful","Erfolgreich"
"Successful attempt","Erfolgreicher Versuch"
"The card has failed verification with the issuer bank.","Die Überprüfung der Karte bei der ausstellenden Bank ist fehlgeschlagen."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Falsche Zahlungsinformationen wurden übermittelt oder die Zeit wurde überschritten. Bitte versuchen Sie es erneut."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Falsche Zahlungsinformationen wurden übermittelt oder die Zeit wurde überschritten. Bitte versuchen Sie es erneut."
"This card has failed validation and cannot be used.","Diese Karte ist ungültig und kann nicht verwendet werden."
"To ensure the security of your transactions","Um die Sicherheit Ihrer Transaktionen zu wahren"
<<<<<<< HEAD:app/locale/de_CH/Mage_Centinel.csv
"Unable to complete","Nicht möglich abzuschliessen"
"Validation failed.","Validierung fehlgeschlagen."
"Verification Failed","Verifikation fehlgeschlagen"
"Verification Successful","Verifikation erfolgreich"
"Verification cannot be processed","Verifikation kann nicht verarbeitet werden"
"Verified by Visa","Verifiziert von Visa"
"The card has failed verification with issuer bank.","Die Karte hat die Verifikation mit der ausstellenden Bank nicht bestanden."
=======
"Unable to complete","Vorgang konnte nicht abgeschlossen werden"
"Validation failed.","Überprüfung fehlgeschlagen."
"Verification Failed","Überprüfung fehlgeschlagen"
"Verification Successful","Überprüfung erfolgreich"
"Verification cannot be processed","Überprüfung kann nicht durchgeführt werden"
"Verified by Visa","Von Visa überprüft"
>>>>>>> upstream/master:app/locale/de_DE/Mage_Centinel.csv
