"%s %s %s - %s. %s. %s","%s %s %s - %s. %s. %s"
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Kartenüberprüfung"
"API Login ID","API Login ID"
"Accepted Currency","Akzeptierte Währung"
"Allow Partial Authorization","Allow Partial Authorization"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment."
"Authorize Only","Nur autorisieren"
"Authorize and Capture","Autorisieren und Erfassen"
"Authorize.Net Transaction ID %s","Authorize.Net Transaction ID %s"
"Authorize.net","Authorize.net"
"Cancel","Stornieren"
"Centinel Api URL","Centinel Api URL"
"Credit Card Types","Kreditkartentypen"
"Credit Card Verification","Kreditkartenüberprüfung"
"Credit Card: xxxx-%s","Kreditkarte: xxxx-%s"
"Debug","Debug"
"Email Customer","Kunden E-Mail Adresse"
"Enabled","Aktiviert"
"Error in payment gateway.","Fehler im Payment Geteway."
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s)."
"Gateway error: %s","Gateway Fehler: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement."
"Invalid amount for authorization.","Ungültiger Betrag für die Autorisation."
"Invalid amount for capture.","Invalid amount for capture."
"Invalid amount for partial authorization.","Invalid amount for partial authorization."
"Invalid amount for refund.","Invalid amount for refund."
"Invalid split tenderId ID.","Invalid split tenderId ID."
"Maximum Order Total","Höchstbestellwert"
"Merchant's Email","Verkäufer E-Mail"
"Minimum Order Total","Mindestbestellwert"
"New Order Status","Neuer Bestellstatus"
"Payment Action","Zahlungsaktion"
"Payment authorization error.","Fehler beim Autorisieren der Zahlung."
"Payment canceling error.","Payment canceling error."
"Payment capturing error.","Payment capturing error."
"Payment from Applicable Countries","Zahlung aus zugelassenen Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Payment partial authorization error.","Payment partial authorization error."
"Payment refunding error.","Payment refunding error."
"Payment voiding error.","Payment voiding error."
"Processed Amount","Processed Amount"
"Remaining Balance","Remaining Balance"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Shopping cart contents and/or address has been changed.","Shopping cart contents and/or address has been changed."
"Sort Order","Reihenfolge"
"Test Mode","Test Modus"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel."
"There was an error canceling transactions. Please contact us or try again later.","There was an error canceling transactions. Please contact us or try again later."
"Title","Titel"
"Transaction Key","Transaktionsschlüssel"
"You have reached the maximum number of credit card allowed to be used for the payment.","You have reached the maximum number of credit card allowed to be used for the payment."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents."
"Your payment has been cancelled. All authorized amounts have been released.","Your payment has been cancelled. All authorized amounts have been released."
"amount %s","amount %s"
"authorize","authorize"
"authorize and capture","authorize and capture"
"capture","capture"
"failed","failed"
"refund","refund"
"successful","successful"
"void","void"
"Error in capturing the payment","Fehler beim Erfassen der Zahlung"
"Error in payment gateway","Fehler in der Zahlungsschnittstelle"
"Error in refunding the payment.","Fehler beim Erstatten der Zahlung."
"Gateway request error: %s","Gateway Anfragefehler: %s"
"Invalid transaction ID.","Ungültige Transaktionskennung"
"Payment authorization transaction has been declined.","Zahlungsautorisation - Transaktion wurde abgelehnt."
