"Action","Aktion"
"Add Sitemap","Sitemap hinzufügen"
"Always","Immer"
"CMS Pages Options","CMS Seitenoptionen"
"Categories Options","Kategorieoptionen"
"Daily","täglich"
"Edit Sitemap","Sitemap bearbeiten"
"Enabled","Aktiviert"
"Error Email Recipient","Fehler E-Mail Empfänger"
"Error Email Sender","Fehler E-Mail Absender"
"Error Email Template","Fehler E-Mail Vorlage"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Datei ""%s"" kann nicht gespeichert werden. Bitte stellen Sie sicher, dass das Verzeichnis ""%s"" vom Webserver beschreibbar ist."
"Filename","Dateiname"
"Frequency","Häufigkeit"
"Generate","Erstellen"
"Generation Settings","Einstellungen für die Erstellung"
"Google Sitemap","Google Sitemap"
"Hourly","Stündlich"
"ID","ID"
"Last Time Generated","Zuletzt erzeugt"
"Link for Google","Link für Google"
"Monthly","Monatlich"
"Never","Niemals"
"New Sitemap","Neue Sitemap"
"Path","Pfad"
"Please create the specified folder ""%s"" before saving the sitemap.","Bitte legen Sie den Ordner ""%s"" an, bevor Sie die Sitemap speichern."
"Please define correct path","Bitte geben Sie den korrekten Pfad an"
"Please make sure that ""%s"" is writable by web-server.","Bitte stellen Sie sicher, dass ""%s"" vom Webserver geschrieben werden kann."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Bitte verwenden Sie nur die Zeichen (a-z oder A-Z), Ziffern (0-9) oder den Unterstrich (_) in Dateinamen. Andere Zeichen (auch Leerzeichen) sind nicht erlaubt."
"Priority","Priorität"
"Products Options","Artikeloptionen"
"Sitemap","Sitemap"
"Sitemap generate Warnings","Warnungen bei der Sitemaperstellung"
"Start Time","Startzeit"
"Store View","StoreView"
"The priority must be between 0 and 1.","Die Priorität muss zwischen 0 und 1 liegen."
"The sitemap ""%s"" has been generated.","Die Sitemap ""%s"" wurde erstellt."
"The sitemap has been deleted.","Die Sitemap wurde gelöscht."
"The sitemap has been saved.","Die Sitemap wurde gespeichert."
"This sitemap no longer exists.","Die Sitemap existiert nicht mehr."
"Unable to find a sitemap to delete.","Es wurde keine Sitemap zum Löschen gefunden."
"Unable to find a sitemap to generate.","Es wurde keine Sitemap zum Erstellen gefunden."
"Unable to generate the sitemap.","Fehler beim Anlegen der Sitemap."
"Valid values range: from 0.0 to 1.0.","Gültige Werte: von 0.0 bis 1.0."
"Weekly","wöchentlich"
"Yearly","jährlich"
