" was not delivered nor scanned","wurde weder zugestellt noch eingescannt"
"1 Day Freight","1 Tag Fracht"
"2 Day Freight","2 Tage Fracht"
"2Day","2 Tage"
"2nd Day Air","2. Tag Luftpost"
"2nd Day Air AM","2. Tag Luftpost Vormittags"
"2nd Day Air AM Letter","2. Tag Luftpost Vormittags Briefsendung"
"2nd Day Air Letter","2. Tag Luftpost Briefsendung"
"3 Day Freight","3 Tage Fracht"
"3 Day Select","3 Tage Select"
"Access ID","Zugangsnummer"
"Access License Number","Zugangslizenznummer"
"Account ID","Kundenkontokennung"
"Account Number","Kundenkonto Nummer"
"Additional Protection Configuration Value","Zusätzliche Absicherung Konfigurationswert"
"Additional Protection Enabled","Zusätzliche Absicherung aktiviert"
"Additional Protection Min Subtotal","Zusätzliche Absicherung Mindestzwischensumme"
"Additional Protection Value","Zusätzliche Absicherung Wert"
"Additional Protection Value Rounding Method","Zusätzliche Absicherung Rundungsmethode für Wert"
"All Services","Alle Dienstleistungen"
"Allowed Methods","Erlaubte Methoden"
"Bound Printed Matter","Gebundene Drucksache"
"Business Service Center","Geschäftskundenservicezentrum"
"Calculate Handling Fee","Bearbeitungsgebühr berechnen"
"Canada Standard","Kanada Standard"
"Cannot retrieve shipping rates","Versandkosten konnten nicht abgefragt werden"
"Commercial","Geschäftlich"
"Configuration","Konfiguration"
"Container","Verpackungsart"
"Customer Packaging","Kundenverpackung"
"DHL","DHL"
"Debug","Debug"
"Default Package Height","Standard Verpackungshöhe"
"Default Package Length","Standard Verpackungslänge"
"Default Package Width","Standard Verpackungsbreite"
"Delivered","Zugestellt"
"Destination Type","Anlieferung / Zustellung"
"Development","Entwicklung"
"Displayed Error Message","Angezeigte Fehlermeldung"
"Domestic Shipment Days","National Versandtage"
"Drop Box","Briefkasten"
"Dropoff","Einwurf"
"Empty response","Leere Rückmeldung"
"Enable Negotiated Rates","Vereinbarte Kosten aktivierten"
"Enabled","Aktiviert"
"Enables/Disables SSL verification of Magento server by UPS.","Enables/Disables SSL verification of Magento server by UPS."
"Error #%s : %s (%s)","Fehler #%s : %s (%s)"
"Error #%s: %s","Fehler #%s: %s"
"Europe First Priority","Europa höchste Priorität"
"Express","Express"
"Express 10:30 AM","Express bis 10:30 Uhr"
"Express Mail","Express Mail"
"Express Saturday","Express Samstagszustellung"
"Express Saver","Express Saver"
"Failed to parse xml document: %s","Überprüfung des XML-Dokuments fehlgeschlagen: %s"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Box","FedEx Box"
"FedEx Envelope","FedEx Brief"
"FedEx Pak","FedEx Paket"
"FedEx Tube","FedEx Röhre"
"First Overnight","Erste Klasse über Nacht"
"First-Class","Erste Klasse"
"Flat","Festkosten"
"Flat-Rate Box","Festkosten Box"
"Flat-Rate Envelope","Festkosten Umschlag"
"Free Method","Freie Art"
"Free Shipping with Minimum Order Amount","Versandkostenfrei ab"
"Gateway URL","Gateway URL"
"Gateway XML URL","Gateway XML URL"
"Ground","Erdgeschoss"
"Ground Commercial","Erdgeschoss Geschäftlich"
"Ground Residential","Erdgeschoss Privatanschrift"
"Handling Applied","Bearbeitungsgebühr hinzugefügt"
"Handling Fee","Bearbeitungsgebühr"
"Home Delivery","Lieferung frei Haus"
"International Economy","International Economy"
"International Express","International Express"
"International First","International Erste Klasse"
"International Priority","International Priorität"
"International Shipment Days","International Versandtage"
"Intl Economy Freight","International Economy Fracht"
"Intl Priority Freight","International Priority Fracht"
"Invalid DHL XML code for type %s: %s.","Invalid DHL XML code for type %s: %s."
"Invalid DHL XML code type: %s.","Invalid DHL XML code type: %s.""
"Invalid FedEx XML code for type %s: %s","Ungültiger FedEx XML Code für Typ %s: %s"
"Invalid FedEx XML code type: %s","Ungültiger FedEx XML Codetyp: %s"
"Invalid UPS CGI code for type %s: %s","Ungültiger UPS CGI Code für Typ %s: %s"
"Invalid UPS CGI code type: %s","Ungültiger UPS CGI Codetyp : %s"
"Kilograms","Kilogramm"
"Large","Groß"
"Letter","Brief"
"Library","Sammlung"
"Live","Live"
"Machinable","Maschinenverarbeitbar"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Höchstgewicht pro Sendung (Bitte erfragen Sie diese Angabe bei Ihrem Versanddienstleister)"
"Media Mail","Media Mail"
"Minimum Order Amount for Free Shipping","Mindestbestellwert für versandkostenfreie Lieferung"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Minimales Verpackungs-Gewicht (Bitte fragen Sie bei Ihrem Versandpartner nach dem kleinsmöglichen Gewicht für eine Sendung)"
"Mode","Modus"
"Next Afternoon","Nächsten Nachmittag"
"Next Day Air","Nächster Tag Luftpost"
"Next Day Air Early AM","Nächster Tag Luftpost früher Vormittag"
"Next Day Air Early AM Letter","Nächster Tag Luftpost früher Vormittag Briefsendung"
"Next Day Air Intra (Puerto Rico)","Nächster Tag Luftpost Intra (Puerto Rico)"
"Next Day Air Letter","Nächster Tag Luftpost Briefsendung"
"Next Day Air Saver","Nächster Tag Luftpost Saver"
"Next Day Air Saver Letter","Nächster Tag Luftpost Saver Breifsendung"
"No","Nein"
"Non-rectangular","Nicht rechteckig"
"Order","Bestellung"
"Origin of the Shipment","Ursprung der Sendung"
"Oversize","Überformat"
"Package","Paket"
"Package Description","Paketbeschreibung"
"Packaging","Verpackung"
"Parcel","Parcel"
"Parcel Post","Parcel Post"
"Password","Passwort"
"Pickup Method","Abholart"
"Please enter the package weight","Bitte Paketgewicht angeben"
"Please make sure to use only digits here. No dashes are allowed.","Bitte achten Sie darauf, hier nur Ziffern zu verwenden. Bindstriche oder Leerzeichen sind nicht erlaubt"
"Pounds","Pfund"
"Priority Mail","Priority Mail"
"Priority Overnight","Priority Overnight"
"Receiver","Empfänger"
"Rectangular","Rechteckig"
"Regular","Standard"
"Regular Pickup","Standardabholung"
"Request Courier","Kurier anfordern"
"Residential","Privatanschrift"
"Residential Delivery","Lieferung an Privatanschrift"
"Response is in the wrong format","Antwort liegt im falschen Format vor"
"Round","Rund"
"Second Day Service","Zustellung am zweiten Tag"
"Sender","Absender"
"Ship to Applicable Countries","Versand in mögliche Länder"
"Ship to Specific Countries","Versand in bestimmte Länder"
"Shipment Contains Hazardous Materials","Sendung enthält gefährliche Stoffe"
"Shipment Dutiable","Versand zollpflichtig"
"Shipment Duty Payment Type","Zahlweise für Zoll"
"Shipment Type","Versandart"
"Shipment is not available.","Versand steht nicht zur Verfügung."
"Shipment picked up","Sendung abgeholt"
"Shipper Number","Versendernummer"
"Shipping Key","Shipping Key"
"Shipping Key (International)","Shipping Key (International)"
"Show Method if Not Applicable","Versandart zeigen, auch wenn nicht möglich"
"Size","Größe"
"Sort Order","Reihenfolge"
"Standard Overnight","Standard Overnight"
"Station","Station"
"Subtotal","Zwischensumme"
"Subtotal With Discount","Zwischensumme mit Rabatt"
"The response is in wrong format.","Die Antwort hat ein falsches Format."
"There is no available method for selected shipping address.","Für diese Lieferanschrift gibt es keine zulässige Versandart."
"Third Party","Drittanbieter"
"Title","Titel"
"To Lower","To Lower"
"To Upper","To Upper"
"Tracking XML URL","Tracking XML URL"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
"UPS Type","UPS Art"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"USPS","USPS"
"Unable to retrieve tracking","Fehler beim Abfragen des Trackings"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","Unbekannter Fehler"
"Used only when "Additional Protection Value" is set to "Configuration". Can contain only numeric amount.","Used only when "Additional Protection Value" is set to "Configuration". Can contain only numeric amount."
