" "," "
" But cart has some errors."," Aber der Warenkorb enthält fehler."
""Title" is more than %d characters long",""Titel" ist länger als %d zeichen"
"%1$s has been added to your wishlist.","%1$s wurde zum Wunschzettel hinzugefügt."
"%1$s incl tax.","%1$s inkl. Steuern."
"%s has been added to your cart.","%s wurde zum Warenkorb hinzugefügt."
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Eine App, die ausschließlich den Katalog präsentiert enthält keine Funktionen wie Warenkorb, Wunschzettel oder Login."
"A new password has been sent.","Ein neues Passwort wurde gesendet."
"Account","Account"
"Account confirmation is required. Please check your email for the confirmation link.","Eine Bestätigung des Accounts ist notwendig. Bitte überprüfen Sie Ihren Posteingang auf eine eMail mit dem Bestätigungslink."
"Account information has been saved.","Account Informationen wurden gespeichert."
"Action","Altion"
"Activate","Aktivieren"
"Activate PayPal Checkout","PayPal Checkout aktivieren"
"Activation Key","Aktivierungscode"
"Add App","App hinzufügen"
"Add More Templates","Mehr Vorlagen hinzufügen"
"Add New Template","Neue Vorlage hinzufügen"
"Add Page","Seite hinzufügen"
"Add to Cart","In den Warenkorb"
"Add to Wishlist","Auf den Wunschzettel"
"Additional Address","Zusätzliche Adressen"
"Additional Countries","Zusätzliche Länder"
"Address","Adresse"
"Address 2","Adresse 2. Zeile"
"Address data not specified.","Adressdaten nicht eingegeben."
"Address does not belong to this customer.","Adresse gehört nicht zu diesem Kunden."
"Address has been deleted.","Adresse wurde gelöscht."
"Address has been saved.","Adresse wurde gespeichert."
"Administrative contact for this app and for app submission issues.","Ansprechpartner für diese App."
"Advanced Settings","Erweitert"
"After submitting the App, please contact <a href="mailto:%1$s">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.<br />Upon receiving these credentials, please fill in the corresponding fields.<br />In addition, please accept Urban Airship\'s Terms of Service: <a href="%2$s" target="_blank">click here</a>.","After submitting the App, please contact <a href="mailto:%1$s">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.<br />Upon receiving these credentials, please fill in the corresponding fields.<br />In addition, please accept Urban Airship\'s Terms of Service: <a href="%2$s" target="_blank">click here</a>."
"AirMail Message Queue","AirMail Nachrichten Warteschlange"
"AirMail Messages Queue","AirMail Nachrichten Warteschlange"
"AirMail Template Preview","AirMail Vorlagenvorschau"
"AirMail message","AirMail Nachricht"
"AirMail templates","AirMail Vorlagen"
"An account with this email address already exists.","Mit dieser Adresse besteht bereits ein Account."
"An error occurred while adding item to wishlist.","Es ist ein Fehler beim Hinzufügen zum Wunschzettel aufgetreten."
"An error occurred while deleting the address.","Es ist ein Fehler beim Löschen der Adresse aufgetreten."
"An error occurred while loading category filters.","Es ist ein Fehler beim Laden der Kategoriefilter aufgetreten."
"An error occurred while processing your order. Please contact us or try again later.","Es ist ein Fehler beim Bearbeiten Ihrer Bestellung aufgetreten. Bitte nehmen Kontakt mit uns auf oder versuchen Sie es zu einem späteren Zeitpunkt noch einmal."
"An error occurred while processing your request.","Es ist ein Fehler beim Bearbeiten Ihrer Anfrage aufgetreten."
"An error occurred while removing item from wishlist.","Es ist ein Fehler beim Entfernen des Artikels vom Wunschzettel aufgetreten."
"An error occurred while removing items from wishlist.","Es ist ein Fehler beim Entfernen der Artikel vom Wunschzettel aufgetreten."
"Analytics","Analytics"
"Android","Android"
"App Background","App Hintergrund"
"App Background (landscape mode)","App Hintergrund (Quer)"
"App Background (portrait mode)","App Hintergrund (Hoch)"
"App Code","App Code"
"App Information","App Information"
"App Name","App Name"
"App Submission History","App Übertragungsprotokoll"
"App Title","App Titel"
"App code required.","App Code notwendig."
"App does not exist.","App existiert nicht."
"App has been deleted.","App wurde gelöscht."
"App has been saved.","App wurde gespeichert."
"App has been submitted.","App wurde übertragen."
"App model not loaded.","App-Model nicht geladen."
"App with specified code does not exist.","Unter diesem App Code App wurde keine App gefunden."
"Appears in the info section of your app (example:  Copyright 2010 – Your Company, Inc.)","Ist im Infobereich Ihrer App sichtbar (Beispiel: Copyright 2010 – Ihr Firmenname)"
"Application","Anwendung"
"Application Key","Application Key"
"Application Master Secret","Application Master Secret"
"Application Name","Application Name"
"Application Secret","Application Secret"
"Apply Theme","Vorlage anwenden"
"Apply will automatically resize this image for display in the App Store and on users’ devices.  A gloss (i.e. gradient) will also be applied, so you do not need to apply a gradient.  Image must be at least 512x512","Durch Klick auf den Anwenden Button wird die Grafikgröße automatisch für den App Store und die Endgeräte angepasst. Ein Glossy-Effekt wird ebenfalls automatisch hinzugefügt, sodass Sie diesen nicht in Ihre Grafik einbauen müssen. Die Grafik muss mindestens 512x512 Pixel groß sein."
"Are you sure you whant to cancel a message?","Sind Sie sicher, dass Sie die Nachricht stornieren möchten?"
"Are you sure you whant to delete a message?","Sind Sie sicher, dass Sie die Nachricht löschen möchten?"
"Are you sure you what to cancel selected records?","Sind Sie sicher, dass Sie die gewählten Einträge stornieren möchten?"
"Are you sure you what to delete selected records?","Sind Sie sicher, dass Sie die gewählten Einträge löschen möchten?"
"Authentication complete.","Bestätigung komplett."
"Back","Zurück"
"Back to App Edit","Zurück zu App bearbeiten"
"Background Color","Hintergrundfarbe"
"Banner on Home Screen","Banner Home-Bildschirm"
"Billing address has been set.","Rechnungsanschrift eingerichtet."
"Buy %1$s for %2$s","Kaufen Sie %1$s zum Preis von %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kaufen Sie %1$s zum Preis von je %2$s (%3$s inkl. Steuern)"
"Buy %1$s for %2$s each","Kaufen Sie %1$s zum Preis von je %2$s"
"Can\'t add item to shopping cart.","Can\'t add item to shopping cart."
"Can\'t apply the coupon code.","Can\'t apply the coupon code."
"Can\'t create wishlist.","Can\'t create wishlist."
"Can\'t load XML.","Can\'t load XML."
"Can\'t load application with code "%s"","Can\'t load application with code "%s""
"Can\'t open submission form.","Can\'t open submission form."
"Can\'t read file "%s".","Can\'t read file "%s"."
"Can\'t remove the item.","Can\'t remove the item."
"Can\'t reset theme.","Can\'t reset theme."
"Can\'t save address.","Can\'t save address."
"Can\'t save the customer.","Can\'t save the customer."
"Can\'t save theme.","Can\'t save theme."
"Can\'t show configuration.","Can\'t show configuration."
"Can\'t specify product.","Can\'t specify product."
"Can\'t submit application.","Can\'t submit application."
"Can\'t update cart.","Can\'t update cart."
"Can\'t write to file "%s".","Can\'t write to file "%s"."
"Can\t copy file "%s" to "%s".","Can\t copy file "%s" to "%s"."
"Cancel","Abbrechen"
"Canceled","Storniert"
"Cancelled","Storniert"
"Cannot load theme "%s".","Vorlage "%s" konnte nicht geladen werden."
"Cannot save theme "%s". Incorrect data received","Vorlage "%s" konnte nicht gespeichert werden. Ungültige Daten empfangen"
"Card Verification Number","Kartenprüfennummer"
"Card verification number is wrong","Kartenprüfnummer ist nicht korrekt."
"Carrier","Dienstleister"
"Cart","Warenkorb"
"Cart has been updated.","Warenkorb wurde aktualisiert."
"Cart has some errors.","Warenkorb enthält Fehler."
"Cart is empty.","Warenkorb ist leer."
"Cart line items are not eligible for exporting to PayPal API","Artikel im Warenkorb sind nicht für einen Export über die PayPal-Schnittstelle geeignet"
"Catalog Only App?","Reine Katalog-Präsentation?"
"Category Button Color","Kategorie-Button Farbe"
"Category Item Background Color","Kategorie Element Hintergrundfarbe"
"Chairs","Stühle"
"Change Orientation","Ausrichtung ändern"
"Change Password","Passwort ändern"
"Checkout has been initialized.","Bezahlvorgang wurde eingeleitet."
"City","Stadt"
"Color Themes","Farbvorlagen"
"Colors","Farben"
"Company","Firma"
"Completed","Abgeschlossen"
"Confirm New Password","Neues Passwort bestätigen"
"Confirm Password","Passwort bestätigen"
"Contact Email","Kontak-eMailadresse"
"Contact Information","Kontaktinformationen"
"Content","Inhalt"
"Copyright","Urheberrecht"
"Copyright Page Logo","Seitenlogo"
"Copyright page logo","Seitenlogo"
"Country","Land"
"Coupon code %s is not valid.","Rabattcode %s ist ungültig."
"Coupon code %s was applied.","Rabattcode %s wurde angewandt."
"Coupon code is empty.","Rabattcode ist leer."
"Coupon code was canceled.","Rabattcode wurde storniert."
"Creating a Template is allowed only for applications which have device type iPhone.","Das Erstellen einer Vorlage ist nur für iPhone-Apps möglich."
"Credit Card Number","Kreditkartennumer"
"Credit Card Type","Kreditkartentyp"
"Credit card number does not match credit card type.","Kreditkartennummer entspricht nicht Kreditkartentyp."
"Current Password","Aktuelles Passwort"
"Custom App Icon","Eigenes App-Icon"
"Custom Colors","Eigene Farben"
"Custom application icon","Eigenes App-Icon"
"Customer authentication problem.","Kundenbestätigungsproblem."
"Customer email not specified.","Kunden-eMailadresse nicht angegeben."
"Customer logout problem.","Problem beim Ausloggen des Kunden."
"Customer not logged in.","Kunde nicht eingeloggt."
"Date Created","Erstellt am"
"Date Submitted","Übermittelt am"
"Date Updated","Aktualisiert am"
"Default Billing Address","Standard Rechnungsanschrift"
"Default Shipping Address","Standard Versandanschrift"
"Default Theme","Standardvorlage"
"Delete","Löschen"
"Deleted","Gelöscht"
"Description","Beschreibung"
"Description that appears in the iTunes App Store. 4000 chars maximum. ","Beschreibung erscheint im iTunes App Store. Maximal 4000 Zeichen. "
"Design","Design"
"Device","Gerät"
"Device Information","Geräteinformation"
"Device Type","Gerät"
"Device doesn\'t recognized. Unable to load a template.","Device doesn\'t recognized. Unable to load a template."
"Device doesn\'t recognized: "%s". Unable to load a helper.","Device doesn\'t recognized: "%s". Unable to load a helper."
"Edit","Bearbeiten"
"Edit AirMail Message","AirMail Nachricht bearbeiten"
"Edit AirMail Message Queue #%s","AirMail Nachrichtenwarteschlange #%s bearbeiten"
"Edit App "%s"","App "%s" bearbeiten"
"Edit Filter","Filter bearbeiten"
"Edit Template "%s"","Vorlage "%s" bearbeiten"
"Email","eMail"
"Email Address","eMail-Adresse"
"Enable AirMail Message Push notification","AirMail Nachricht - Push Benachrichtigung aktivieren"
"Enable Flurry Analytics","Flurry Analytics aktivieren"
"Enable Flurry Analytics for the merchant.","Flurry Analytics für den Händler aktivieren."
"Enable Standard Checkout","Standard Bezahlvorgang aktivieren"
"Error while processing file "%s".","Fehler beim Verarbeiten der Datei "%s"."
"Error while uploading file "%s".","Fehler beim Hochladen der Datei "%s"."
"Error while uploading file "%s". Disallowed file type. Only "jpg", "jpeg", "gif", "png" are allowed.","Fehler beim Hochladen der Datei "%s". Nicht erlaubter Dateityp. Bitte nur "jpg", "jpeg", "gif", "png" Dateien hochladen."
"Error.","Fehler."
"Expiration Date - Month","Gültig bis - Monat"
"Expiration Date - Year","Gültig bis - Jahr"
"Extensions","Erweiterungen"
"FILTERS APPLIED","FILTER ANGEWENDET"
"Fax","Fax"
"File doesn\'t exist "%s".","File doesn\'t exist "%s"."
"First Name","Vorname"
"Flurry Analytics","Flurry Analytics"
"Flurry Analytics Site","Flurry Analytics Site"
"Flurry Api Code","Flurry API Code"
"Fonts","Schriften"
"Free","Kostenlos"
"Funk Leaf","Funk Leaf"
"General","Allgemein"
"Get Activation Key","Fordere Activation Key an"
"Get Content from CMS Page","Inhalt von CMS-Seite verlinken"
"Grand Total (Excl. Tax)","Gesamt (zzgl. Steuern)"
"Grand Total (Incl. Tax)","Gesamt (inkl. Steuern)"
"Guest","Gast"
"Header Background Color","Header Hintergrundfarbe"
"Header Font Color","Header Schriftfarbe"
"Home","Home"
"Hot Red","Hot Red"
"ID","ID"
"Icon that will appear on the user’s phone after they download your app.  You do not need to apply a gradient or soft edges (this is done automatically by Apple).  Recommended size: 57px x 57px at 72 dpi.","Icon, das auf dem Mobiltelefon angezeigt wird, nachdem die App heruntergeladen wurde. Sie müssen keinen Verlauf oder runde Ecken hinzufügen, dies erledigt Apple automatisch. Empfohlene Größe: 57px x 57px bei 72 dpi."
"Icons","Icons"
"If leave this field empty, the message will be sent immediately","Wenn Sie dieses Feld leer lassen, wird die Nachricht sofort verschickt"
"Image file was not found.","Bild wurde nicht gefunden."
