"%s codes deleted","%s Codes gelöscht"
"%s codes imported","%s Codes importiert"
"%s codes not imported","%s Codes nicht importiert"
"%s product in feed.","%s Artikel im Feed."
"%s product not in feed.","%s Artikel nicht im Feed."
"Add new","Anlegen"
"Attrib. Set Name","Attrib. Set Name"
"Attributes map","Attribut-Zuordnungen"
"Cron Frequency","Cron Häufigkeiten"
"Cron Hour","Cron Stunde"
"Delete","Löschen"
"Eav code","EAV Code"
"FTP Password","FTP Passwort"
"FTP Path","FTP Pfad"
"FTP Server","FTP Server"
"FTP Settings","FTP Einstellungen"
"FTP User","FTP Benutzer"
"FTP: Can't delete files","FTP: Dateien konnten nicht gelöscht werden"
"Feed","Feed"
"Feed code","Feed Code"
"ID","ID"
"Import","Import"
"Import attribute map","Import Attribut-Zuordnung"
"Import code","Import Code"
"In feed","TheFind Feed"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","Um Zugriff zu Ihren FTP-Zugangsdaten zu erhalten, müssen Sie zunächst Ihren Shop im TheFind Merchant Center anmelden. <a href=""https://merchant.thefind.com/mc/claim.fhtml"">Klicken Sie bitte hier.</a>"
"Is imported","Im Feed vorhanden"
"Item params","Artiekleigenschaften"
"Manage attributes","Attribute verwalten"
"Manage items","Artikel verwalten"
"Not import","Nicht importiert"
"Not publish","Nicht veröffentlicht"
"Price","Preis"
"Product Name","Artikelname"
"Product import","Artikelimport"
"Publish","Veröffentlichen"
"SKU","Artikelnummer"
"Settings","Einstellungen"
"The Find","TheFind"
"TheFind Feed Filename","TheFind Feed Dateiname"
"TheFind feed","TheFind Feed"
"Type","Art"
"Unable to process an import. ","Import nicht möglich. "
"Update TheFind Item when Product is Updated","TheFind Eintrag aktualisieren wenn der Artikel aktualisiert wird"
