"Actions","Aktionen"
"Are you sure?","Sind Sie sicher?"
"Date Added","Hinzugefügt am"
"Error while marking as read. Please try again later.","Fehler beim Setzen der 'gelesen' Markierung. Bitte versuchen Sie es später noch einmal."
"Error while marking. Please try again later.","Fehler beim Setzen der Markierung. Bitte versuchen Sie es später noch einmal."
"Error while removing. Please try again later.","Fehler beim Löschen. Bitte versuchen Sie es später noch einmal."
"Last update","Letzte Aktualisierung"
"Mark as Read","Als 'gelesen' markieren"
"Mark as read","Als 'gelesen' markieren"
"Message","Nachricht"
"Message was successfully marked as read","Nachricht wurde erfolgreich als 'gelesen' markiert"
"Message was successfully removed","Nachricht wurde erfolgreich gelöscht"
"Messages Inbox","Posteingang"
"Notifications","Hinweise"
"Please select messages","Bitte Nachrichten auswählen"
"Read Details","Details anzeigen"
"Remove","Entfernen"
"Severity","Wichtigkeit"
"Show List","Liste anzeigen"
"Show Toolbar","Werkzeugleiste anzeigen"
"Total of %d record(s) were successfully marked as read","Insgesamt %d Einträge erfolgreich als 'gelesen' markiert"
"Total of %d record(s) were successfully removed","Insgesamt %d Einträge erfolgreich gelöscht"
"Unable to proceed. Please, try again","Vorgang konnte nicht ausgeführt werden. Bitte versuchen Sie es später noch einmal."
"Update frequency","Aktualisierungshäufigkeit"
"Use HTTPS to get feed","Benutze HTTPS um Nachrichten abzurufen"
"critical","Kritisches Update"
"major","Versionssprung"
"minor","Bugfix"
"notice","Hinweis"
