" The customer does not exist in the system anymore."," Diesen Kunden gibt es im System nicht mehr."
" You will need to navigate to your "," Bitte begeben Sie sich zu Ihrem "
" [deleted]"," [gelöscht]"
" and "," und "
" and go to the "," und gehen Sie zu "
" sections for your Hosted Checkout Pages."," Abschnitt Ihrer gehosteten Checkout-Seiten "
"%s (Default Template from Locale)","%s (Standard-Vorlage aus der Lokalisierung)"
"%s cache type(s) disabled.","%s Cachearten deaktiviert."
"%s cache type(s) enabled.","%s Cachearten aktiviert."
"%s cache type(s) refreshed.","%s x erfolgreich Cache aktualisiert."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Für den Typ ""Lokalen Server"" wird die relative Pfadanganbe zur Magento Instanz var/export oder var/import benötigt, z.B. var/export, var/import, var/export/unter/verzeichnis, var/import/unter/verzeichnis)"
"(For US 2-letter state names)","(Für USA Staatsnamen aus 2 Buchstaben)"
"(If left empty will be auto-generated)","(Wird automatisch generiert, wenn leer gelassen)"
"(Leave empty for first spreadsheet)","(Leer lassen für erste Tabelle)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Artikel werden zu diesem Shop hinzugefügt/aktualisiert, wenn die 'Shop' Spalte in dieser Importdatei leer ist oder fehlt.)"
"(Shift-)Click or drag to change value","Drücken Sie Shift(Großschreibung), klicken oder ziehen Sie um den Wert zu verändern"
"(Starting with)","(Starte mit)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Bei 'Nein' werden nur zugeordnete Felder importiert. Bei Zuordnung 'column1', 'column2', usw. verwenden.)"
"(You have to increase php memory_limit before changing this value)","(Sie müssen das PHP memory_limit erhöhen bevor Sie diesen Wert ändern)"
"(\\t for tab)","(\\t für Tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Wenn der Indizierungsprozess gerade läuft, wird dieser abgebrochen und einer neuer gestartet."
"* Required Fields","* Pflichtfelder"
"- Click on any of the time parts to increase it","- Klicken Sie auf die gewünschten Zeiträume um diese auszuwählen"
"- Hold mouse button on any of the above buttons for faster selection.","- Halten Sie für eine schnellere Auswahl den Maus-Button auf jeden der oberen Buttons."
"- Use the %s buttons to select month","- Verwenden Sie %s Buttons um den Monat auszuwählen"
"- Use the %s, %s buttons to select year","- Verwenden Sie die %s, %s Buttons um das Jahr auszuwälen"
"- or Shift-click to decrease it","- oder Shift-Mausklick um die Auswahl zu verklinern"
"- or click and drag for faster selection.","- oder Mausklick und ziehen für eine schnellere Auswahl."
"-- Not Selected --","-- Nichts ausgewählt --"
"-- Please Select --","-- Bitte wählen --"
"-- Please Select Billing Agreement--","-- Bitte Zahlungsvereinbarung auswählen--"
"-- Please Select a Category --","-- Bitte wählen Sie eine Kategorie --"
"-- Please select --","-- Bitte wählen --"
"--Please Select--","--Bitte wählen--"
"1 Hour","1 Stunde"
"1. set up","1. Einrichten"
"12 Hours","12 Stunden"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Stunden"
"2. customize","2. Anpassen"
"24 Hours","24 Stunden"
"24h","24h"
"2YTD","2 Jahre"
"6 Hours","6 Stunden"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Fehler</h1><p>Seite nicht gefunden.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> fordert Zugriff zu Ihren Zugang an"
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Achtung</strong>: Groß-/Kleinschreibung des CAPTCHA beachten."
"A user with the same user name or email aleady exists.","Ein Nutzer mit dem gleichen Benutzernamen oder E-Mail Adresse existiert bereits."
"API Key","API Schlüssel"
"API Key Confirmation","API Schlüssel Bestätigung"
"ASCII","ASCII"
"Abandoned Carts","Nicht bestellte Warenkörbe"
"About the calendar","Über den Kalender"
"Access Denied","Zugriff verweigert"
"Access denied","Zugriff verweigert"
"Access denied.","Zugriff verweigert."
"Account Created in:","Kundenkonto angelegt in:"
"Account Created on (%s):","Kundenkonto angelegt am (%s):"
"Account Created on:","Kundenkonto angelegt am:"
"Account Information","Benutzerkonto Information"
"Account Status","Benutzerkonto Status"
"Account status","Benutzerkonto Status"
"Action","Aktion"
"Actions","Aktionen"
"Actions XML","Aktionen XML"
"Active","Aktiv"
"Add","Hinzufügen"
"Add Exception","Neue Ausnahme"
"Add Field Mapping","Neue Feldzuordnung"
"Add Field with URL:","Neues Feld mit URL:"
"Add New","Neu"
"Add New Image","Neues Bild"
"Add New Profile","Neues Profil"
"Add New Role","Neue Berechtigung"
"Add New Template","Neue Vorlage"
"Add New URL Rewrite","Neuer URL-Rewrite"
"Add New User","Neuer Benutzer"
"Add New Variable","Neue Variable"
"Add Products","Artikel hinzufügen"
"Add URL Rewrite","Neuer URL Rewrite"
"Add URL Rewrite for a Category","Neuer URL Rewrite für eine Kategorie"
"Add URL Rewrite for a Product","Neuer URL Rewrite für einen Artikel"
"Add after","Hinzufügen nach"
"Additional Cache Management","Zusätzliche Caches"
"Address Type:","Adresstyp:"
"Admin","Admin"
"Advanced Admin Section","Erweiterte Administration"
"Advanced Profiles","Erweiterte wiederkehrende Leistungen"
"Advanced Section","Erweitert"
"After authorization application will have access to you account.","Nach der Autorisation hat diese Anwendung Zugriff auf Ihren Zugang."
"All","Alle"
"All Allowed Countries","Alle erlaubten Länder"
"All Cache","Alle Caches"
"All Files","Alle Dateien"
"All Reviews","Alle Kundenmeinungen"
"All Store Views","Alle StoreViews"
"All Tags","Alle Schlagworte"
"All Websites","Alle Websites"
"All countries","Alle Länder"
"All fields","Alle Felder"
"All possible rates were fetched, please click on ""Save"" to apply","Alle verfügbaren Kurse wurden abgefragt, bitte klicken Sie auf <strong>""Speichern""</strong>"
"All rates were fetched, please click on ""Save"" to apply","Alle verfügbaren Kurse wurden abgefragt, bitte klicken Sie auf <strong>""Speichern""</strong>"
"All valid rates have been saved.","Alle gültigen Kurse wurden erfolgreich gespeichert."
"Always (during development)","Immer (während der Entwicklung)"
"Amounts","Gesamtbeträge"
"An error has occured while syncronizing media storages.","Fehler beim Synchronisieren der Media-Speicher"
"An error occurred while clearing the JavaScript/CSS cache.","Beim Leeren der JavaScript/CSS Caches ist ein Fehler aufgetreten."
"An error occurred while clearing the image cache.","Beim Leeren der Bilder-Caches ist ein Fehler aufgetreten."
"An error occurred while deleting URL Rewrite.","Beim Löschen des URL-Rewrites ist ein Fehler aufgetreten."
"An error occurred while deleting email template data. Please review log and try again.","Beim Leeren der E-Mail Vorlagen Inhalte ist ein Fehler aufgetreten. Bitte überprüfen Sie die Log-Aufzeichnung und versuchen es erneut."
"An error occurred while deleting record(s).","Beim Löschen der Einträge ist ein Fehler aufgetreten."
"An error occurred while deleting this role.","Beim Löschen dieser Berechtigung ist ein Fehler aufgetreten."
"An error occurred while deleting this set.","Beim Löschen dieses Sets ist ein Fehler aufgetreten."
"An error occurred while deleting this template.","Beim Löschen dieser Vorlage ist ein Fehler aufgetreten."
"An error occurred while finishing process. Please refresh the cache","Ein Fehler ist beim Abschließen dieses Prozesses aufgetreten. Bitte aktualisieren Sie den Cache"
"An error occurred while rebuilding the CatalogInventory Stock Status.","Beim Neuaufbau vom Lagerbestands-Status ist ein Fehler aufgetreten."
"An error occurred while rebuilding the catalog index.","Beim Neuaufbau vom Katalogindex ist ein Fehler aufgetreten."
"An error occurred while rebuilding the flat catalog category.","Beim Neuaufbau von Flat-Kategorie ist ein Fehler aufgetreten."
"An error occurred while rebuilding the flat product catalog.","Beim Neuaufbau von Flat-Artikel ist ein Fehler aufgetreten."
"An error occurred while rebuilding the search index.","Beim Neuaufbau vom Suchindex ist ein Fehler aufgetreten."
"An error occurred while refreshing the Catalog Rewrites.","Beim Neuaufbau der Katalog-Rewrites ist ein Fehler aufgetreten."
"An error occurred while refreshing the Layered Navigation indices.","Beim Neuaufbau der Filterbaren Navigation Indizes ist ein Fehler aufgetreten."
"An error occurred while refreshing the catalog rewrites.","Ein Fehler ist bei der Aktualisierung der Katalog-Rewrites aufgetreten."
"An error occurred while refreshing the layered navigation indices.","Beim Aktualisieren der Filterbaren Navigation Indizes ist ein Fehler aufgetreten."
"An error occurred while saving URL Rewrite.","Beim Speichern des URL-Rewrites ist ein Fehler aufgetreten."
"An error occurred while saving account.","Beim Speichern des Kontos ist ein Fehler aufgetreten."
"An error occurred while saving review.","Beim Speichern der Kundenrezension ist ein Fehler aufgetreten."
"An error occurred while saving the customer.","Beim Speichern des Kunden ist ein Fehler aufgetreten."
"An error occurred while saving this configuration:","Beim Speichern dieser Konfiguration ist ein Fehler aufgetreten:"
"An error occurred while saving this role.","Beim Speichern dieser Berechtigung ist ein Fehler aufgetreten."
"An error occurred while saving this template.","Beim Speichern dieser Vorlage ist ein Fehler aufgetreten."
"An error occurred while updating the selected review(s).","Beim Aktualisieren der ausgewählten Kundenmeinungen ist ein Fehler aufgetreten."
"Any","Jede"
"Any Attribute Set","Jedes Attributset"
"Any Group","Jede Gruppe"
"Any Status","Jeder Status"
"Any Store","Jeder Store"
"Any Type","Jeder Typ"
"Any Visibility","Jede Sichtbarkeit"
"Any data created since the backup was made will be lost including admin users, customers and orders.","Alle Daten (Admin-Benutzer, Kunden, Bestellungen), die nach diesem Backup angelegt wurden, werden gelöscht."
"Archive file name:","Archiv Dateiname:"
"Are you sure that you want to delete this template?","Sind Sie sicher, dass Sie diese Vorlage löschen möchten?"
"Are you sure that you want to strip tags?","Sind Sie sicher, dass Sie die Schlagworte entfernen möchten?"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie das tun möchten?"
"Are you sure you want to proceed?","Sind Sie sicher, dass Sie fortfahren möchten?"
"Area","Bereich"
"As low as:","ab:"
"Assigned","Zugewiesen"
"Associated Tags","Verbundene Schlagworte"
"Attribute Set Name:","Attributset Name:"
"Attributes","Attribute"
"Authorization confirmed","Autorisierung bestätigt"
"Authorize","Autorisieren"
"Authorize application","Anwendung autorisieren"
"Authorized OAuth Tokens","Autorisierte OAuth Tokens"
"Automatic (equalize price ranges)","Automatisch (Preise ausgleichen)"
"Automatic (equalize product counts)","Automatisch (Artikelanzahl ausgleichen)"
"Average Order Amount","Durchschnittlicher Bestellbetrag"
"Average Orders","Durchschnittlicher Bestellumsatz"
"BINARY","Binär"
"Back","Zurück"
"Back to Login","Zurück zur Anmeldung"
"Backup","Sicherung"
"Backup Name","Sicherungsname"
"Backup options","Sicherungsoptionen"
"Backups","Sicherungen"
"Base currency","Basiswährung"
"Bcc","Bcc"
"Bestsellers","Bestseller"
"Billing Address","Rechnungsadresse"
"Billing Address: ","Rechnungsanschrift"
"Billing Agreement","Zahlunsgfreigabe"
"Billing Agreements","Zahlungsgfreigaben"
"Block Information","Blockinformation"
"Both (without and with tax)","Beides (ohne und mit Steuern)"
"Both IPN and PDT","Besides IPN und PDT"
"Browse Files...","Dateien durchsuchen..."
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Zusammengefasste Artikel mit dynamischem Preis können keine selbstdefinierten Optionen enthalten. Optionen werden nicht gespeichert."
"CMS","CMS"
"CRITICAL","KRITISCH"
"CSV","CSV"
"CSV / Tab separated","CSV / Tab getrennt"
"Cache Control","Cache Kontrolle"
"Cache Control (beta)","Cache Kontrolle (Beta)"
"Cache Management","Cache-Verwaltung"
"Cache Type","Cache Art"
"Cancel","Abbrechen"
"Cannot add new comment.","Kommentar konnte nicht hinzugefügt werden."
"Cannot add tracking number.","Trackingnummer konnte nicht hinzugefügt werden."
"Cannot create an invoice without products.","Rechnungen können nicht ohne Artikel erstellt werden."
"Cannot create credit memo for the order.","Für diese Bestellung konnte keine Gutschrift angelegt werden."
"Cannot delete the design change.","Die Design-Änderung konnte nicht gelöscht werden."
"Cannot delete tracking number.","Sendungsverfolgungs-Nummer konnte nicht gelöscht werden."
"Cannot do shipment for the order separately from invoice.","Versand kann nicht getrennt von der Rechnung angelegt werden."
"Cannot do shipment for the order.","Für diese Bestellung konnte kein Versand angelegt werden."
"Cannot initialize shipment for adding tracking number.","Kann den Versand für das Hinzufügen der Trackingnummer nicht initialisieren."
"Cannot initialize shipment for delete tracking number.","Kann den Versand für das Löschen der Trackingnummer nicht initialisieren."
"Cannot load track with retrieving identifier.","Kann Tracking nicht mit der Abruf-Identifikation laden."
"Cannot retrieve tracking number detail.","Kann Tracking Nummer Details nicht abrufen."
"Cannot save shipment.","Versand kann nicht gespeichert werden."
"Cannot save the credit memo.","Gutschrift kann nicht gespeichert werden."
"Cannot send shipment information.","Versandinformationen konnten nicht gesendet werden."
"Cannot update item quantity.","Artikelanzahl konnte nicht aktualisiert werden."
"Cannot update the item\'s quantity.","Artikelanzahl konnte nicht aktualisiert werden."
"Catalog","Katalog"
"Catalog Price Rules","Katalog Preisregeln"
"Catalog Rewrites","Katalog Rewrites"
"Categories","Kategorien"
"Category:","Kategorie:"
"Chart is disabled. If you want to enable chart, click <a href=""%s"">here</a>.","Das Chart ist deaktiviert. Wenn Sie es aktivieren wollen, klicken Sie <a href=""%s"">hier</a>."
"Checkbox","Checkbox"
"Child Transactions","Kinder Transaktionen"
"Choose Store View:","StoreView wählen"
"Choose an attribute","Attribut wählen"
"Chosen category does not associated with any website, so url rewrite is not possible.","Die ausgewählte Kategorie ist keiner Webseite zugeordnet, daher ist ein url rewrite nicht möglich"
"Chosen product does not associated with any website, so url rewrite is not possible.","Der ausgewählte Artikel ist keiner Webseite zugeordnet, daher ist ein url rewrite nicht möglich"
"Clear","Leeren"
"Close","Schließen"
"Comment text field cannot be empty.","Kommentarfeld darf nicht leer sein."
"Complete","Vollständig"
"Configuration","Konfiguration"
"Confirm New Password","Neues Passwort bestätigen"
"Confirm token authorization Pop Up for admin","Tokenautorisation PopUp für AdminPanel bestätigen"
"Confirm token authorization for admin","Tokenautorisation für AdminPanel bestätigen"
"Confirmation Of Authorization","Bestätigung der Autorisation"
"Confirmed email:","Bestätigte E-Mail:"
"Connect with the Magento Community","Zur Magento Community"
"Continue","Fortsetzen"
"Convert to Plain Text","In reinen Text umwandeln"
"Cookie (unsafe)","Cookie (unsicher)"
"Country","Land"
"Country:","Land:"
"Coupons","Rabattcodes"
"Create","Anlegen"
"Create DB Backup","Datenbanksicherung erzeugen"
