"Access denied.","Zugriff verweigert."
"Client Session Timeout (sec.)","Client Session Zeitüberschreitung (Sek.)"
"Default Response Charset","Standard-Schriftsatz für Antwort"
"Email","E-Mail"
"General Settings","Allgemeine Einstellungen"
"Invalid webservice adapter specified.","Ungültiger Webservice Adapter angegeben"
"Invalid webservice handler specified.","Ungültiger Webservice Handler angegeben"
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API"
"Roles","Berechtigungen"
"Unable to login.","Login fehlgeschlagen."
"User Name","Benutzername"
"Users","Benutzer"
"WS-I Compliance","WS-I Konform"
"Web Services","Web Services"
"Your account has been deactivated.","Ihr Benutzerkonto wurde deaktviert."
