"--Please Select--","--Bitte wählen--"
"API Login ID","API Anmelde ID"
"Accepted Currency","Akzeptierte Währung"
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","Kreditkartenprüfnummer"
"Card Verification Number Visual Reference","Kartenprüfnummer Sichtmerkmale"
"Close","Schließen"
"Credit Card Information","Kreditkarten Information"
"Credit Card Number","Kartennummer"
"Credit Card Type","Kreditkarten Art"
"Credit Card Types","Kreditkarten Arten"
"Credit Card Verification","Kreditkarten Verfikation"
"Debug","Debug"
"Email Customer",""Kunden-Email"
"Enabled","Aktiviert"
"Expiration Date","Ablaufdatum"
"Gateway URL","Gateway URL"
"Maximum Order Total","Maximale Bestell Summe"
"Merchant MD5","Händler MD5"
"Merchant's Email","Händler-Email"
"Minimum Order Total","Minimale Bestell Summe"
"New Order Status","Neuer Bestell-Status"
"Order saving error: %s","Fehler beim Speichern der Bestellung: %s"
"Payment Action","Zahlungs-Aktion"
"Payment authorization error.","Zahlungs-Authorisierungs Fehler."
"Payment authorization error. Transacion id is empty.","Fehler bei der Zahlungsbestätigung. Transaktions-ID ist leer."
"Payment error. Order was not found.","Zahlungsfehler. Bestellung konnte nicht gefunden werden."
"Payment error. Paid amount doesn\'t match the order amount.","Zahlungsfehler. Gezahlter Betrag entspricht nicht dem Rechnungsbetrag."
"Payment from Applicable Countries","Zahlung aus geeigneten Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Please, choose payment method","Bitte wählen Sie die Zahlmethode"
"Response hash validation failed. Transaction declined.","Überprüfung der Zahlungsfähigkeit fehlgeschlagen. Transaktion abgelehnt."
"Sort Order","Reihenfolge"
"Test Mode","Test Modus"
"The order has been created.","Die Bestellung wurde angelegt."
"There was an error processing your order. Please contact us or try again later.","Bei der Bearbeitung Ihrer Bestellung ist ein Fehler aufgetreten. Bitte kontaktieren Sie uns oder versuchen Sie es später noch einmal."
"Title","Titel"
"Transaction Key","Trasaktions-Key"
"What is this?","Was ist das?"
"You will be required to enter your payment details before you place an order.","Bevor Sie eine Bestellung aufgeben können, müssen Sie Ihre Zahlungsdetails angeben."
