"--Select--","-- Bitte auswählen --"
"Add New Option","Neue Option hinzufügen"
"Add Selection","Auswahl hinzufügen"
"As low as","Kleinstmöglich"
"Bundle Items","Zusammengefasste Artikel"
"Bundle Product","Zusammengefasstes Produkt"
"Buy %1$s with %2$s discount each","Kaufe %1$s mit je %2$s Rabatt"
"Checkbox","Checkbox"
"Choose a selection...","Bitte treffen Sie eine Auswahl..."
"Close","Schließen"
"Default","Standard"
"Default Qty","Standardmenge"
"Default Title","Standardtitel"
"Drop-down","Dropdown"
"Dynamic","Dynamisch"
"Excl. Tax","Zzgl. Steuern"
"Fixed","Festpreis"
"From","Von"
"From:","Von:"
"Gift Message","Geschenknachricht"
"Incl. Tax","Inkl. Steuern"
"Input Type","Eingabetyp"
"Is Required","Pflichtangabe"
"Message:","Nachricht:"
"Multiple Select","Mehrfachauswahl"
"N/A","Nicht verfügbar"
"No options of this product are available.","Für dieses Produkt sind keine Optionen verfügbar."
"None","Keine"
"Percent","Prozent"
"Percent Discount","Prozent Rabatt"
"Please enter search conditions to view products.","Bitte bestimmen Sie Suchkriterien, um Produkte anzeigen zu lassen."
"Please select options for product.","Bitte Optionen für das Produkt auswählen."
"Please select products to add","Bitte Produkte zum Hinzufügen auswählen"
"Please specify product option(s)","Bitte legen Sie die Produktoption(en) fest"
"Position","Position"
"Price Range","Preisbereich"
"Price Type","Preisart"
"Price as configured","Preis wie konfiguriert"
"Qty:","Stk:"
"Radio Buttons","Radio Buttons"
"Required options not selected.","Pflichtangaben nicht gewählt."
"Selected required options not available.","Ausgewählte Pflichtangaben nicht verfügbar."
"Separately","Einzeln"
"Ship Bundle Items","Versende zusammengefasste Artikel"
"Shipment","Versand"
"Store View Title","StoreView Bezeichnung"
"There is no defined renderer for ""%s"" option type","Kein passender Renderer für ""%s"" Optionstyp"
"This product is also part of bundle(s)","Dieses Produkt ist auch Teil der zusammengefassten Produkte"
"To","Bis"
"To:","Bis:"
"Together","Gemeinsam"
"User Defined Qty","Vom Benutzer bestimmte Anzahl"
