"# of Use","Anzahl der Verwendungen"
"%1$s incl tax.","%1$s inkl. Steuern"
"%s - %s","%s - %s"
"%s Item(s)","%s Artikel"
"%s and above","%s und darüber"
"%s-%s of %s","%s-%s von %s"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopiere Daten von: %s)"
"* Required Fields","* Notwendige Felder"
"-- Please Select --","-- Bitte auswählen --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","Standardwert 86400, wenn nicht eingetragen. Zum sofortigen Aktualisieren die Blocks HTML Ausgabe Cache leeren."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Warnung!</strong> Wenn Sie MAP als Standard anwenden, werden alle Artikelpreise im Frontend versteckt."
"A group with the same name already exists.","Gruppe mit dem gleichen Namen existiert bereits."
"A name is required","Ein Name wird benötigt"
"A product type is not defined for the indexer.","Artikeltyp ist für den Indexer nicht definiert."
"ALL GROUPS","ALLE GRUPPEN"
"AM","AM"
"Action","Aktion"
"Actual Price","Tatsächlicher Preis"
"Add","Hinzufügen"
"Add Attribute","Eigenschaft hinzufügen"
"Add Design Change","Gestaltungsänderung hinzufügen"
"Add Group","Gruppe hinzufügen"
"Add Group Price","Gruppenpreis hinzufügen"
"Add New","Neu"
"Add New Attribute","Neues Attribut"
"Add New Attribute Set","Neuer Eigenschaftensatz"
"Add New Group","Neue Gruppe"
"Add New Images","Neue Bilder hinzufügen"
"Add New Option","Neue Option"
"Add New Row","Zeile hinzufügen"
"Add New Search Term","Neue Suchanfrage"
"Add New Set","Neues Set"
"Add Product","Artikel hinzufügen"
"Add Product To Websites","Artikel zu Webseiten hinzufügen"
"Add Root Category","Stammkategorie hinzufügen"
"Add Subcategory","Unterkategorie hinzufügen"
"Add Tax","Steuer hinzufügen"
"Add Tier","Preisstaffel hinzufügen"
"Add attribute into attribute set","Attribut zum Attribute-Set hinzufügen"
"Add group into attribute set","Gruppe zum Attribute-Set hinzufügen"
"Add new custom option into product","Spezifische Option zum Artikel hinzufügen"
"Add new values into custom option","Neue Werte zur benutzerdefinierten Option hinzufügen"
"Add option","Option hinzufügen"
"Add to Cart","Zum Warenkorb hinzufügen"
"Add to Compare","Zur Vergleichsliste hinzufügen."
"Add to Wishlist","Zum Wunschzettel hinzufügen."
"Additional Information","Zusätzliche Information"
"Alert Urls","Warn-Urls"
"All","Alle"
"All Product Types","Alle Artikeltypen"
"All Websites","Alle Webseiten"
"All products","Alle Artikel"
"All products - recently added products, New products - products marked as new","Alle Artikel - Kürzlich hinzugefügte, neue - als neu gekennzeichnete"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alle Artikel dieses Satzes werden gelöscht! Sind Sie sicher, dass Sie diesen Eigenschaftensatz löschen möchten?"
"Allow All Products per Page","Erlaube alle Artikel pro Seite"
"Allow Dynamic Media URLs in Products and Categories","Erlaube dynamische Medien-URLs bei Artikel und Kategorien"
"Allow HTML Tags on Frontend","HTML-Tags am Frontend zulassen"
"Allowed File Extensions","Erlaubte Dateierweiterungen"
"Allowed file extensions to upload","Erlaubte Dateierweiterungen zum Hochladen"
"Amount","Summe"
"An error occurred while adding products to websites.","Ein Fehler ist aufgetreten, während Artikel zu Webseiten hinzugefügt wurden."
"An error occurred while clearing comparison list.","Beim Löschen der Vergleichsliste ist ein Fehler aufgetreten."
"An error occurred while deleting this review.","Beim Löschen dieser Rezension ist ein Fehler aufgetreten."
"An error occurred while removing products from websites.","Ein Fehler ist aufgetreten, während Artikel von Webseiten entfernt wurden."
"An error occurred while saving the URL rewrite","Ein Fehler ist beim Speichern der URL-Umschreibung aufgetreten."
"An error occurred while saving the attribute set.","Beim Speichern des Eigenschaftensatzes ist ein Fehler aufgetreten."
"An error occurred while saving the collection, aborting. Error message: %s","Beim Speichern der Sammlung ist ein Fehler aufgetreten. Abbruch erfolgt. Fehlermeldung: %s"
"An error occurred while saving the product. ","Beim Speichern des Artikels ist ein Fehler aufgetreten."
"An error occurred while saving the search query.","Beim Speichern der Suchanfrage ist ein Fehler aufgetreten."
"An error occurred while saving this group.","Beim Speichern dieser Gruppe ist ein Fehler aufgetreten."
"An error occurred while saving this review.","Beim Speichern der Rezension ist ein Fehler aufgetreten."
"An error occurred while trying to delete the category.","Beim Versuch die Kategorie zu löschen ist ein Fehler aufgetreten."
"An error occurred while updating the product(s) attributes.","Beim Aktualisieren der Eigenschaften der/des Artikel(s) ist ein Fehler aufgetreten."
"An error occurred while updating the product(s) status.","Bei der Aktualisierung des Status der/des Artikel(s) ist ein Fehler aufgetreten."
"An invalid group ID is specified, skipping the record.","Ungültige Gruppen-ID, Datensatz wird übersprungen."
"An invalid option ID is specified for %s (%s), skipping the record.","Eine ungültige Options-ID wurde für %s angegeben (%s). Eintrag wird übersprungen."
"An invalid store was specified.","Es wurde ein ungültiges Geschäft angegeben."
"Anchor Custom Text","Anker Benutzerdefinierter Text"
"Anchor Custom Title","Anker Benutzerdefinierter Titel"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Nur auf Katalogartikel und Kategorien anwendbar. Jeder Medieninhalt wird in den Editor als ein statischer URL eingefügt. Er wird nicht aktualisiert, wenn der Systemkonfigurations-Basis-URL sich ändert."
"Apply MAP","Verwende Preisuntergrenze"
"Apply MAP (Default Value)","Verwende Preisuntergrenze (voreingestellt)"
"Apply To","Anwenden auf"
"Approved","Bestätigt"
"Are you sure you want to delete this category?","Möchten Sie diese Kategorie wirklich löschen?"
"Are you sure you would like to remove all products from your comparison?","Sind Sie sicher, dass Sie alle Artikel von Ihrem Vergleich entfernen möchten?"
"Are you sure you would like to remove this item from the compare products?","Sind Sie sicher, dass Sie diese Position vom Artikelvergleich entfernen möchten?"
"Are you sure?","Sind Sie sicher?"
"As low as:","So niedrig wie:"
"Assign","Zuordnen"
"Assign product link","Artikel-Link zuordnen"
"Assign product to category","Artikel zu Kategorie zuordnen"
"Assigned Products","Zugeordnete Artikel"
"Associated Products","Zugehörige Artikel"
"Attrib. Set Name","Name des Eigenschaftensatzes"
"Attribute ""%s"" is invalid.","Attribut ""%s"" ist ungültig."
"Attribute ""%s"" is required.","Attribut ""%s"" erforderlich."
"Attribute Information","Eigenschafteninformation"
"Attribute Model","Eigenschaftenmodell"
"Attribute Name:","Eigenschaftenname:"
"Attribute Set","Attributset"
"Attribute Sets","Attribute-Sets"
"Attribute add","Attribut hinzufügen"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Eingabekode ist ungültig. Bitte benutzen Sie nur Buchstaben (a-z), Zahlen (0-9) oder Unterstreichungen (_) in diesem Feld, das erste Zeichen sollte ein Buchstabe sein."
"Attribute group with the \/name/\"" name already exists""","Attributgruppe mit dem \/name/\""-Namen existiert bereits"""
"Attribute group with the \/name/\ name already exists","Es besteht schone eine Gruppe von Attributen mit dem \/name/\ Namen."
"Attribute remove","Attribut löschen"
"Attribute with the same code already exists","Die Eigenschaft ist mit dem gleichen Kode bereits vorhanden"
"Attributes","Attribute"
"Attribute names can be specified per store.","Eigenschaftennamen können pro Laden angegeben werden."
"Attrribute names can be specified per store.","Eigenschaftennamen können pro Laden angegeben werden."
"Autogenerate","Automatisch generieren"
"Availability:","Verfügbarkeit:"
"Back","Zurück"
"Backend Model","Backend-Modell"
"Backend Table","Backend-Tabelle"
"Backend Table Title","Backend-Tabellentitel"
"Backorders","Lieferrückstand"
"Based On","Basierend auf"
"Before Order Confirmation","Vor der Bestellungsbestätigung"
"Best Value","Bester Wert"
"Block after Info Column","Nach Infospalte sperren"
"Bottom Block Options Wrapper","Unterseite Sperroptionendeckblatt"
"Bottom/Left","Unten/Links"
"Bottom/Right","Unten/Rechts"
"Browse By","Durchsuchen nach"
"Bundle Items","Gebündelte Artikel"
"Buy %1$s","Kaufen Sie %1$s"
"Buy %1$s for","Kaufen Sie %1$s für"
"Buy %1$s for %2$s","Kaufen Sie %1$s für %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kaufen Sie %1$s für je %2$s (%3$s inkl. Steuer)"
"Buy %1$s for %2$s each","Kaufen Sie %1$s für je %2$s"
"Cache Lifetime (Seconds)","Cache-Lebensdauer (Sekunden)"
"Cache refresh needed.","Cache-Auffrischung erforderlich."
"Can be Divided into Multiple Boxes for Shipping","Kann für den Versand in mehrere Pakete unterteilt werden"
"Can be used only with catalog input type Dropdown","Kann nur mit Katalog-Eingabeart Auswahlmenü verwendet werden"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kann nur mit Katalog-Eingabeart Auswahlmenü, Mehrfachauswahl und Preis verwendet werden."
"Can\'t create image.","Kann kein Bild erzeugen."
"Cancel","Abbrechen"
"Cannot create image.","Kann kein Bild erzeugen."
"Cannot create writeable directory '%s'.","Kann keine schreibbares Verzeichnis erstellen.'%s'."
"Cart Item Attribute","Merkmal eines Warenkorb-Artikels"
"Catalog","Katalog"
"Catalog Category (Anchor)","Katalogkategorie (Fixpunkt)"
"Catalog Category (Non-Anchor)","Katalogkategorie (kein Fixpunkt)"
"Catalog Category (Without Subcategories)","Katalogkategorie (ohne Unterkategorien)"
"Catalog Category Link","Katalogkategorie-Link"
"Catalog New Products List","Neue Artikelliste des Katalogs"
"Catalog Price Scope","Preisspanne im Katalog"
"Catalog Product Compare List","Katalogartikel-Vergleichsliste"
"Catalog Product Email to a Friend","Artikel aus dem Katalog per eMail an einen Freund senden"
"Catalog Product Image Gallery Popup","Katalog-Popup der Artikel-Bildergallerie"
"Catalog Product Link","Link zu den Artikeln im Katalog"
"Catalog Product View (Any)","Artikelansicht des Katalogs (beliebig)"
"Catalog Product View (Configurable)","Artikelansicht des Katalogs (konfigurierbar)"
"Catalog Product View (Grouped)","Artikelansicht des Katalogs (in Gruppen)"
