"Allow Qty Below 0","Lagerbestand unter 0 erlauben"
"Allow Qty Below 0 and Notify Customer","Lagerbestand unter 0 und Kunden informieren"
"Backorders","Nachbestellungen"
"By Fixed value","Durch festen Wert"
"By Percentage","Durch Prozent"
"Can not specify product identifier for order item","Produktbezeichner für Bestellartikel kann nicht ermittelt werden"
"Decrease Stock When Order is Placed","Lagerbestand nach Bestellung verkleinern"
"Inventory","Lagerverwaltung"
"Inventory API","Lagerverwaltung API"
"Manage Stock","Warenbestand verwalten"
"Maximum Qty Allowed in Shopping Cart","Höchstbestellmenge"
"Minimum Qty Allowed in Shopping Cart","Mindestbestellmenge"
"Minimum Qty for Items' Status to be In Stock","Mindestlagerbestand für ""Auf Lager"
"No Backorders","Keine Nachbestellungen"
"Notify for Quantity Below","Hinweis bei Lagerbestand unter"
"Retrieve stock data by product ids","Lagerbestand nach Produkt-ID abfragen"
"Rule price","Regelpreis"
"Set Items' Status to be In Stock When Order is Cancelled","Artikelstatus auf verfügbar setzen, wenn Bestellung storniert wird"
"Stock Options","Lageroptionen"
"Stock item for Product in option is not valid","Lagerseitiges Produkt für dieses Produkt in Option ist nicht gültig"
"Stock item for Product is not valid","Lagerseitiges Produkt für dieses Produkt nicht gültig"
"The requested quantity for ""%s"" is not available.","Die gewünschte Anzahl für ""%s"" ist momentan nicht verfügbar."
"The requested quantity is not available.","Die gewünschte Anzahl für ist momentan nicht verfügbar."
"To Fixed Value","Auf festen Wert"
"To Percentage","Auf Prozent"
"Update product stock data","Lagerbestand für Produkt aktualisieren"
"Update the Product","Produkt aktualisieren"
