"%s and greater","%s und größer"
"All","Alle"
"SKU","Artikelnummer"
"Autogenerated site map","Automatisch erzeugte Sitemap"
"Modify your search","Ändern Sie Ihre aktuelle Suchanfrage"
"Popular search terms","Beliebteste Suchanfragen"
"Popular Search Terms","Beliebteste Suchanfragen"
"Description","Beschreibung"
"up to %s","bis zu %s"
"Catalog Advanced Search","Erweiterte Katalogsuche"
"Advanced Search","Erweiterte Suche"
"<b>%d item(s)</b> were found using the following search criteria","Es wurden <b>%d Artikel</b> entsprechend Ihren Suchkriterien gefunden"
"Search entire store here...","Gesamten Shop durchsuchen..."
"Search entire store here...","Gesamten Shop durchsuchen..."
"Grid","Gitter"
"Your search returns no results.","Ihre Suche lieferte keine Ergebnisse."
"There are no search terms available.","Keine Suchbegriffe verfügbar."
"Short Description","Kurzbeschreibung"
"List","Liste"
"Name","Name"
"Required Fields","Pflichtfelder"
"Price","Preis"
"Search Site","Seiten durchsuchen"
"You have to specify at least one search term","Sie müssen mindestens ein Wort eingeben"
"Home","Startseite"
"Tax Class","Steuerklasse"
"Search Terms","Suchbegriffe"
"Search","Suche"
"Search Settings","Sucheinstellungen"
"Results","Suchergebnisse"
"Search results for '%s'","Suchergebnisse für '%s'"
"Search results for: '%s'","Suchergebnisse für: '%s'"
"Go to Home Page","Zur Startseite"
