"%s was added to your shopping cart.","%s wurde in den Warenkorb gelegt."
"%s was updated in your shopping cart.","%s wurde im Warenkorb aktualisiert."
"(Excl. Tax)","(Ohne Steuern)"
"(Incl. Tax)","(Mit Steuern)"
"* Required Fields","* Bitte ergänzen Sie diese Informationen"
"Add New Address","Neue Adresse"
"Add New Condition","Neue Bedingung"
"Add coupon code for shopping cart","Rabattcode für Warenkorb"
"Add gift messages to shopping cart","Geschenknachricht zum Warenkorb hinzufügen"
"Add product to shopping cart","Artikel in den Warenkorb legen"
"Add product(s) to shopping cart","Artikel in den Warenkorb legen"
"Add to Cart","In den Warenkorb"
"Add to Compare","Auf die Vergleichsliste"
"Add to Wishlist","Auf den Wunschzettel"
"Additional Product Info","Zusätzliche Artikelinfo"
"Address","Adresse"
"Address %s of %s","Adresse %s von %s"
"After Adding a Product Redirect to Shopping Cart","Nach Hinzufügen eines Artikels zum Warenkorb weiterleiten"
"Allow Guest Checkout","Bezahlvorgang als Gast ermöglichen"
"Already registered?","Bereits registriert?"
"An error occurred in the process of payment","Fehler im Bezahlvorgang"
"An error occurred while deleting this condition.","Ein Fehler ist beim Löschen der Bedingung aufgetreten."
"An error occurred while saving this condition.","Ein Fehler ist beim Speichern der Bedingung aufgetreten."
"Apply","Anwenden"
"Apply Coupon","Rabattcode einlösen"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Sind Sie sicher, dass Sie diese Seite verlassen wollen? Sie werden den Bezahlvorgang erneut durcharbeiten müssen."
"Are you sure you would like to remove this item from the shopping cart?","Soll dieser Artikel wirklich aus Ihrem Warenkorb entfernt werden?"
"Back","Zurück"
"Back to Billing Information","Zurück zur Rechnungsadresse"
"Back to Select Addresses","Zurück zur Adressauswahl"
"Back to Shipping Information","Zurück zur Lieferadresse"
"Back to Shopping Cart","Zurück zum Warenkorb"
"Based on your selection, you may be interested in the following items:","Ausgehend von Ihrer Auswahl könnten Sie auch an den folgenden Artikel interessiert sein:"
"Billing Address","Rechnungsadresse"
"Billing Information","Rechnungsadresse"
"Billing Information - %s","Rechnungsadresse - %s"
"Can not remove the item.","Artikel konnte nicht entfernt werden."
"Can not save item.","Artikel konnte nicht gespeichert werden."
"Cancel","Stornieren"
"Cancel Coupon","Rabattcode stornieren"
"Cannot add item to the shopping cart.","Artikel konnte nicht zum Warenkorb hinzugefügt werden."
"Cannot add the item to shopping cart","Artikel konnte nicht zum Warenkorb hinzugefügt werden."
"Cannot add the item to shopping cart.","Artikel konnte nicht zum Warenkorb hinzugefügt werden."
"Cannot apply the coupon code.","Der Rabattcode konnte nicht eingelöst werden."
"Cannot configure product.","Artikel konnte nicht konfiguriert werden."
"Cannot open the overview page","Übersichtsseite konnte nicht geöffnet werden."
"Cannot process the item.","Artikel konnte nicht verarbeitet werden."
"Cannot remove the item.","Artikel konnte nicht entfernt werden."
"Cannot update shopping cart.","Warenkorb konnte nicht aktualisiert werden."
"Cannot update the item.","Artikel konnte nicht aktualisiert werden."
"Card Verification Number Visual Reference","Kartenprüfnummer"
"Cart","Warenkorb"
"Cart Product API","Warenkorb Artikel-API"
"Cart Subtotal:","Zwischensumme:"
"Change","Ändern"
"Change Billing Address","Rechnungsadresse ändern"
"Checkbox Text","Checkbox Text"
"Checkout","Zur Kasse"
"Checkout Conditions","Widerrufsbelehrung u.ä."
"Checkout Forms Extra","Bezahlvorgang Extraformulare"
"Checkout Method","Wie möchten Sie zur Kasse gehen?"
"Checkout Options","Bezahloptionen"
"Checkout Progress Wrapper","Bezahlvorgang-Fortschrittsbox"
"Checkout Section","Bezahlvorgang"
"Checkout Terms and Conditions","AGB"
"Checkout as Guest","Als Gast zur Kasse gehen"
"Checkout as a Guest or Register","Als Gast zur Kasse oder registrieren"
"Checkout with Multiple Addresses","Zur Kasse mit mehreren Adressen"
"City","Stadt"
"Clear Shopping Cart","Warenkorb leeren"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">Klicken Sie hier</a>, um eine Kopie Ihrer Bestellbestätigung zu drucken."
"Click <a href=""%s"">here</a> to continue shopping.","<a href=""%s"">Klicken Sie hier</a>, um den Einkauf fortzusetzen."
"Close","Schließen"
"Company","Firma"
"Condition Name","Bedingungsbezeichnung"
"Configurable Product Image","Abbildung für konfigurierbaren Artikel"
"Configure Cart Item","Artikel im Warenkorb konfigurieren"
"Confirm Password","Passwort bestätigen"
"Content","Inhalt"
"Content Height","Inhalt Höhe"
"Content Height (css)","Inhalt Höhe (CSS)"
"Continue","Fortsetzen"
"Continue Shopping","Weiter einkaufen"
"Continue to Billing Information","Weiter zur Rechnungsadresse"
"Continue to Review Your Order","Weiter zur Bestellübersicht"
"Continue to Shipping Information","Weiter zur Lieferadresse"
"Country","Land"
"Coupon code ""%s"" is not valid.","Rabattcode ""%s"" ist ungültig."
"Coupon code ""%s"" was applied.","Rabattcode ""%s"" wurde angewendet."
"Coupon code was canceled.","Rabattcode wurde storniert."
"Create Billing Address","Rechnungsadresse anlegen"
"Create Shipping Address","Lieferadresse anlegen"
"Create an order from shopping cart","Geben Sie eine Bestellung aus Ihrem Warenkorb auf."
"Create shopping cart","Warenkorb anlegen"
"Customer Address is not valid.","Kundenanschrift ist nicht gültig."
"Customer Information","Kundendaten"
"Customer's information","Kundendaten"
"Data saving problem","Problem beim Speichern der Daten"
"Default Billing","Standardrechnung"
"Default Shipping","Standard Versand"
"Delete Condition","Bedingung löschen"
"Details","Details"
"Disabled","Deaktiviert"
"Discount Codes","Rabattcodes"
"Display Cart Summary","Übersicht des Warenkorbes anzeigen"
"Display Shopping Cart Sidebar","Warenkorb in der Seitenspalte anzeigen"
"Display item quantities","Artikelmengen anzeigen"
"Display number of items in cart","Anzahl der Artikel im Warenkorb"
"Display number of items in wishlist","Anzahl der Artikel auf dem Wunschzettel"
"Easy access to your order history and status","Einfacher Zugriff auf Ihre bisherigen Bestellungen und deren Status"
"Edit","Bearbeiten"
"Edit Address","Adresse bearbeiten"
"Edit Billing Address","Rechnungsadresse bearbeiten"
"Edit Condition","Bedingung bearbeiten"
"Edit Items","Artikel bearbeiten"
"Edit Shipping Address","Lieferadresse bearbeiten"
"Edit Terms and Conditions","AGB bearbeiten"
"Edit Your Cart","Warenkorb bearbeiten"
"Edit item","Artikel ändern"
"Edit item parameters","Artikelangaben ändern"
"Email Address","E-Mail-Adresse"
"Empty Cart","Warenkorb leeren"
"Empty Shopping Cart Content Before","Zuvor Warenkorbinhalt leeren"
"Enable Onepage Checkout","Einseitigen Bezahlvorgang aktivieren (Onepage Checkout)"
"Enable Terms and Conditions","Allgemeine Geschäftsbedingungen aktivieren"
"Enabled","Aktiviert"
"Enter a New Address","Neue Adresse eingeben"
"Enter your coupon code if you have one.","Wenn Sie einen Rabattcode besitzen, geben Sie diesen bitte hier ein."
"Enter your destination to get a shipping estimate.","Geben Sie Ihren Standort an, um die geschätzten Versandkosten zu ermitteln."
"Estimate","Schätzung"
"Estimate Shipping and Tax","Versandkosten (geschätzt)"
"Excl. Tax","zzgl. Steuern"
"Fast and easy check out","Schneller und einfacher Bestellvorgang"
"Fax","Fax"
"Forgot an Item?","Sie haben einen Artikel vergessen?"
"Forgot your password?","Sie haben Ihr Passwort vergessen?"
"Get a Quote","geschätzte Kosten anzeigen"
"Get list of available payment methods","Liste von verfügbaren Zahlungsarten anzeigen"
"Get list of available shipping methods","Liste von verfügbaren Versandarten anzeigen"
"Get list of products in shopping cart","Liste von Artikeln im Warenkorb anzeigen"
"Get terms and conditions","Bestellbedingungen anzeigen"
"Get total prices for shopping cart","Gesamtpreise für Warenkorb erhalten"
"Gift Message","Geschenk Nachricht"
"Grand Total:","Gesamtsumme:"
"Grouped Product Image","Bild für Gruppen Artikel"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Inkl. Steuern"
"Invalid checkout type.","Ungültiger Bezahlvorgang."
"Invalid data.","Ungültige Daten."
"Invalid email address ""%s""","Ungültige E-Mail-Adresse ""%s"""
"Invalid method: %s","Ungültige Methode: %s"
"Invalid shipping method.","Ungültige Versandart."
"Item not found or already ordered","Artikel nicht gefunden oder bereits bestellt"
"Item was removed successfully.","Posten wurde entfernt."
"Item was updated successfully.","Posten wurde aktualisiert."
"Items","Artikel"
"Items After","Artikel danach"
"Items Before","Artikel davor"
"Load customer quote error","Fehler beim Laden des Kundenangebots"
"Loading next step...","Nächster Schritt wird geladen ..."
"Login","Anmelden"
"Login/Registration Before","Bitte melden Sie sich an oder registrieren Sie sich"
"Manage Terms and Conditions","Allgemeine Geschäftsbedingungen verwalten"
"Maximum Display Recently Added Item(s)","Maximalanzeige kürzlich hinzugefügter Artikel"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximalmenge für den Versand an mehrfache Adressen ist %s"
"Mini-cart promotion block","Promotionblock Mini-Warenkorb"
"Minimum order amount is %s","Die Mindestbestellsumme beträgt %s"
"Move","Verschieben"
"Move to Wishlist","Auf den Wunschzettel setzen"
"Move to wishlist","Auf den Wunschzettel setzen"
"Multishipping Checkout","Zur Kasse gehen mit mehreren Versanddressen"
"Multishipping Checkout Address (Any) Form","Gang zur Kasse mit mehreren Adressen - Anschrift"
"Multishipping Checkout Billing Address Creation","Gang zur Kasse mit mehreren Adressen - Rechnungsanschrift erstellen"
"Multishipping Checkout Billing Address Edit Form","Gang zur Kasse mit mehreren Adressen - Rechnungsanschrift bearbeiten"
"Multishipping Checkout Billing Address Selection","Gang zur Kasse mit mehreren Adressen - Rechnungsanschrift auswählen"
"Multishipping Checkout Billing Information Step","Gang zur Kasse mit mehreren Adressen - Rechnungsanschrift anzeigen"
"Multishipping Checkout Customer Address Edit Form","Gang zur Kasse mit mehreren Adressen - Kundenanschrift bearbeiten"
"Multishipping Checkout Overview","Gang zur Kasse mit mehreren Adressen - Übersicht"
"Multishipping Checkout Shipping Address Creation","Gang zur Kasse mit mehreren Adressen - Versandanschrift erstellen"
"Multishipping Checkout Shipping Address Edit Form","Gang zur Kasse mit mehreren Adressen - Versandanrschrift bearbeiten"
"Multishipping Checkout Shipping Address Selection","Gang zur Kasse mit mehreren Adressen - Versandanschrift auswählen"
"Multishipping Checkout Shipping Information Step","Gang zur Kasse mit mehreren Adressen - Versandanschrift anzeigen"
"Multishipping Checkout Success","Gang zur Kasse mit mehreren Adressen - Erfolgreich abgeschlossen"
"My Cart","Mein Warenkorb"
"My Cart (%s item)","Mein Warenkorb (%s Artikel)"
"My Cart (%s items)","Mein Warenkorb (%s Artikel)"
"My Cart Extra Actions","Mein Warenkorb - Extra-Aktionen"
"My Cart Link","Link zu meinem Warenkorb"
"New Address","Neue Adresse"
"New Condition","Neue Bedingung"
"New Terms and Conditions","Neue allgemeine Geschäftsbedingungen"
"No Payment Methods","Keine Zahlungsarten"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","Der Gesamtbetrag der Bestellung wird Ihnen noch einmal angezeigt, bevor Sie die Bestellung aufgeben."
"One Page Checkout","Bezahlvorgang auf einer Seite"
"One Page Checkout Failure","Bezahlvorgang - Fehler"
"One Page Checkout Overview","Bezahlvorgang - Übersicht"
"One Page Checkout Success","Bezahlvorgang - Erfolgreich abgeschlossen"
"One item of products do not have identifier or sku","Ein Posten der Artikel hat keine Kennung oder keine SKU-Nummer"
"One item of products is not belong any of quote item","Ein Posten der Artikel gehört nicht zu den angebotenen Artikeln"
"Order #","Bestellung Nr."
"Order Review","Bestellübersicht"
"Order Success","Bestellung erfolgt"
"Order place error.","Die Bestellung konnte nicht aufgegeben werden."
"Other Items in Your Order","Andere Artikel in Ihrer Bestellung"
"Overview Items After","Übersicht Artikel nach"
"Password","Passwort"
"Payment Failed Emails","E-Mails bei fehlgeschlagener Zahlung"
"Payment Failed Email Reciever","Empfänger Zahlung-Fehlgeschlagen-E-Mail"
"Payment Failed Email Sender","Absender Zahlung-Fehlgeschlagen-E-Mail"
"Payment Failed Template","Vorlage Zahlung-Fehlgeschlagen-E-Mail"
"Payment Information","Zahlungsinformation"
"Payment Method","Zahlungsart"
"Payment Methods After","Zahlungsarten nach"
"Payment Methods After Checkout Button","Zahlungsarten nach dem zur Kasse Button"
"Payment Methods Before","Zahlungsarten vor"
"Payment Methods Before Checkout Button","Zahlungsarten vor dem zur Kasse Button"
"Payment method information","Zahlmethoden Information"
"Payment method is not defined","Die Zahlweise ist nicht definiert"
"Payment methods in shopping cart","Zahlungsarten im Warenkorb"
"Payment profile # %s: ""%s"".","Zahlungs-Profil # %s: ""%s""."
"Place Order","Jetzt kaufen"
"Please agree to all Terms and Conditions before placing the order.","Bitte akzeptieren Sie unsere Geschäftsbedingungen, bevor Sie Ihre Bestellung abschließen."
"Please agree to all Terms and Conditions before placing the orders.","Bitte akzeptieren Sie unsere Geschäftsbedingungen, bevor Sie Ihre Bestellung abschließen."
"Please agree to all the terms and conditions before placing the order.","Bitte akzeptieren Sie unsere Geschäftsbedingungen, bevor Sie Ihre Bestellung abschließen."
"Please check billing address information.","Bitte prüfen Sie die Rechnungsanschrift."
"Please check shipping address information.","Bitte prüfen Sie die Versandanschrift."
"Please check shipping addresses information.","Bitte prüfen Sie die Versandanschriften."
"Please choose to register or to checkout as a guest","Bitte registrieren Sie sich, oder gehen Sie als Gast zur Kasse"
"Please log in below:","Bitte melden Sie sich hier an:"
"Please select region, state or province","Bitte wählen Sie Region, Land oder Bundesland"
"Please select shipping address for applicable items","Bitte wählen Sie die Lieferadresse für die entsprechenden Artikel"
"Please select shipping methods for all addresses","Bitte wählen Sie die Versandarten für alle Adressen"
"Please select valid payment method.","Bitte wählen Sie eine gültige Zahlungsart."
"Please specify payment method.","Bitte bestimmen Sie die Bezahlmethode."
"Please specify shipping method.","Bitte bestimmen Sie die Versandart."
"Please specify shipping methods for all addresses.","Bitte wählen Sie die Versandarten für alle Adressen."
"Price","Preis"
"Proceed to Checkout","zur Kasse gehen"
"Product","Artikel"
"Product Name","Artikelname"
"Products","Artikel"
"Qty","Menge"
"Qty:","Menge:"
"Quantity","Menge"
"Quantity was recalculated from %d to %d","Menge wurde von %d auf %d geändert"
"Quote Lifetime (days)","Gültigkeit der Preise Warenkorb (in Tagen)"
"Quote item does not exist.","Der Artikel im Warenkorb existiert nicht mehr."
"Quote item is not found.","Der Artikel im Warenkorb wurde nicht gefunden."
"Recently added item(s)","Kürzlich hinzugefügte Artikel"
"Register","Registrieren"
"Register and save time!","Melden Sie sich an und sparen Sie Zeit!"
"Register to Create an Account","Registrieren Sie sich, um Ihr Benutzerkonto anzulegen."
"Register with us for future convenience:","Registrieren Sie sich für mehr Komfort bei Ihrem nächsten Besuch:"
"Remove Item","Artikel entfernen"
"Remove This Item","Diesen Artikel entfernen"
"Remove coupon code from shopping cart","Rabattcode entfernen"
"Remove item","Artikel entfernen"
