"Accepted Currency","Akzeptierte Währung"
"An error has occurred","Ein Fehler ist aufgetreten"
"An error occurred during paying process.","Ein Fehler ist im Zahlungsprozess aufgetreten."
"An error occurred during the paying process.","Ein Fehler ist im Zahlungsprozess aufgetreten."
"Authorize Only","Nur authorisiert"
"Authorize and Capture","Authorisiert und einfangen"
"CGI URL","CGI URL"
"Card Verification Number","Karten Prüfnummer"
"ChronoPay Gateway","ChronoPay Gateway"
"ChronoPay Standard","ChronoPay Standard"
"Credit Card Number","Kreditkarten-Nummer"
"Credit Card Number: xxxx-%s","Kreditkarten-Nummer: xxxx-%s"
"Credit Card Type","Kreditkarten-Art"
"Credit Card Type: %s","Kredoitkarten-Art: %s"
"Credit Card Types","Kreditkarten-Arten"
"Customer Interface Language","Sprache für Kundenbereich"
"Debug","Debug"
"Dutch","Holländisch"
"Enabled","Aktiviert"
"English","Englisch"
"Expiration Date","Ablaufdatum"
"Gateway request error: %s","Gateway Anforderungs-Fehler: %s"
"German","Deutsch"
"Invalid operation code.","Ungültiger Vorgangs-Code."
"Invalid response format.","Ungültiges Antwort Format."
"Name on Card","Karteninhaber"
"Name on the Card: %s","Karteninhaber: %s"
"New Order Status","Neuer Bestellstatus"
"Order #%s","Bestellung #%s"
"Order number will be used if left empty.","Order number will be used if left empty."
"Payment Action","Zahlungs-Aktion"
"Payment from Applicable Countries","Zahlung aus zugelassenen Ländern"
"Payment from Specific Countries","Zahlung aus bestimmten Ländern"
"Please Select","Bitte wählen"
"Product ID","Produkt ID"
"Russian","Russisch"
"Shared Secret","Shared Secret"
"Site ID","Site ID"
"Sort Order","Reihenfolge"
"Specify access URL: {STORE_URL}/chronopay/standard/success in the ChronoPay client admin.","Legen Sie die Zugangs-URL: {STORE_URL}/chronopay/standard/success im Chronopay Client Admin an."
"The customer has successfully returned from Chronopay.","Der Kunde ist erfolgreich von Chronopay zurückgekehrt."
"The customer was redirected to Chronopay.","der Kunde wurde zu Chronopay umgeleitet."
"The selected currency code (%s) is not compatible with ChronoPay.","Der ausgewählte Währungscode (%s) ist nicht kompatibel zu ChronoPay."
"The transaction ID is invalid.","Die Transaktions ID ist ungültig."
"Title","Titel"
"Transaction Description","Transaktions-Beschreibung"
"What is this?","Was ist das?"
"You will be redirected to ChronoPay in a few seconds.","Sie werden in ein Paar Sekunden zu ChronoPay umgeleitet."
"You will be redirected to Chronopay website when you place an order.","Sie werden zur ChronoPay Webseite weitergeleitet wenn Sie die Bestellung abschließenY."
