"Collected Files Count","Anzahl erfasster Dateien"
"Compilation","Compiler"
"Compilation State","Kompilierungsstatus"
"Compilation error","Kompilierungsfehler"
"Compiled","Kompiliert"
"Compiled Scopes Count","Anzahl erfasster Bereiche"
"Compiler Status","Compiler Status"
"Compiler include path is disabled.","Compiler include Pfad wurde deaktiviert."
"Compiler include path is enabled.","Compiler include Pfad wurde aktiviert."
"Directory ""%s"" must be writeable","Verzeichnis ""%s"" muss schreibbar sein"
"Disable","Deaktivieren"
"Disabled","Deaktiviert"
"Enable","Aktivieren"
"Enabled","Aktiviert"
"File ""%s"" must be writeable","Datei ""%s"" muss schreibbar sein"
"Not Compiled","Nicht kompiliert"
"Run Compilation Process","Kompilierungsprozess starten"
"Scopes Compilation Settings","Bereichsbezogene Kompilierung"
"System","System"
"The compilation has completed.","Die Kompilierung wurde abgeschlossen."
"Tools","Werkzeuge"
