"-- Please Select --","-- Bitte auswählen --"
"Add to Cart","In den Warenkorb"
"Choose an Option...","Option auswählen..."
"Configurable Swatches","Konfigurierbare Muster"
"Enabled","Aktiviert"
"General Settings","Allgemeine Einstellungen"
"Height","Höhe"
"In Stock","Auf Lager"
"Innermost dimensions, not including border, in pixels","Innerste Abmessungen, ohne Rahmen in Pixel"
"Out of Stock","Nicht auf Lager"
"Previous","Zurück"
"Product Attribute to Use for Swatches in Product Listing","Artikel-Attribut zum Benutzen der Muster in der Artikelliste"
"Product Attributes to Show as Swatches in Product Detail","Artikel-Attribute zum Anzeigen der Muster bei den Artikelangaben"
"Remove This Item","Diesen Artikel entfernen"
"Swatch Dimensions in Layered Navigation","Musterbild-Abmessungen in der Filternavigation"
"Swatch Dimensions in Product Listing","Musterbild-Abmessungen in der Artikelliste"
"Swatch Dimensions on Product Detail Page","Musterbild-Abmessungen auf der Artikeldetailseite"
"Width","Breite"
