"1.5.0.0 & later","1.5.0.0 und neuer"
"Action","Aktion"
"Add Author","Autor hinzufügen"
"Add Contents Path","Inhaltspfad hinzufügen"
"Add PHP Extension dependency","PHP-Erweiterung-Abhängigkeit hinzufügen"
"Add Package dependency","Paket-Abhängigkeit hinzufügen"
"Add files","Dateien hinzufügen"
"Authors","Verantworliche Autoren"
"Channel","Kanal"
"Contents","Inhalte"
"Create Extension Package","Erweiterungs-Paket erstellen"
"Dependencies","Abhängigkeiten"
"Description","Beschreibung"
"Edit Extension","Erweiterung bearbeiten"
"Email","E-Mail"
"Extension","Erweiterung"
"Extensions","Erweiterungen"
"Failed to create the package.","Paket konnte nicht erstellt werden."
"Failed to load the package data.","Paketdaten konnten nicht geladen werden."
"Failed to save the package.","Paket konnte nicht gespeichert werden."
"Files","Dateien"
"Folder","Verzeichnis/Pfad"
"Ignore","Ignorieren"
"Include","Einschließen"
"License","Lizenz"
"License URI","Lizenz URI"
"Load Local Package","Lokales Paket laden"
"Load local Package","Lokales Paket laden"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manager"
"Max","Max"
"Maximum","Maximum"
"Min","Min"
"Minimum","Minimum"
"Name","Name"
"New Extension","Neue Erweiterung"
"PHP Version","PHP-Version"
"Package","Paket"
"Package Extensions","Paket Erweiterungen"
"Package File Name","Paket Dateiname"
"Package Info","Paket Info"
"Packages","Pakete"
"Path","Pfad"
"Pre-1.5.0.0","älter als 1.5.0.0"
"Release Info","Versionsinformationen"
"Remove","Entfernen"
"Save As...","Speichern unter …"
"Save Data and Create Package","Daten speichern und Paket erstellen"
"Save package with custom package file name","Paket unter individuellem Namen speichern"
"Summary","Kurzbeschreibung"
"Supported releases","Unterstützte Versionen"
"System","System"
"Target","Ziel"
"The package %s data has been loaded.","Die Daten des Pakets %s wurden geladen."
"The package data has been saved.","Die Paketdaten wurden gespeichert."
"There was a problem saving package data","Beim Speichern der Paketdaten ist ein Fehler aufgetreten."
"Type","Art"
"User","Benutzer"
