"* Required Fields","* Pflichtfelder"
"Comment","Kommentar"
"Contact Form","Kontaktformular"
"Contact Information","Kontaktdaten"
"Contact Us","Kontaktieren Sie uns"
"Contact Us Form","Kontaktformular"
"Contacts","Kontakte"
"Contacts Section","Kontakte"
"Email","E-Mail"
"Email Options","E-Mail Optionen"
"Email Sender","E-Mail Absender"
"Email Template","E-Mail Vorlage"
"Enable Contact Us","'Kontakt' aktivieren"
"Name","Name"
"Send Emails To","Sende E-Mails an"
"Submit","Absenden"
"Telephone","Telefon"
"Unable to submit your request. Please, try again later","Fehler beim Übertragen der Anfrage. Bitte versuchen Sie es später noch einmal."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Ihre Anfrage wurde übertragen. Wir werden diese umgehend bearbeiten und uns gegebenenfalls mit Ihnen in Verbindung setzen. Vielen Dank!"
