"%s","%s"
"%s already exist.","%s existieren bereits."
"%s already exists.","%s existiert bereits."
"-- Please Select --","-- Bitte auswählen --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Vorsicht!</strong> Wenn Sie CDN verwenden, kann  es in einigen Fällen vorkommen, dass JavaScript nicht korrekt läuft, wenn CDN nicht in Ihrer Subdomain enthalten ist."
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Warnung!</strong> Wenn Sie den Laden-Kode in URLs benutzen, arbeitet das System in einigen Fällen nicht korrekt, falls die URLs ohne Laden-Kode in den Diensten von Dritten spezifiziert sind (z. B. PayPal etc.).<br /><strong>Beispiel:</strong> http://shop.com/<span style=""color:red"">de</span>/customer/account/login"
"A category object is required for determining the product request path.","Es wird ein Kategorieobjekt benötigt, um den Produktanfragepfad herauszufinden."
"Active From","Aktiv von"
"Active To","Aktiv bis"
"Add Block Names to Hints","Blocknamen zu Hinweisen hinzufügen"
"Add Secret Key to URLs","Geheimschlüssel zu URLs hinzufügen"
"Add Store Code to Urls","Laden-Kode zu URLs hinzufügen"
"Admin","Verwalteroptionen"
"Admin Base URL","Admin Basis-URL"
"Admin User Emails","Admin Benutzer-eMails"
"Advanced","Erweiterte Optionen"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Nachdem Sie einen neuen Medienspeicherort gewählt haben, drücken Sie den ""Synchronisieren""-Knopf, um alle Medien an diesen Ort zu übertragen. Medien sind an diesem neuen Ort erst verfügbar, wenn der Synchronisierungsprozess abgeschlossen ist."
"Allow Countries","Erlaubte Länder"
"Allow Magento Backend to run in frame","Magento Backend die Ausführung im Frame erlauben"
"Allow Magento Frontend to run in frame","Magento Frontend die Ausführung im Frame erlauben"
"Allow Symlinks","Symlinks erlauben"
"Allowed IPs (comma separated)","Zugelassene IPs (durch Kommata getrennt)"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Erlaubte Dateitypen: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Nicht alle Browser unterstützen alle dieser Formate!"
"Allows customers to stay logged in when switching between different stores.","Kunden erlauben eingeloggt zu bleiben, wenn sie zu einem anderen Laden wechseln."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternativtext für den ""Nächste Seite""-Link in der Aufzählungsleiste. Wenn leer, wird eine Pfeil-Grafik verwendet."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternativtext für den ""Vorherige Seite""-Link in der Seitenübersicht. Wenn leer, wird eine Pfeil-Grafik verwendet."
"An error occurred while saving. Please review the error log.","Beim Speichern trat ein Fehler auf. Bitte sehen Sie in der Log-Aufzeichnung nach."
"Anchor Text for Next","Anker-Text für einen<br /> Seitensprung <i>vor</i>"
"Anchor Text for Previous","Anker-Text für einen<br /> Seitensprung <i>zurück</i>"
"Anchor symbol (#) is not supported in request path","Das Anker-Zeichen (#) wird im Anforderungspfad nicht unterstützt"
"Anchor symbol (#) is not supported in url rewrite suffix","Das Anker-Zeichen (#) wird beim URL-Rewrites-Suffix nicht unterstützt"
"Are you sure?","Sind Sie sicher?"
"Auto-redirect to Base URL","Automatische Weiterleitung zur Basis-URL"
"Back","Zurück"
"Backup Options","Sicherungsoptionen"
"Base JavaScript URL","Basis-URL Javascript"
"Base Link URL","Basis-URL Links"
"Base Media URL","Basis-URL Medien"
"Base Secure URL","Gesicherte Basis-URL"
"Base Skin URL","Basis-URL Skins"
"Base URL","Basis-URL"
"Base Unsecure URL","Ungesicherte Basis-URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Bevor Sie den Ladenansicht-Quelltext bearbeiten, sehen Sie bitte nach, dass es nicht in index.php verwendet wird."
