"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' ist offenbar ein DNS-Hostname, aber die Hauptdomäne (TLD) konnte nicht ausgelesen werden.",
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' ist offenbar ein DNS-Hostname, aber die Hauptdomäne (TLD) befindet sich nicht unter den bekannten Einträgen.",
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' ist offenbar ein DNS-Hostname, aber die Hauptdomäne (TLD) '%tld% entspricht keinem Hostnamen-Schema.",
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' ist offenbar ein DNS-Hostname, enthält aber einen Bindestrich an einer ungültigten Stelle.",
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' ist offenbar ein DNS-Hostname, aber die verwendete Punycode-Notation konnte nicht entschlüsselt werden.",
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' scheint ein lokaler Netzwerkname zu sein. Lokale Netzwerknamen sind jedoch nicht erlaubt.",
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' scheint eine IP-Adresse zu sein. IP-Adressen sind jedoch nicht erlaubt.",
"'%value%' does not appear to be a valid local network name","%value%' scheint kein gültiger lokaler Netzwerkname zu sein.",
"* Required Fields","* Pflichtfelder",
"ALL GROUPS","Alle Kundengruppen",
"Account Dashboard","Kundenkonto Übersicht",
"Account Information","Kundenkonto Information",
"Account Sharing Options","Kundenkonto Verteilungsoptionen",
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Sie müssen Ihr Konto zunächst bestätigen. Bitte überprüfen Sie Ihr ePostfach, ob Sie den Bestätigungslink erhalten haben. Falls die Bestätigungsmail noch einmal gesendet werden soll, <a href=""%s"">klicken Sie bitte hier</a>.",
"Action","Aktion",
"Add New Address","Neue Adresse",
"Add New Customer","Neuer Kunde",
"Add New Customer Group","Neue Kundengruppe",
"Added From","Hinzugefügt von",
"Additional Address Entries","Zusätzliche Adresseinträge",
"Address","Adresse",
"Address Book","Adressbuch",
"Address Books","Adressbücher",
"Address Information","Adress-Informationen",
"Address Templates","Adress-Formatvorlagen",
"Addresses","Adressen",
"Admin","Admin",
"All","Alle",
"All Store Views","Alle Ladenansichten",
"All countries","Alle Länder",
"Always optional.","Immer wahlfrei",
"Amount","Betrag",
"An error occurred while deleting the address.","Beim Löschen der Adresse ist ein Fehler aufgetreten.",
"An error occurred while retrieving the option value: %s.","Ein Fehler ist beim Auslesen des Einstellungswerts %s aufgetreten.",
"An error occurred while saving the collection, aborting. Error: %s","Ein Fehler ist beim Speichern der Sammlung aufgetreten. Abbrechen. Fehler: %s",
"An invalid option ID is specified for %s (%s), skipping the record.","Eine ungültige Options-ID wurde für %s angegeben (%s). Der Eintrag wird übersprungen.",
"Approved","Bestätigt",
"Are you sure that you want to remove this item?","Sind Sie sicher, dass Sie diesen Posten überspringen wollen?",
"Are you sure you want to cancel adding of this address?","Sind Sie sicher, dass Sie die Adresseingabe abbrechen wollen?",
"Are you sure you want to delete this address?","Sind Sie sicher, dass Sie diese Adresse löschen wollen?",
"Are you sure?","Sind Sie sicher?",
"Array of Entity collections is expected.","Ein Array von Entitäten-Collections wurde erwartet.",
"Assign a Customer Group","Kundengruppe zuweisen",
"Average Sale","Durchschnittlicher Verkauf",
"Back","Zurück",
"Back - link to the previously viewed page","Zurück - Link zur vorher angeschauten Seite",
"Back to Login","Zurück zur Anmeldung",
"Bad request.","Fehlerhafte Anfrage.",
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Anhand der Umsatzsteuer-Identifikationsnummer wird der Kunde der Kundengruppe %s zugeordnet.",
"Bill to Name","Rechnung an",
"Bought From","Gekauft von",
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Wenn Sie sich anmelden, können Sie den Bezahlprozess schneller durchlaufen, mehrere Lieferadressen speichern, Ihre Bestellungen in Ihrem Konto anschauen und verfolgen und vieles mehr.",
"CSV","CSV",
"Cancel","Abbrechen",
"Cannot save a new password.","Neues Passwort konnte nicht gespeichert werden.",
"Cannot save address.","Adresse speichern nicht möglich.",
"Cannot save the customer.","Speichern des Kunden nicht möglich.",
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Das Kundenkonto kann nicht global genutzt werden, da Kundenkonten mit den gleichen eMails bereits auf verschiedenen Webseites existieren und nicht zusammengeführt werden können.",
"Change Account Password","Passwort für Benutzerkonto ändern",
"Change Billing Address","Rechnungsadresse ändern",
"Change Password","Passwort ändern",
"Change Shipping Address","Versandadresse ändern",
"City","Stadt",
"Company","Firma",
"Config","Konfiguration",
"Configure","Konfigurieren",
"Confirm New Password","Neues Passwort bestätigen",
"Confirm Password","Passwort bestätigen",
"Confirmation Link Email","Bestätigungslink-eMail",
"Confirmed","Bestätigt",
