"Custom text for checkout page,"" Benutzerdefinierter Text"""
"Debit Payment,""Lastschrift"""
"Encrypt bank data in email,""Bankdaten in der E-Mail verschlüsseln"""
"Send bank data via email,""Bankdaten via E-Mail mitversenden"""
































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































