"-- Please select --","-- Bitte wählen --"
"Enabled","Aktiviert"
"Currency Update Warnings","Aktualisierungswarnung der Währung"
"Base currency (Currency will be used for all online payment transactions)","Basiswährung (Diese Währung wird für alle Online-Zahlungen verwendet)"
"Continue &raquo;","Continue &raquo;"
"Country","Country"
"Currency Setup","Einrichten der Währung"
"Scheduled Import Settings","Einstellungen für terminierten Import"
"Allowed currencies","Erlaubte Währungen"
"Error Email Sender","Fehler E-Mail Absender"
"Error Email Recipient","Fehler E-Mail Empfänger"
"Error Email Template","Fehler E-Mail Vorlage"
"Frequency","Häufigkeit"
"Your current currency is: %s","Ihre aktuelle Währung ist: %s"
"Installed Currencies","Installierte Währungen"
"Unable to initialize import model","Konnte Importmodell nicht initialisieren"
"Country and Format Type combination should be unique","Land- und Formatkombination sollte einmalig sein."
"State/Province","Land/Bundesland"
"FATAL ERROR:","Schwerwiegender Fehler:"
"Service","Service"
"Default display currency","Standardmäßig angezeigte Währung"
"Start Time","Startzeit"
"Cannot retrieve rate from %s","Umrechnungskurs konnte nicht von %s abgerufen werden"
"Undefined rate from ""%s-%s""","Unbestimmter Kurs von ""%s-%s"""
"Invalid rates received","Ungültige Kurse empfangen"
"Invalid target currency","Ungültige Zielwährung"
"Invalid Import Service Specified","Ungültiger Importservice angegeben"
"Invalid country code: %s","Ungültiger Ländercode: %s"
"WARNING:","WARNUNG:"
"Currency","Währung"
"Select Your Currency","Währung wählen"
"Currency Options","Währungsoptionen"
