"""%s"" contains not only digit characters.","""%s"" enthält nicht nur Zahlen."
"""%s"" does not fit the entered date format.","""%s"" erfüllt nicht das festgelegte Datumsformat."
"""%s"" exceeds the allowed file size.","""%s"" überschreitet die erlaubte Dateigröße."
"""%s"" exceeds the allowed length.","""%s"" überschreitet die erlaubte Länge."
"""%s"" has not only alphabetic and digit characters.","""%s"" enthält nicht nur alphabetische oder nummerische Zeichen."
"""%s"" has not only alphabetic characters.","""%s"" enthält nicht nur alphabetische Zeichen."
"""%s"" height exceeds allowed value of %s px.","""%s"" Höhe überschreitet den erlaubten Wert von %s px."
"""%s"" invalid type entered.","""%s"" Ungültiger Typ eingegeben."
"""%s"" is a required value.","""%s"" ist ein Pflichtfeld."
"""%s"" is an empty string.","""%s"" ist ein leerer String."
"""%s"" is not a valid URL.","""%s"" ist keine gültige URL."
"""%s"" is not a valid date.","""%s"" ist kein gültiges Datum."
"""%s"" is not a valid email address.","""%s"" ist keine gültige E-Mail Adresse."
"""%s"" is not a valid file","""%s"" ist keine gültige Datei"
"""%s"" is not a valid file extension.","""%s"" ist kein gültiges Dateiformat."
"""%s"" is not a valid file.","""%s"" ist kein gültiges Datum."
"""%s"" is not a valid hostname.","""%s"" ist kein gültiger Hostname."
"""%s"" is not a valid image format","""%s"" ist kein gültiges Bildformat"
"""%s"" length must be equal or greater than %s characters.","""%s"" Länge muss gleich oder größer als %s Zeichen sein."
"""%s"" length must be equal or less than %s characters.","""%s"" Länge muss kleiner oder gleich %s Zeichen sein."
"""%s"" width exceeds allowed value of %s px.","""%s"" Breite überschreitet den erlaubten Wert von %s px."
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' scheint ein DNS-Hostname zu sein, aber TLD-Teil konnte nicht ausgelesen werden"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' scheint ein DNS-Hostname zu sein, aber der TLD-Teil scheint nicht gültig zu sein"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' scheint ein DNS-Hostname zu sein, aber der TLD-Teil '%tld%' konnte nicht gegen das Schema validiert werden"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' scheint ein DNS-Hostname zu sein, enthält aber einen Bindestrich an einer ungültigten Position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' scheint ein DNS-Hostname zu sein, aber die verwendete PunyCode-Notation konnte nicht entschlüsselt werden"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' scheint ein lokaler Netzwerkname zu sein. Lokale Netzwerknamen sind jedoch nicht erlaubt"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' scheint eine IP-Adresse zu sein. IP-Adressen sind aber nicht erlaubt"
"'%value%' does not appear to be a valid URI hostname","'%value%' scheint kein gültiger URI-Hostname zu sein"
"'%value%' does not appear to be a valid local network name","'%value%' scheint kein gültiger lokaler Netzwerkname zu sein"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' entspricht nicht der erwarteten Struktur eines DNS-Hostnamens"
"A joint field with this alias (%s) is already declared","Ein Joint-Feld mit diesem Alias (%s) wurde bereits angelegt"
"Add Option","Option hinzufügen"
"An error occurred while loading a record, aborting. Error: %s","Beim Laden eines Datensatzes ist folgender Fehler aufgetreten: %s"
"An error occurred while loading the collection, aborting. Error: %s","Beim Laden einer Collection ist folgender Fehler aufgetreten: %s"
"An error occurred while saving a record, aborting. Error: ","Beim Speichern eines Datensatzes ist folgender Fehler aufgetreten: %s"
"Attempt to add an invalid object","Versuch ein ungültiges Objekt anzulegen"
"Attribute '%s' used in configurable products","Attribut '%s' wird in konfigurierbaren Artikeln verwendet."
"Attribute Code","Attribut Code"
"Attribute Label","Attribut Label"
"Attribute Properties","Attribute Eigenschaften"
"Attribute object is undefined","Attribut Objekt ist nicht definiert"
"Attribute set with the ""%s"" name already exists.","Attribut-Set mit dem Namen ""%s"" existiert bereits."
"Attribute with the same code","Attribut mit dem gleichen Code"
"Can\'t create table: %s","Tabelle %s kann nicht angelegt werden"
"Catalog Input Type for Store Owner","Katalog Eingabe-Typ für den Shopbetreiber"
"Current module EAV entity is undefined","Aktuelle EAV-Entität des Moduls ist nicht definiert"
"Current module pathname is undefined","Aktueller Pfadname des Moduls ist nicht definiert"
"Data integrity: No header row found for attribute","Datenintegrität: Keine Kopfzeile für Attribut gefunden"
"Date","Datum"
"Decimal Number","Dezimalzahl"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Standard Artikel-Sortierkriterium ist in den verfügbaren Kriterien nicht enthalten"
"Default Value","Standardwert"
"Default option value is not defined","Standard Optionswert ist nicht definiert"
"Delete","Löschen"
"Dropdown","Drop-Down"
"Email","eMail"
"Entity collection expected.","Entitäten Collection erwartet."
"Entity collections expected.","Entitäten Collections erwartet."
"Entity instance is not defined","Entitäten-Instanz ist nicht definiert"
"Entity is not initialized","Datensatz ist nicht initialisiert"
"Entity object is undefined","Entitäten-Objekt ist nicht definiert"
"Failed to load node %s from config","Knoten %s konnte nicht aus der Konfiguration geladen werden."
"Form Element with the same attribute","Formular-Element mit dem selben Attribut"
"Form Fieldset with the same code","Formular-Feldgruppe mit dem selben Code"
"Form Type with the same code","Formular-Typ mit dem selben Code"
"Form code is not defined","Formular-Code ist nicht definiert"
"Frontend label is not defined","Oberflächenbezeichner ist nicht definiert"
"Input Validation for Store Owner","Eingabeüberprüfung für den Shop-Betreiber"
"Integer Number","Ganzzahl"
"Invalid EAV attribute.","Ungültiges EAV Attribut."
"Invalid alias, already exists in joint attributes","Ungültiger Alias, besteht bereits in zusammengeführten Attributen"
"Invalid attribute name: %s","Ungültiger Attributname: %s"
"Invalid attribute requested: %s","Ungültiges Attribut angefragt: %s"
"Invalid attribute type","Ungültiger Attributtyp"
"Invalid character encountered in increment ID: %s","Ungültiges Zeichen in hochgezählter ID gefunden: %s"
"Invalid date","Ungültiges Datum"
"Invalid default date","Ungültiges Standard Datum"
"Invalid default decimal value","Ungültiger Standard Dezimalwert"
"Invalid entity specified","Ungültiger Datensatz angegeben"
"Invalid entity supplied.","Ungültige Entity angegeben."
"Invalid entity supplied: %s","Ungültigen Datensatz angegeben: %s"
"Invalid entity type","Ungültiger Datensatztyp"
"Invalid entity_id, skipping the record.","Ungültige Entity_id, Datensatz wird übersprungen."
"Invalid entity_type specified: %s","Ungültiger Datensatztyp angegeben: %s"
"Invalid foreign key","Ungültiger Fremdschlüssel"
"Invalid form type.","Ungültige Formuarart."
"Invalid joint fields","Ungültige gemeinsame Felder"
"Invalid store specified","Ungültiger Store angegeben"
"Invalid type given. String expected","Ungültiger Datentyp. Zeichenfolge wird erwartet"
"Joined field with this alias is already declared","Zusammengeführtes Feld mit diesem Alias wurde bereits deklariert"
"Joint field or attribute expression with this alias is already declared","Zusammengeführtes Feld oder Attributausdruck mit diesem Alias wurde bereits deklariert"
"Letters","Buchstaben"
