" Copy"," Kopieren"
"Action","Aktion"
"Add New Template","Neue Vorlage"
"Add to Queue","Zur Warteschlange hinzufügen"
"Allow Guest Subscription","Gästen die Anmeldung erlauben"
"An error occurred while saving your subscription.","Beim Speichern Ihrer Anmeldung ist ein Fehler aufgetreten."
"Are you sure that you want to delete this template?","Sind Sie sicher, dass Sie diese Vorlage löschen möchten?"
"Are you sure that you want to strip all tags?","Sind Sie sicher, dass Sie alle HTML-Tags aus dem Text entfernen möchten?"
"Back","Zurück"
"Cancel","Abbrechen"
"Cancelled","Abgebrochen"
"Cannot mark as received subscriber.","Empfänger konnte nicht als 'versendet' markiert werden."
"Confirmation Email Sender","E-Mail Absender für Bestätigung"
"Confirmation Email Template","E-Mail Vorlage für Bestätigung"
"Confirmation request has been sent.","Bestätigungsanfrage wurde versendet."
"Convert to Plain Text","In reinen Text umwandeln"
"Create Newsletter Template","Newsletter-Vorlage anlegen"
"Customer","Kunde"
"Customer First Name","Kunde Vorname"
"Customer Last Name","Kunde Nachname"
"Customer My Account Newsletter Subscriptions","Kunde 'Mein Benutzerkonto' Newsletter Abonnements"
"Date Added","Hinzugefügt am"
"Date Updated","Aktualisiert am"
"Delete","Löschen"
"Delete Selected Problems","Ausgewählte Probleme entfernen"
"Delete Template","Vorlage löschen"
"Do you really want to cancel the queue?","Sind Sie sicher, dass Sie diese Warteschlange abbrechen wollen?"
"Duplicate template code.","Dupliziere Vorlagen Code."
"Edit Newsletter","Newsletter bearbeiten"
"Edit Newsletter Template","Newsletter-Vorlage bearbeiten"
"Edit Queue","Warteschlange bearbeiten"
"Edit Template","Vorlage bearbeiten"
"Email","E-Mail"
"Enter your email address","Geben Sie Ihre E-Mail Adresse ein"
"Error Code","Fehlercode"
"Error Text","Fehlertext"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Klicken Sie auf diesen Link um sich vom Newsletter abzumelden <!-- Dieser Tag ist für den Abmelde-Link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Gast"
"ID","ID"
"Invalid queue selected.","Ungültige Warteschlange ausgewählt."
"Invalid subscription ID.","Ungültige Abonnenten ID"
