"
                                Use in posting data from Magento to Ogone. <br/>
                                Use in data checking by Ogone before the payment.
                            ","
                                Verwende Datenübertragung von Magento zu Ogone. <br/>
                                Verwende Datenüberprüfung von Ogone vor der Zahlung.
                            "
"
                                Use in posting data from Ogone to Magento. <br/>
                                Use in Feedback data checking by Magento
                            ","
                                Verwende Datenübertragung von Ogone zu Magento. <br/>
                                Verwende zur Überprüfung der Antwort von Magento
                            "
"Authorization","Authorisierung"
"Authorization Waiting from Ogone","Warten auf Authorisierung von Ogone"
"Authorization not known: A technical problem arose during authorization process, giving unpredictable result","Authorisierung nicht bekannt: Ein technisches Problem entstand beim Authorisierungs-Prozess und erzeugte ein nicht vorhersehbares Ergebnis"
"Background color of Ogone Template","Hintergrundfarbe der Ogone-Vorlage"
"Button background color of the Ogone Template","Button Hintergrundfarbe der Ogone-Vorlage"
"Button text color of the Ogone Template","Button Text Farbe der Ogone-Vorlage"
"Cancelled Ogone","Ogone abgebrochen"
"Debug","Debug"
"Declined Ogone","Ogone abgelehnt"
"Declined Order on ogone side","Bestellung von Ogone abgelehnt"
"Direct Sale","Direkt-Verkauf"
"Enabled","Aktiviert"
"Exception not defined","Ausnahme nicht festgelegt"
"Font Family of the Ogone Template","Schriftart der Ogone Vorlage"
"For production, replace ""test"" with ""prod"" Example: https://secure.ogone.com/ncol/prod/orderstandard.asp","Für den Produktiveinsatz, ""test"" mit ""prod"" ersetzen. Beispiel: https://secure.ogone.com/ncol/prod/orderstandard.asp"
"Gateway URL","Gateway URL"
"Hash is not valid","Hash ist nicht gültig"
"Horizontally grouped logo with group name on left","Horizontale gruppiertes Logo mit Gruppenname auf der linken Seite"
"Horizontally grouped logo with no group name","Horizontale gruppiertes Logo ohne Gruppenname"
"If you choose ""No Operation"", Ogone will use default Payment procedure setup in Ogone configuration","Wenn Sie ""No Operation"" wählen, wird Ogone die Standard Zahlungsmethode in der Ogone Konfiguration verwenden"
"If you choose ""Ogone Template"", you will need to fill in all the following fields.","Wenn Sie ""Ogone Template"" wählen, müssen alle folgenden Felder ausgefüllt werden."
"Layout of Payment Methods","Layout der Zahlmethoden"
"Logo of the Ogone Template","Logo der Ogone Vorlage"
"Magento","Magento"
"Ogone","Ogone"
"Ogone default Operation","Ogone Standard-Operation"
"Order can not be canceled for system reason","Bestellung kann von Seiten des Systems nicht gestrichen werden"
"Order can not be save for system reason","Bestellung kann von Seiten des Systems nicht gespeichert werden"
"Order can\'t save","Bestellung konnte nicht gespeichert werden"
"Order canceled on ogone side","Bestellung von der Seite Ogone gelöscht / abgebrochen"
"Order is not valid","Bestellung ist nicht gültig"
"PSPID","PSPID"
"Payment Action","Zahlungs-Aktion"
"Payment Template","Zahlungs-Vorlage"
"Payment transaction has been declined.","Zahlungs-Transaktion wurde abgelehnt."
"Payment uncertain: A technical problem arose during payment process, giving unpredictable result","Zahlung unklar: Ein technisches Problem entstand beim Authorisierungs-Prozess und erzeugte ein nicht vorhersehbares Ergebnis"
"Pending Ogone","Ogone ausstehend"
"Please, wait a moment. This page will transfer your data to Ogone payment gateway in a few seconds.","Bitte einen Moment warten, warten Sie bitte einen Moment. Diese Seite wird Ihre Daten in ein Paar Sekunden zum Ogone Zahlungs-Gateway übertragen."
"Processed Ogone Payment","Ogone Zahlung verarbeitet"
"Processed by Ogone","Verarbeitet von Ogone"
"Processing Ogone Payment","Verarbeite Ogone Zahlung"
"SHA Signature (used by Magento)","SHA Signatur (verwendet von Magento)"
"SHA Signature (used by Ogone)","SHA Signatur (verwendet von Ogone)"
"Start ogone processing","Start Ogone-Verarbeitung"
"Table background color of the Ogone Template","Tabellenhintergrund der Ogone Vorlage"
"Table text color of the Ogone Template","Tabellentext Farbe der Ogone Vorlage"
"Text Color of the Ogone Template","Textfarbe der Ogone Vorlage"
"Title","Titel"
"Title of the Ogone Template","Titel der Ogone Vorlage"
"URL/filename of the logo.
                            <br />The URL must be absolute and stored on a secure server.
                            ","URL/Dateiname des Logos.
                            <br />Die URL muss absolut sein und sich auf einem sicheren Server befinden.
                            "
"Unknown exception","Unbekannte Ausnahme"
"Verical list","Verikale Liste"
"Waiting Authorization","Autorisierung abwarten"
"You can arrange the layout/list of the payment methods on Ogone payment page","Sie können das Layout / die Listung von Zahlmethoden auf der Ogone Zahlungs-Seite anordnen bzw. einstellen"
"You will be redirected to Ogone website when you place an order.","Sie werden bei Abschluss der Bestellung zu Ogone weitergeleitet."
"e.g: Verdana","z.B.: Verdana"
"e.g: black","z.B.: black"
"e.g: white","z.B.: white"
