"%s Store","%s Store"
"About Your Order","Über Ihre Bestellung"
"Account Information","Benutzerkonto Information"
"Adapter Name","Adapter-Name"
"Arabic","Arabisch"
"Back","Zurück"
"Back to My Orders","Zurück zu Meine Bestellungen"
"Baltic","Baltisch"
"Billing Address","Billing Address"
"Billing to Name","Rechnung an"
"Categories","Kategorien"
"Category %s cannot be saved because of %s","Kategorie %s konnte nicht gespeichert werden weil %s"
"Central European","Zentral Europäisch"
"Check requirements!","Überprüfe die Anforderungen!"
"Comments History","Kommentar Verlauf"
"Create under default website","Unter Standard-Website anlegen"
"Created At","Erstellt am"
"Currency","Currency"
"Customer Name","Kunden Name"
"Customers","Kunden"
"Cyrillic","Kyrilisch"
"DB Name","DB Name"
"DB Password","DB Passwort"
"DB Username","DB Nutzername"
"Data has been successfully imported","Datan wurden erfolgreich importiert"
"Database Connection Charset","Datenbank Verbindungs-Zeichenkodierung"
"Database Data Charset","Datenbank Daten Zeichenkodierung"
"Date","Datum"
"Db Name","Datenbank Name"
"Delete Profile","Profil löschen"
"Delivery Address","Versandadresse"
"East Asian","Ost Asiatisch"
"Edit osCommerce Profile","osCommerce Profil bearbeiten"
"Edit osCommerce Profile :: %s","osCommerce Profil bearbeiten :: %s"
"Email","E-Mail"
"Email %s cannot be saved because of %s","E-Mail %s konnte nicht gespeichert werden weil %s"
"Error for checking store locale!","Fehler beim überprüfen der Shop-Lokalisierung!"
"Final Price","Endpreis"
"Finished profile execution.","Profilausführung abgeschlossen."
"General Information","Allgemeine Information"
"Greek","Griechisch"
"Hebrew","Hebräisch"
"ID","ID"
"IP or Hostname","IP oder Hostname"
"Import Options","Import Optionen"
"Importing...","Importiere..."
"Items Ordered","Bestellte Artikel"
"Japanese","Japanisch"
"Korean","Koreanisch"
"Locale Selection","Sprach-Auswahl"
"My Previous Orders","Meine letzten Bestellungen"
"Name","Name"
"Need to check Customers for Orders","Kunden für Bestellungen müssen überprüft werden"
"New osCommerce Profile","Neues osCommerce Profil"
"No osCommerce profile","Kein osCommerce Profil"
"No osCommerce profile loaded...","Kein osCommerce Profil geladen..."
"Notice: Please place all images under MAGENTO_ROOT/media/import/ with writable permission to all files including sub folders.","Hinweis: Bitte platzieren Sie alle Bilder unter MAGENTO_ROOT/media/import/ mit schreibbaren Rechten, inklusive aller enthaltenen Unterordner."
"Order","Bestellung"
"Order #","Bestellung #"
"Order # %s","Bestellung # %s"
"Order #%s failed to import because the customer ID #%s associated with this order could not be found.","Import der Bestellung #%s fehlgeschlagen, da die Kunden ID #%s verknüpft mit dieser Bestellung nicht gefunden werden konnte."
"Order Date","Bestelldatum"
"Order Date:","Bestelldatum:"
"Order Status","Bestelldatum"
"Order Total","Bestellsumme"
"Order Totals","Bestellsummen"
"Orders","Bestellungen"
"Payment Information","Zahlungs-Information"
"Please check at least an option in Import Options\n","Bitte überprüfen Sie mindestens eine Option in den Import Optionen"
"Please check default website or input website code in General Information\n","Bitte überprüfen Sie die Standard-Website oder den Input-Website Code in der Allgemeinen Information"
"Please select a timezone\n","Bitte wählen Sie eine Zeitzone"
"Port (Default as 3306)","Port (Standard 3306)"
"Prefix","Prefix"
"Price","Preis"
"Product","Produkt"
"Product Name","Produkt Name"
"Products","Produkte"
"Purchased Date","Purchased Date"
"Purchased Month","Purchased Month"
"Purchased Year","Purchased Year"
"Qty","Mange"
"Qty Ordered","Bestellte Menge"
"Root category for %s","Root Kategorie für %s"
"Run Profile","Profilausführung"
"SKU","Artikelnummer"
"SKU %s cannot be saved because of %s","Artikelnummer %s konnte nicht gepeichert werden weil %s"
"Sales","Verkäufe"
"Save And Continue Edit","Speichern und weiter bearbeiten"
"Save Profile","Profil speichern"
"Select a connection charset","Wählen Sie eine Zeichenkodierung für die Verbindung"
"Select a data charset","Wählen Sie eine Zeichenkodierung für die Daten"
"Select a timezone","Wählen Sie eine Zeitzone"
"Select a website","Wählen Sie eine Website"
"Send subscription notify to customers","Sende Anmeldungsbestätigung zum Kunden"
"Ship to","Versand nach"
"Ship to Name","Versand - Name"
"Shipping & Handling Information","Versand & Bearbeitung"
"Shipping Address","Lieferadresse"
"Shipping Method","Versandmethode"
"Simplified Chinese","Vereinfachtes Chinesisch"
"South Asian","Süd Asiatisch"
"Start Runing!","Starte Ausführung!"
"Starting profile execution, please wait...","Starte Profilausführung, bitte warten..."
"Subtotal","Zwischensumme"
"Thai","Thailändisch"
"This order no longer exists.","Diese Bestellung existiert nicht mehr."
"Timezone","Zeitzone"
"To import orders, Magento requires that customers also be imported.","Um Bestellungen zu importieren, erfordert Magento das Kunden mit importiert werden."
"Total imported <strong>%s</strong> records (%s)","Insgesamt importierte <strong>%s</strong> Einträge (%s)"
"Traditional Chinese","Traditionälles Chinesisch"
"Unicode","Unicode"
"Updated At","Aktualisiert am"
"View Order","Bestellung ansehen"
"Warning: Please don't close window during importing/exporting data","Warnung: Bitte nicht das Fenster schließen, während des Import/Export Vorganges"
"Website Code","Website Code"
"Western","Westlich"
"languages table error ","Sprach Tabellen-Fehler "
"osCommerce","osCommerce"
"osCommerce Orders","osCommerce Bestellungen"
"osCommerce Profile","osCommerce Profile"
"osCommerce Profile was successfully saved","osCommerce Profil wurde erfolgreich gespeichert"
"osCommerce profile was deleted","osCommerce Profil wurde gelöscht"
"processed <strong>%s%% %s/%s</strong> records","Verarbeitet <strong>%s%% %s/%s</strong> Einträge"
"records","Einträge"
