"%s %s cycle.","%s %s Zeitraum."
"--Please Select--","--Bitte wählen--"
"3D Secure Card Validation","3D Secure Kartenüberprüfung"
"3D Secure Credit Card Validation","3D-Secure Kreditkarten-Überprüfung"
"<label>Make Check payable to:</label> %s","<label>Scheck ausstellen auf:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Für den Live-Modus ist ein Wert erforderlich. Sehen Sie dazu bitte in Ihrem CardinalCommerce Vertrag nach."
"Allow Initial Fee Failure","Erlaube einmalig Gebühren Fehler"
"An internal reference ID is required to save the payment profile.","Eine interne Referenznummer ist nötig um die Zahlung zu speichern."
"Authorize action is not available.","Autorisation ist nicht verfügbar."
"Auto Bill on Next Cycle","Automatische Bezahlung zum nächsten Zeitraum"
"Automatically Invoice All Items","Automatisch alle Artikel in Rechnung stellen"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Automatisch alle ausstehenden Posten im nächsten Zahlungs-Zeitraum bezahlen (wenn Zahlung ausstehend)."
"Bank Transfer Payment","Überweisung"
"Billing Agreement status is not set.","Verkaufsbedingungs-Status ist nicht gesetzt."
"Billing Amount","Abrechnungs-Betrag"
"Billing Frequency","Abrechnungs-Häufigkeit"
"Billing Period","Abrechnungs-Periode"
"Billing Period Unit","Abrechnungs-Perioden Einheit"
"Billing period unit is not defined or wrong.","Abrechnungs-Perioden Einheit ist nicht gesetzt oder falsch."
"Cannot retrieve the payment info model object.","Konnte Zahlungsinfo-Modelobjekt nicht abfragen."
"Cannot retrieve the payment information object instance.","Konnte Zahlungsinfo-Objektinstanz nicht abfragen."
"Cannot retrieve the payment method code.","Konnte Zahlartcode nicht abfragen."
"Cannot retrieve the payment method model object.","Konnte Zahlart-Modelobjekt nicht abfragen."
"Capture action is not available.","Erfassen ist leider nicht möglich."
"Card Verification Number","Kartenprüfennummer"
"Cash On Delivery Payment","Nachnahme"
"Centinel API URL","Centinel API URL"
"Check / Money Order","Scheck/Zahlungsanweisung"
"Credit Card Number","Kreditkartennumer"
"Credit Card Type","Kreditkartentyp"
"Credit Card Types","Kreditkartentypen"
"Credit card number mismatch with credit card type.","Kreditkartennummer entspricht nicht dem Kreditkartentyp."
"Credit card type is not allowed for this payment method.","Kreditkartentyp ist für diese Zahlart nicht zugelassen."
"Currency","Währung"
"Currency code is undefined.","Währungscode ist icht definiert."
"Customer ID is not set.","Kundennummer ist nicht gesetzt."
"Day","Tag"
"Debug Mode","Debug Modus"
"Enabled","Aktiviert"
"Expiration Date","Ablaufdatum"
"Full name of the person receiving the product or service paid for by the recurring payment.","Voller Name der Person die den Bezug von wiederkehrenden Artikel- oder Services angemeldet wird."
"Incorrect credit card expiration date.","Falsches Kreditkarten Ablaufdatum."
"Initial Fee","Einrichtungsgebühr"
"Initial non-recurring payment amount due immediately upon profile creation.","Einrichtungsgebühr für sofortige Wertstellung bei Vertragsabschluss."
"Instructions","Anweisungen"
"Internal Reference ID","Interne Referenznummer"
"Invalid Credit Card Number","Ungültige Kreditkartennumer"
