"PAYONE Credit Card","PAYONE Kreditkarte"
"PAYONE Direct Debit","PAYONE Lastschrift"
"PAYONE Prepayment","PAYONE Vorkasse"
"PAYONE Prepayment using API","PAYONE Vorkasse über API"
"PAYONE Invoice","PAYONE Rechnung"
"PAYONE Cash On Delivery","PAYONE Nachnahme"
"PAYONE Online Bank Transfer","PAYONE Online-Überweisung"
"PAYONE PayPal","PAYONE PayPal"
"PAYONE Credit Rating","PAYONE Bonätitsprüfung"
"You will be redirected to Payone in a few seconds.","Sie werden an unsere sichere Bezahlseite weitergeleitet."
"Customer was redirected to Payone.","Kunde wurde an PAYONE weitergeleitet."
"The amount has been preauthorized by Payone.","Der Betrag wurde bei PAYONE vorautorisiert."
"The amount has been authorized and captured by PAYONE.","Der Betrag wurde bei PAYONE autorisiert und abgebucht."
"Payment received.","Der Zahlungseingang wurde bei PAYONE verbucht."
"Customer was rejected by Payone","Kunde wurde von PAYONE abgelehnt"
"Error occured","Ein Fehler trat auf"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">Weiter einkaufen</a>."
"Payone Transaction ID: %s","PAYONE Transaction ID: %s"
"payone_cc:You will be redirected to Payone website when you place an order.","Sie werden nach der Bestellung für die Eingabe Ihrer Kreditkartendaten an unsere sichere Bezahlseite weitergeleitet."
"payone_elv:You will be redirected to Payone website when you place an order.","Sie werden nach der Bestellung für die Eingabe Ihrer Bankdaten an unsere sichere Bezahlseite weitergeleitet."
"payone_vor:You will be redirected to Payone website when you place an order.","Sie werden nach der Bestellung an unsere sichere Bezahlseite weitergeleitet."
"payone_vor_api:You will be redirected to Payone website when you place an order.","Die Informationen für die Banküberweisung finden Sie in Ihrer Bestellbestätigung."
"payone_rec:You will be redirected to Payone website when you place an order.","Sie werden nach der Bestellung an unsere sichere Bezahlseite weitergeleitet."
"payone_cod:You will be redirected to Payone website when you place an order.","Sie werden nach der Bestellung an unsere sichere Bezahlseite weitergeleitet."
"payone_sb:You will be redirected to Payone website when you place an order.","Sie werden nach der Bestellung für die Eingabe Ihrer Bankdaten an unsere sichere Bezahlseite weitergeleitet."
"payone_wlt:You will be redirected to Payone website when you place an order.","Sie werden nach der Bestellung für die Zahlungsabwicklung über PayPal an unsere sichere Bezahlseite weitergeleitet."
"Shopping basket","Warenkorb"
"Payment has not been processed yet.","Die Zahlung wurde noch nicht durchgeführt."
"Authorization","Autorisierung"
"Preauthorization","Vorautorisierung"
"Order ID not found.","Bestellnummer wurde nicht gefunden."
"Sorry, your payment has not been confirmed by the payment provider.","Bitte entschuldigen Sie, die Zahlung wurde durch den Zahlunganbieter nicht bestätigt."
"The order amount has been captured in the PMI.","Der Bestellbetrag wurde im PMI abgebucht."
"The PAYONE transaction has been marked as paid.","Die PAYONE Transaktion wurde als bezahlt markiert."
"The PAYONE transaction is UNDERPAID.","Die PAYONE Transaktion ist UNTERBEZAHLT."
"The PAYONE transaction has been canceled.","Die PAYONE Transaktion wurde storniert."
"The order has been canceled.","Der Bestellvorgang wurde abgebrochen."
"Payone transaction has been captured.","Die PAYONE Transaktion wurde abgebucht."
