"-OR-","-ODER-"
"2-pixel perimeter around the header space.","2-Pixel Grenze um den Kopfbereich."
"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Kartenüberprüfung"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href="http://www.paypal.com/amexupdate">http://www.paypal.com/amexupdate</a>.","3D Secure Validierung ist erforderlich für Maestro Karten. Unterstützung für American Express Karten setzt eine ergänzende Vereinbarung voraus. Erfahren Sie mehr unter <a href="http://www.paypal.com/amexupdate">http://www.paypal.com/amexupdate</a>."
"<a href="http://www.magentocommerce.com/paypal">Start accepting payments via PayPal!</a>","<a href="http://www.magentocommerce.com/paypal">Beginnen Sie Zahlungen per PayPal zu akzeptieren!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","A value is required for live mode. Refer to your CardinalCommerce agreement."
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH Deposit (Hold for Dispute or Other Investigation)"
"ACH Deposit (Reversal)","ACH Deposit (Reversal)"
"ACH Funding for Funds Recovery from Account Balance","ACH Funding for Funds Recovery from Account Balance"
"ACH Withdrawal","ACH Withdrawal"
"API Authentication Methods","API Authentifizierungs Methoden"
"API Certificate","API Zertifikat"
"API Password","API Passwort"
"API Signature","API Signatur"
"API Username","API Benutzername"
"API Uses Proxy","API verwendet Proxy"
"API/Integration","API/Integration"
"API/Integration Settings","Einstellungen API / Integration"
"Ability for buyer to purchase without PayPal account.","Möglichkeit für Käufer zu bestellen, auch ohne PayPal Konto."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","PayPal Zahlungen im Warenkorb akzeptieren. PayPal wird Ihre Kreditkarten-Zahlungen über das Payflow Pro Gateway verarbeiten."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Zahlungen akzeptieren ohne das der Besucher Ihre Seite verlässt. Viele bekannte Web-Hosting Dienste und Warenkörbe besitzen bereits eingebaute Payflow Zahlungs-Gateways, da sie leicht zu konfigurieren sind."
"Acceptance Mark","Akzeptanz-Markierung"
"Acceptance Mark Image","Akzeptanz Markierungs-Bild"
"Account-to-Account Payment, initiated by PayPal","Account-to-Account Payment, initiated by PayPal"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Fügt einen Express Checkout Button zu Ihrem bestehenden Warenkorb für schnelle & einfache Kreditkartenzahlung. PayPal wickelt alle Zahlungsprozesse ab."
"Additional Options","Additional Options"
"Address Verification System Response","Adress Überprüfungsantwort vom System"
"All the address information matched","Ale Adressinformationen stimmen überein"
"Allow in Billing Agreement Wizard","Allow in Billing Agreement Wizard"
"Allowable values: "paypal", "primary" (default), your_custom_value (a custom payment page style from your merchant account profile).","Erlaubte Werte: "paypal", "primary" (default), ihr_standard_wert (ein individueller Seiten Stil aus Ihrem Händler-Konto Profil)."
"Allowed Credit Card Types","Erlaubte Kreditkarten-Typen"
"Also affects mini-shopping cart.","Also affects mini-shopping cart."
"Api/Integration","Api/Integration"
"Ask Customer","Ask Customer"
"Attempted Authentication, Bad Result","Versuchte Autorisierung mit negativen Ergebnis"
"Attempted Authentication, Good Result","Versuchte Autorisierung mit positiven Ergebnis"
"Auction Payment other than through eBay","Auction Payment other than through eBay"
"Authenticated, Bad Result","beglaubigt, negatives Ergebnis"
"Authenticated, Good Result","beglaubigt, positives Ergebnis"
"Authorization","Autorisierung"
"Authorization transaction is required to void.","Autorisierte Transaktion ist erforderlich um Aufhebung zu veranlassen."
"Auto","Auto"
"AutoSweep","AutoSweep"
"Available Balance","Available Balance"
"Balance Manager Account Bonus","Balance Manager Account Bonus"
"Billing Address","Rechnungsadresse"
"Billing Agreement Signup ","Billing Agreement Signup "
"Billing Information","Rechnungsinformation"
"Bonus for first ACH Use","Bonus for first ACH Use"
"Buyer Credit Payment","Buyer Credit Payment"
"By default it is "reports.paypal.com".","Standardmäßig ist es "reports.paypal.com"."
"CVV2 Check Result by PayPal","CVV2 Ergebnisüberprüfung von PayPal"
"Can not send new order email.","E-Mail für neue Bestellung kann nicht gesendet werden."
"Cannot create target file for reading reports.","Cannot create target file for reading reports."
"Centinel API URL","Centinel API URL"
"Centinel Api URL","Centinel Api URL"
"Centinel Custom Api URL","Centinel Custom Api URL"
"Change Payment Method","Zahlmethode ändern"
"Change Shipping Address","Versandadresse ändern"
"Charge-off","Charge-off"
"Chargeback","Chargeback"
"Chargeback by customer.","Chargeback by customer."
"Checkout with PayPal","Checkout with PayPal"
"Completion Date","Abschluss Datum"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?"
"Countries Payment Applicable From","Länder zutreffend von"
"Coupon Redemption","Coupon Redemption"
"Credit","Credit"
"Credit Card Settings","Credit Card Settings"
"Currency Conversion required to cover negative balance","Currency Conversion required to cover negative balance"
"Custom","Custom"
"Custom Endpoint Hostname or IP-Address","Custom Endpoint Hostname or IP-Address"
"Custom Path","Custom Path"
"Customer complaint.","complaint."
"Customer did not include a confirmed address.","Customer did not include a confirmed address."
"Customer triggered a money-back guarantee.","Customer triggered a money-back guarantee."
"Daily","Daily"
"Debit","Debit"
"Debit Card Cash Back","Debit Card Cash Back"
"Debit Card Transaction","Debit Card Transaction"
"Debit or Credit","Debit or Credit"
"Debug Mode","Debug Modus"
"Direct Payment API","Direkt Bezahlungs-API"
"Discount","Rabatt"
"Displays on catalog pages and homepage.","Anzeige auf der Startseite und Katalog Seiten."
"Don't have a PayPal account? Simply enter your email address.","Noch kein PayPal Konto? Geben Sie einfach eine E-Mail Adresse in das Feld ein."
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Sie haben kein PayPal Händlerkonto? Sie können Kreditkarten Zahlungen dennoch über das Payflow Pro Gateway anbieten."
"Dynamic","Dynamisch"
"EFT Funding (German banking)","EFT Funding (German banking)"
"Edit Shopping Cart","Warenkorb bearbeiten"
"Email Associated with PayPal Merchant Account","E-Mail Adresse Ihres PayPal Händlerkontos"
"Enable Automatic Fetching","Enable Automatic Fetching"
"Enable PayPal Guest Checkout","PayPal Gast Checkout aktivieren"
"Enabled","Aktiviert"
"Event","Event"
"Event Code","Event Code"
"Every 10 days","Alle 10 Tage"
"Every 14 days","Alle 14 Tage"
"Every 3 days","Alle 3 Tage"
"Every 30 days","Alle 30 Tage"
"Every 40 days","Alle 40 Tage"
"Every 7 days","Alle 7 Tage"
"Exact Match. Address and Postal Code. International","Exakte Zuordnung. Adresse und Postleitzahl. International"
"Exact Match. Address and Postal Code. UK-specific","Exakte Zuordnung. Adresse und Postleitzahl. UK-spezifisch"
"Exact Match. Address and nine-digit ZIP code","Exakte Zuordnung. Adresse und 9 stellige Postleitzahl"
"Express Checkout","Express Checkout"
"Express Checkout (Payflow Edition) Settings","Express Checkout (Payflow Edition) Einstellungen"
"Express Checkout APIs","Express Checkout APIs"
"Express Checkout Settings","Express Checkout Einstellungen"
"Express Checkout and Order have been canceled.","Express Checkout und Bestellung wurden storniert."
"Express Checkout has been canceled.","Express Checkout wurde storniert."
"Failed to fetch reports from '%s@%s'.","Failed to fetch reports from '%s@%s'."
"Fee Amount","Gebühren"
"Fee Debit or Credit","Fee Debit or Credit"
"Fee Reversal","Fee Reversal"
"Fee: Foreign ACH Withdrawal","Fee: Foreign ACH Withdrawal"
"Fee: Mass Pay Request","Fee: Mass Pay Request"
"Fee: Web Site Payments Pro Account Monthly","Fee: Web Site Payments Pro Account Monthly"
"Fee: WorldLink Check Withdrawal","Fee: WorldLink Check Withdrawal"
"Fetch","Fetch"
"Fetch Updates","Aktualisierungen holen"
"Fetched %s report rows from '%s@%s'.","Fetched %s report rows from '%s@%s'."
"Frontend Experience Settings","Individuelle Gestaltung - PayPal Webseite"
"Funding","Funding"
"General (Authorization)","General (Authorization)"
"General (Dividend)","General (Dividend)"
"General (Funds Transfer from PayPal Account to Another)","General (Funds Transfer from PayPal Account to Another)"
"General (Purchase with a credit card)","General (Purchase with a credit card)"
"General Adjustment without businessrelated event","General Adjustment without businessrelated event"
"General Currency Conversion","General Currency Conversion"
"General Funding of PayPal Account ","General Funding of PayPal Account "
"General Redemption","General Redemption"
"General Withdrawal from PayPal Account","General Withdrawal from PayPal Account"
"General. Product no longer supported","General. Product no longer supported"
"General: Use of PayPal account for purchasing as well as receiving payments","General: Use of PayPal account for purchasing as well as receiving payments"
"General: Withdrawal from PayPal Account","General: Withdrawal from PayPal Account"
"General: Withdrawal to Non-Bank Entity","General: Withdrawal to Non-Bank Entity"
"General: adjustment of a type not belonging to the other T12xx categories","General: adjustment of a type not belonging to the other T12xx categories"
"General: bonus of a type not belonging to the other T08xx categories","General: bonus of a type not belonging to the other T08xx categories"
"General: event not yet categorized","General: event not yet categorized"
"General: non-payment fee of a type not belonging to the other T01xx categories","General: non-payment fee of a type not belonging to the other T01xx categories"
"General: received payment of a type not belonging to the other T00xx categories","General: received payment of a type not belonging to the other T00xx categories"
"General: reversal of a type not belonging to the other T11xx categories","General: reversal of a type not belonging to the other T11xx categories"
"General: temporary hold of a type not belonging to the other T15xx categories","General: temporary hold of a type not belonging to the other T15xx categories"
"Get Credentials from PayPal","Get Credentials from PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","Gift Certificate Payment: purchase of Gift Certificate"
"Gift Certificate Redemption","Gift Certificate Redemption"
"Gross Amount","Brutto Betrag"
"Header Background Color","Hintergrundfarbe für den Kopfbereich"
"Header Border Color","Randfarbe für den Kopfbereich"
"Header Image URL","Bild URL für den Kopfbereich"
"Help","Hilfe"
"Hidden Virtual PayPal Debit Card Transaction","Hidden Virtual PayPal Debit Card Transaction"
"Hold for Dispute Investigation","Hold for Dispute Investigation"
"IPN "%s".","IPN "%s"."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement."
"If not specified, Default Country from General Config will be used","Wenn nicht festgelegt, wird das Standardland der Konfiguration verwendet"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Impossible to issue a refund transaction because the capture transaction does not exist."
"Incentive","Incentive"
"Initiation Date","Start Datum"
"Invoice ID","Rechnungs-ID"
