"Enabled","Aktiviert"
"API User Name","API Benutzername"
"API Password","API Passwort"
"API Signature","API Signatur"
"Items in Your Shopping Cart","Artikel in Ihrem Warenkorb"
"Review Order","Bestellübersicht"
"Submitting order information...","Bestelldaten werden übermittelt..."
"Place an Order","Bestellung aufgeben"
"Please select a shipping method...","Bitte wählen Sie eine Versandart..."
"Debug Flag","Debug Flag"
"Sorry, no quotes are available for this order at this time.","Entschuldigung, momentan gibt es keine Angebote für diese Bestellung."
"Business Account","Geschäftskundenkonto"
"Business Name","Geschäftskundenname"
"Your billing address will be ignored and you will be redirected to PayPal website","Ihre Rechnungsadresse wurde ignoriert, sie werden zur PayPal Website weitergeleitet"
"Credit Card Types","Kreditkartentypen"
"New order status","Neuer Bestellstatus"
"PayPal Email","PayPal E-Mail"
"PayPal Account","PayPal Konto"
"Paypal Logo Image URL(150x150)","Paypal Logo Bild URL(150x150)"
"Price","Preis"
"Product Name","Produktname"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Use Proxy","Proxy verwenden"
"Billing Information","Rechnungsinformation"
"Sort order","Reihenfolge"
"Sandbox Flag","Sandbox Flag"
"You will be redirected to paypal in a few seconds.","Sie werden in wenigen Sekunden zu PayPal weitergeleitet."
"You will be redirected to PayPal website when you place an order.","Sie werden zu PayPal weitergeleitet, wenn Sie Ihre Bestellung aufgeben."
"Qty","Stück"
"Title","Titel"
"Transaction Type","Transaktionstyp"
"Type","Typ"
"Shipping Address","Versandadresse"
"Change Shipping Address","Versandadresse ändern"
"Shipping Method","Versandart"
"Update Shipping Method","Versandart ändern"
"Shipping Information","Versandinformation"
"Edit Shopping Cart","Warenkorb bearbeiten"
"Website Payments Pro (Express, Direct)","Website Payments Pro (Express, Direct)"
"Website Payments Standard","Website Payments Standard"
"Payment from Specific countries","Zahlung von bestimmten Ländern"
"Payment from applicable countries","Zahlung von zugelassenen Ländern"
"Payment Action","Zahlungsaktion"
"Payment Method","Zahlweise"
"Change Payment Method","Zahlweise ändern"
"Subtotal","Zwischensumme"
