"Vote","Abstimmen"
"Actions","Aktionen"
"Add Answer","Antwort hinzufügen"
"Delete Answer","Antwort löschen"
"Save Answer","Antwort speichern"
"Answer was successfully saved","Antwort wurde erfolgreich gespeichert"
"Answer Title","Antworttitel"
"Answer Title:","Antworttitel:"
"Edit Answer '%s'","Bearbeite Antwort '%s'"
"Edit Poll '%s'","Bearbeite Umfrage '%s'"
"Edit Poll Answer","Bearbeite Umfrageantwort"
"Date Closed","Datum abgeschlossen"
"Date Posted","Datum veröffentlicht"
"Closed","Geschlossen"
"Answer with the same title in this poll","Gleichlautende Antwort in dieser Umfrage"
"ID","ID"
"Community Poll","Kundenumfrage"
"Delete","Löschen"
"Add New Answer","Neue Antwort hinzufügen"
"New Poll","Neue Umfrage"
"Add New Poll","Neue Umfrage hinzufügen"
"Open","Offen"
"Visible In","Sichtbar in"
"Status","Status"
"Votes Count","Stimmenanzahl"
"Number of Responses","Stimmenanzahl"
"Votes Count:","Stimmenanzahl:"
"Poll Question","Umfrage"
"Poll not exists","Umfrage existiert nicht"
"Delete Poll","Umfrage löschen"
"Poll with the same question","Umfrage mit der selben Frage"
"Save Poll","Umfrage speichern"
"Poll Answers","Umfrageantworten"
"Poll information","Umfrageinformation"
"Poll Information","Umfrageinformationen"
"Polls","Umfragen"
"Poll Manager","Umfrageverwaltung"
"Invalid Answer","Ungültige Antwort"
"Are you sure you want to delete it?","Wollen Sie das wirklich löschen?"
"Unable to find answer to delete.","Zu löschende Antwort wurde nicht gefunden."
"Assigned Answers","Zugewiesene Antworten"
