"Abandoned carts","Nicht bestellte Warenkörbe"
"Action","Aktion"
"Add to Cart","In den Warenkorb"
"Add to Compare","Auf die Vergleichsliste"
"Add to Wishlist","Auf den Wunschzettel"
"Applied Coupon","Angewandter Gutschein"
"Avg. approved rating","Durchschn. bestätigte Bewertung"
"Avg. rating","Durchschn. Bewertung"
"Bestsellers","Bestseller"
"Bought from wishlists","Von Wunschzetteln gekauft"
"CSV","CSV"
"Carrier/Method","Versender/Versandart"
"Carts","Warenkörbe"
"Coupons","Gutscheine"
"Created at","Erstellt am"
"Customer","Kunde"
"Customer Name","Kundenname"
"Customer Tags","Kundenschlagworte"
"Customers","Kunden"
"Customers Report","Kundenbericht"
"Customers Reviews","Kundenmeinungen"
"Customers Tags","Kundenschlagworte"
"Customers by number of orders","Kunden nach Bestellanzahl"
"Customers by orders total","Kunden nach Bestellumsatz"
"Customers that have wishlist: %s%","Kunden, die einen Wunschzettel besitzen: %s%"
"Day","Tag"
"Default Recently Compared Products count","Standardanzahl kürzlich verglichener Produkte"
"Default Recently Viewed Products count","Standardanzahl kürzlich angesehener Produkte"
"Detail","Detail"
"Discounts","Rabatte"
"Downloads","Downloads"
"Email","E-Mail"
"Excel","Excel"
"First Name","Vorname"
"Guest","Gast"
"Hits","Aufrufe"
"ID","ID"
"Index model name must be defined","Index Model-Name muss definiert sein"
"Invalid date specified","Ungültiges Datum angegeben"
"Invoiced","In Rechnung gestellt"
"Items Ordered","Bestellte Artikel"
"Items in Cart","Produkte im Warenkorb"
"Last Name","Nachname"
"Last Review","Letzte Kundenmeinung"
"Link","Link"
"Low stock","Geringer Lagerbestand"
"Month","Monat"
"Most Viewed","Am meisten angesehen"
"Most viewed","Am meisten angesehen"
"Name","Name"
"New Accounts","Neue Kundenkonten"
"Number Added","Anzahl hinzugefügt"
"Number Fulfilled","Anzahl erfüllt"
"Number Of Historical Uses","Anzahl bisheriger Verwendungen"
"Number Of Reviews","Anzahl der Kundenmeinungen"
"Number Of Uses","Anzahl der Verwendungen"
"Number Purchased","Anzahl der Verkäufe"
"Number Viewed","Anzahl der Ansichten"
"Number of Items","Anzahl der Artikel"
"Number of Ivoiced Orders","Anzahl der in Rechnung gestellten Bestellungen"
"Number of New Accounts","Anzahl der neuen Kundenkonten"
"Number of Orders","Anzahl der Bestellungen"
"Number of Refunded Orders","Anzahl der erstatteten Bestellungen"
"Number of Reviews","Anzahl der Kundenmeinungen"
"Number of Total Tags","Gesamtanzahl der Schlagworte"
"Number of Unique Tags","Anzahl der einmaligen Schlagworte"
"Number of Views","Anzahl der Ansichten"
"Number of items bought from a wishlist: %s","Anzahl der von Wunschzetteln gekauften Produkte: %s"
"Number of times deleted","Anzahl der Löschungen"
"Number of times wishlists have been shared (emailed): %s","Anzahl der E-Mailversendungen eines Wunschzettels: %s"
"Number of wishlist conversions: %s","Anzahl der Wunschzettel-Umwandlungen: %s"
"Number of wishlist referrals: %s","Anzahl der Wunschzettelempfehlungen: %s"
"Number of wishlists: %s","Anzahl der Wunschzettel: %s"
"Offline Refunded","Offline erstattet"
"Online Refunded","Online erstattet"
"Orders","Bestellungen"
"Out of stock","Ausverkauft"
"Poducts Report","Produktbericht"
"Popular Tags","Beliebte Schlagworte"
"Popularity","Beliebtheit"
"Price","Preis"
"Product Name","Produktname"
"Product Reviews","Meinungen zu Produkten"
"Product Sku","Artikelnummer"
"Product Tags","Produktschlagworte"
"Products","Produkte"
"Products Ordered","Bestellte Produkte"
"Products Report","Produkte Bericht"
"Products Reviews","Meinungen zu Produkten"
"Products Tags","Produktschlagworte"
"Products in carts","Produkte in Warenkörben"
"Purchases","Einkäufe"
"Quantity Ordered","Bestellmenge"
"Quantity of Items","Artikelmenge"
"Rate","Bewertung"
"Recently Compared Products","Zuletzt verglichene Produkte"
"Recently Viewed Products","Zuletzt angesehene Produkte"
"Recently Viewed/Compared Products","Kürzlich angesehene/verglichene Produkte"
"Refunded","Erstattet"
"Reports","Berichte"
"Results","Ergebnisse"
"Revenue","Einnahmen"
"Review","Kundenmeinung"
"Reviews","Bewertungen"
"Reviews for %s","Kundenmeinungen für %s"
"Sales","Verkäufe"
"Sales Report","Verkaufsbericht"
"Search Terms","Suchbegriffe"
"Shipping","Versand"
"Shopping Cart","Warenkorb"
