"ALL","ALLE"
"ANY","IRGENDEINE"
"Add","Hinzufügen"
"Apply","Anwenden"
"Conditions Combination","Bedingungs-Kombination"
"Description: %s","Beschreibung: %s"
"End Date should be greater than Start Date","Das Enddatum sollte später wie das Startdatum sein"
"Expire at: %s","Endet am: %s"
"FALSE","FALSCH"
"If %s of these conditions are %s:","Wenn %s dieser Bedingungen %s sind:"
"Invalid discount amount.","Ungültige Rabatthöhe."
"MATCHING ALL","ENTSPRICHT ALLEN"
"MATCHING ANY","ENTSPRICHT IRGENDEINER"
"NOT MATCHING ALL","ENTSPRICHT NICHT ALLEN"
"NOT MATCHING ANY","ENTSPRICHT NICHT IRGENDEINER"
"Name: %s","Name: %s"
"Open Chooser","Öffne Auswahlmöglichkeit"
"Perform following actions","Folgende Aktionen ausführen"
"Please choose a condition to add...","Bitte eine Bedingung auswählen"
"Please choose an action to add...","Bitte eine Aktion auswählen"
"Remove","Entfernen"
"Start at: %s","Starte bei: %s"
"TRUE","WAHR"
"by","um"
"contains","enthält"
"does not contain","enthält nicht"
"equals or greater than","größer gleich als"
"equals or less than","kleiner gleich als"
"greater than","größer als"
"is","ist"
"is not","ist nicht"
"is not one of","ist nicht eines von"
"is one of","ist eines von"
"less than","kleiner als"
"to","bis"
