""%s" coupon code is not valid.","Rabattcode "%s" ist ungültig."
"%s","%s"
"%s / %s rate:","%s / %s rate:"
"%s for %s","%s für %s"
"%s order(s) cannot be canceled","%s Bestellung(en) kann / können nicht storniert werden"
"%s order(s) have been canceled.","%s Bestellung(en) wurden storniert."
"%s order(s) have been put on hold.","%s Bestellung(en) wurden zurückgestellt."
"%s order(s) have been released from holding status.","%s Bestellung(en) nicht für haltenden Status freigegeben."
"%s order(s) were not put on hold.","%s Bestellung(en) die nicht zurückgestellt sind."
"%s order(s) were not released from holding status.","%s order(s) were not released from holding status."
"* - Enter custom price excluding tax","* - Bitte individuellen Preis ohne Steuern eingeben"
"* - Enter custom price including tax","* - Bitte individuellen Preis inklusive Steuern eingeben"
"-- Please Select --","-- Bitte Wählen --"
"-- Please Select Billing Agreement--","-- Bitte Verkaufsbedingung auswählen--"
"About This Order:","Über diese Bestellung:"
"About This Profile:","Über dieses Profil:"
"About Your Invoice","Über Ihre Rechnung"
"About Your Order","Über Ihre Bestellung"
"About Your Refund","Über Ihre Gutschrift"
"About Your Shipment","Über Ihren Versand"
"Accept Payment","Akzeptierte Bezahlung"
"Accept or Deny Payment","Akzeptierte oder verweigerte Zahlung"
"Account Information","Benutzerkonto Information"
"Action","Aktion"
"Actions","Aktionen"
"Activate","Aktivieren"
"Active","Aktiv"
"Add","Hinzufügen"
"Add New Address","Neue Adresse hinzufügen"
"Add Order Comments","Kommentar zur Bestellung hinzufügen"
"Add Products","Artikel hinzufügen"
"Add Selected Product(s) to Option","Gewählte Artikel zur Option hinzufügen"
"Add Selected Product(s) to Order","Ausgewählte Artikel der Bestellung hinzufügen"
"Add To Order","Zur Bestellung hinzufügen"
"Add Tracking Number","Trackingnummer hinzufügen"
"Add comment to order","Kommentar zur Bestellung hinzufügen"
"Add new comment to shipment","Kommentar zum Versand hinzufügen"
"Add new tracking number","Neue Trackingnummer hinzufügen"
"Add to Cart","In den Warenkorb"
"Additional Product Info","Zusätzliche Artikelinfo"
"Address","Adresse"
"Address model is not defined.","Address model is not defined."
"Adjustment Fee","Berichtigungszuschlag"
"Adjustment Refund","Berichtigungserstattung"
"Agreement Information","Bedingungs-Information"
"Allow Reorder","Nachbestellung erlauben"
"Amount","Betrag"
"Amount: %s.","Betrag: %s."
"An error occurred while assigning order status. Status has not been assigned.","An error occurred while assigning order status. Status has not been assigned."
"An error occurred while saving order status. The status has not been added.","An error occurred while saving order status. The status has not been added."
"An error occurred while unassigning order status.","An error occurred while unassigning order status."
"An error occurred while updating the order address. The address has not been changed.","An error occurred while updating the order address. The address has not been changed."
"An item option with code %s already exists.","Eine Artikeloption mit dem Code %s existiert bereits."
"Append Comments","Kommentar anfügen"
"Apply","Anwenden"
"Apply Coupon Code","Rabattcode anwenden"
"Approved the payment online.","Genehmigte Online Zahlung."
"Are you sure you want to accept this payment?","Sind Sie sicher das Sie diese Zahlung akzeptieren wollen?"
"Are you sure you want to cancel this order?","Sind Sie sicher das Sie diese Bestellung stornieren wollen?"
"Are you sure you want to deny this payment?","Sind Sie sicher das Sie diese Zahlung verweigern wollen?"
"Are you sure you want to do this?","Sind Sie sicher das Sie das tun wollen?"
"Are you sure you want to send Creditmemo email to customer?","Sind Sie sicher das Sie die Gutschrift per E-Mail an den Kunden senden wollen?"
"Are you sure you want to send Invoice email to customer?","Sind Sie sicher das Sie die Rechnung per E-Mail an den Kunden senden wollen?"
"Are you sure you want to send Shipment email to customer?","Sind Sie sicher das Sie die Versandinformation per E-Mail an den Kunden senden wollen?"
"Are you sure you want to send order email to customer?","Sind Sie sicher das Sie die Bestellbestätigung per E-Mail an den Kunden senden wollen?"
"Are you sure you want to void the payment?","Sind Sie sicher das Sie die Zahlung aufheben wollen?"
"Are you sure?","Sind Sie sicher?"
"Are you sure? This order will be canceled and a new one will be created instead","Sind Sie sicher? Diese Bestellung wird storniert und stattdessen eine neue erstellt"
"Assign Order Status to State","Bestell-Status zu Zustand zuweisen"
"Assign Status to State","Status zu Zustand zuweisen"
"Assignment Information","Zuweisungsinformation"
"At least a payment ID must be set.","Es muss mindestens eine Zahlungs-ID gesetzt sein."
"Authorization","Authorisierung"
"Authorized amount of %s.","Authorisierungsbetrag in Höhe von %s."
"Authorizing amount of %s is pending approval on gateway.","Authorisierung des Betrags %s ausstehend - warte auf Genehmigung vom Gateway."
"Back","Zurück"
"Back to Billing Agreements","Zurück zu den Verkaufsbedingungen"
"Back to My Orders","Zurück zu meinen Bestellungen"
"Back to Recurring Profiles","Zurück zu den wiederkehrenden Profilen"
"Backordered","Nachbestellt"
"Bestsellers","Bestseller"
"Bill to Name","Rechnung an"
"Billing","Verkauf"
"Billing Address","Rechnungsadresse"
"Billing Agreement","Verkaufsbedingung"
"Billing Agreement # %s","Verkaufsbedingung # %s"
"Billing Agreement #%s","Verkaufsbedingung #%s"
"Billing Agreement View","Verkaufsbedingungs Ansicht"
"Billing Agreements","Verkaufsbedingungen"
"Buy %s for price %s","Kaufe %s für den Preis %s"
"CSV","CSV"
"Cancel","Stornieren"
"Cancel invoice","Rechnung stornieren"
"Cancel order","Bestellung stornieren"
"Canceled","Storniert"
"Canceled order offline.","Stornierte Bestellung offline."
"Canceled order online.","Stornierte Bestellung online."
"Cannot add order history.","Bestellverlauf kann nicht aufgerufen werden."
"Cannot create an empty shipment.","Es kann kein leerer Versand erstellt werden."
"Cannot determine the field name.","Feldname kann nicht bestimmt werden."
"Cannot do invoice for order.","Eine Rechnung kann für diese Bestellung nicht erstellt werden."
"Cannot do shipment for order.","Der Versand kann für diese Bestellung nicht erstellt werden."
"Cannot get order instance","Cannot get order instance"
"Cannot get the order instance.","Cannot get the order instance."
"Cannot register an existing credit memo.","Existierende Gutschrift konnte nicht registriert werden."
"Cannot register existing invoice","Existierende Rechnung konnte nicht registriert werden"
"Cannot register existing shipment","Cannot register existing shipment"
"Capture","Erfassen"
"Capture Amount","Betrag erfassen"
"Capture Offline","Offline erfassen"
"Capture Online","Online erfassen"
"Capture invoice","Rechnung erfassen"
"Captured amount of %s online.","Erfasster Betrag von %s online."
"Capturing amount of %s is pending approval on gateway.","Erfasster Betrag in Höhe von %s ausstehend - warte auf Genehmigung vom Gateway."
"Carrier","Versender"
"Carrier/Method","Versender/Versandmethode"
"Change status, add comments","Status ändern, Kommentare hinzufügen"
"Changing address information will not recalculate shipping, tax or other order amount.","Changing address information will not recalculate shipping, tax or other order amount."
"Checkout Totals Sort Order","Reihenfolge der Gesamtbeträge des Bezahlvorgangs"
"City","Ort"
"Click to change shipping method","Ändern der Versandart"
"Close","schließen"
"Closed","Geschlossen"
"Comma-separated.","Komma-getrennt."
"Comment","Kommentar"
"Comment Text","Text"
"Comments","Kommentare"
"Comments History","Kommentarverlauf"
"Company","Firma"
"Complete","Vollständig"
"Configure","Konfigurieren"
"Configure and Add to Order","Konfiguriere und füge der Bestellung hinzu"
"Country","Land"
"Coupons","Rabattcodes"
"Create","Anlegen"
"Create New Customer","Neuen Kunden anlegen"
"Create New Order","Neue Bestellung anlegen"
"Create New Order Status","Neuen Bestell-Status erstellen"
"Create New Order for %s","Neue Bestellung anlegen für %s"
"Create New Order for %s in %s","Neue Bestellung anlegen für %s in %s"
"Create New Order for New Customer","Neue Bestellung für Neukunden anlegen"
"Create New Order for New Customer in %s","Neue Bestellung für Neukunden anlegen in %s"
"Create New Status","Neuen Status erstellen"
"Create Shipment","Versand starten"
"Create new invoice for order","Neue Rechnung für Bestellung anlegen"
"Create new shipment for order","Neuen Versand für Bestellung anlegen"
"Create...","Erstelle..."
"Created At","Angelegt am"
"Created billing agreement #%s.","Erstellte Verkaufsbedingung #%s."
"Created:","Erstellt:"
"Credit Memo","Gutschrift"
"Credit Memo #","Gutschrift Nr."
"Credit Memo # ","Gutschrift Nr. "
"Credit Memo #%1$s | %3$s | %2$s (%4$s)","Gutschrift #%1$s | %3$s | %2$s (%4$s)"
"Credit Memo Comment Email Sender","Gutschriftenkommentar E-Mail Absender"
"Credit Memo Comment Email Template","Gutschriftenkommentar E-Mail Vorlage"
"Credit Memo Comment Email Template for Guest","Gutschriftenkommentar E-Mail Vorlage für Gäste"
"Credit Memo Comments","Gutschriftenkommentar"
"Credit Memo Email Sender","Gutschrift E-Mail Absender"
"Credit Memo Email Template","Gutschrift E-Mail Vorlage"
"Credit Memo Email Template for Guest","Gutschrift E-Mail Vorlage für Gäste"
"Credit Memo Update","Gutschrift Aktualisierung"
"Credit Memo Update for Guest","Gutschrift Aktualisierung für Gäste"
"Credit Memos","Gutschriften"
"Credit memo has been created automatically","Gutschrift wurde automatisch erstellt"
"Creditmemo","Gutschrift"
"Custom Price","Sonderpreis"
"Custom Value","Eigener Wert"
"Customer","Kunde"
"Customer Can Define Start Date","Kunde kann Startdatum definieren"
"Customer Email","E-Mail Adresse"
"Customer Group","Kundengruppe"
"Customer Last Name","Nachname"
"Customer My Account Order Creditmemo View","Kunde Mein Benutzerkonto Gutschriften Übersicht"
"Customer My Account Order History","Kunde Mein Benutzerkonto Bestellverlauf"
"Customer My Account Order Invoice View","Kunde Mein Benutzerkonto Rechnungsübersicht"
"Customer My Account Order Shipment View","Kunde Mein Benutzerkonto Bestell-Versand Übersicht"
"Customer My Account Order View","Kunde Mein Benutzerkonto Bestellübersicht"
"Customer Name","Vorname"
"Customer\'s Current Activities","Aktuelle Aktionen des Kunden"
"Date","Datum"
"Date Shipped","Versanddatum"
"Default Status","Standard Status"
"Default logo, will be used in PDF and HTML documents.<br />(jpeg, tiff, png)","Standardlogo wird in PDF und HTML Dokumenten verwendet.<br />(jpeg, tiff, png)"
"Delete","Löschen"
"Denied the payment online.","Online Zahlung verweigert."
"Deny Payment","Zahlung verweigern"
"Description Message","Beschreibung"
"Discount","Rabatt"
"Discount (%s)","Rabatt (%s)"
"Discount Amount","Rabatt Betrag"
"Display Order ID in Header","Bestellnummer im Dokumenten-Kopf anzeigen"
"Edit","bearbeiten"
"Edit Order","Bestellung bearbeiten"
"Edit Order #%s","Bearbeiten der Bestellung Nr. %s"
"Edit Order %s %s Address","Bearbeite Bestellung %s %s Adresse"
"Edit Order Status","Bestell-Status bearbeiten"
"Email","E-Mail"
"Email Copy of Credit Memo","E-Mail-Kopie der Gutschrift"
"Email Copy of Invoice","E-Mail-Kopie der Rechnung"
"Email Copy of Shipment","E-Mail-Kopie der Versandinformationen"
"Email Order Confirmation","E-Mail-Kopie der Bestellbestätigung"
"Enable","Aktivieren"
"Enabled","Aktiviert"
"Error to Show in Shopping Cart","Fehler beim Anzeigen im Warenkorb"
"Excel XML","Excel XML"
"Excl. Tax","zzgl. Steuern"
"Expired","Abgelaufen"
"Failed to cancel the billing agreement.","Fehler beim löschen der Verkaufsbedingung."
"Failed to create billing agreement for this order.","Fehler beim erstellen der Verkaufsbedingung für diese Bestellung."
"Failed to finish billing agreement wizard.","Fehler beim abschließen des Verkaufsbedingungs-Assistenten."
"Failed to send the order email.","Fehler beim senden der Bestell E-Mail."
"Failed to start billing agreement wizard.","Fehler beim sterten des Verkaufsbedingungs-Assistenten."
"Failed to update the payment.","Fehler beim Aktualisieren der Zahlung."
"Failed to update the profile.","Fehler beim aktualisieren des Profils."
"Failed to void the payment.","Zahlung stornieren fehlgeschlagen."
"Fetch","Abruf"
"First Name","Vorname"
"From","Von"
"From Name","Von Name"
"From:","Von:"
"G.T. (Base)","G.B. (Basis)"
"G.T. (Purchased)","G.B. (Gekauft)"
"General Information","Allgemeine Information"
"Get Payment Update","Aktualisierung der Zahlung holen / starten"
"Get Update","Aktualisierung holen"
"Get shipping methods and rates","Versandarten und -kosten abrufen"
"Gift Message","Geschenk Nachricht"
"Gift Message for This Order","Geschenknachricht für diese Bestellung"
"Gift Message for the Entire Order","Geschenknachricht für die gesamte Bestellung"
"Gift Message for this Order","Geschenknachricht für diese Bestellung"
"Gift Options","Geschenkoptionen"
"Grand Total","Gesamtsumme"
"Grand Total to be Charged","Grand Total to be Charged"
"Guest","Gast"
"Hold","Zurückstellen"
"Hold action is not available.","Hold action is not available."
"Hold order","Bestellung zurückstellen"
"ID","ID"
"ID #","ID #"
"If empty, the default description above will be used.","If empty, the default description above will be used."
"If empty, the default error above will be used.","If empty, the default error above will be used."
"If the invoice was created offline, try creating an offline creditmemo.","Wenn die Rechnungsstellung offline erfolgt ist, versuchen Sie bitte auch offline eine Gutschrift zu erstellen."
"Incl. Tax","inkl. Steuern"
"Information","Information"
"Initial Fee","Einführungs Gebühr"
"Initial Fees","Einführungsgebühren"
"Initial period payment","Initial period payment"
"Invalid block: %s.","Invalid block: %s."
"Invalid carrier specified.","Ungültigen Versender angegeben"
"Invalid draw line data. Please define "lines" array.","Invalid draw line data. Please define "lines" array."
"Invalid entity model","Ungültiges Entity Model"
"Invalid item option format.","Invalid item option format."
"Invalid qty to invoice item "%s"","Ungültige Anzahl für Rechnung bei Artikel "%s""
"Invalid qty to refund item "%s"","Ungültige Anzahl für Erstattung bei Artikel "%s""
"Invalid qty to ship for item "%s"","Ungültige Anzahl für Versand bei Artikel "%s""
"Invalid renderer model","Ungültiges Renderer-Modell"
"Invalid request for adding product to quote.","Invalid request for adding product to quote."
"Invoice","Rechnung"
"Invoice #","Rechnung Nr."
"Invoice # ","Rechnung Nr. "
"Invoice #%1$s | %2$s | %4$s (%3$s)","Rechnung #%1$s | %2$s | %4$s (%3$s)"
"Invoice #%s","Rechnung Nr. %s"
"Invoice Comment Email Sender","Rechnungskommentar E-Mail-Absender"
"Invoice Comment Email Template","Rechnungskommentar E-Mail-Vorlage"
"Invoice Comment Email Template for Guest","Rechnungskommentar E-Mail-Vorlage für Gäste"
"Invoice Comments","Rechnungskommentare"
"Invoice Date","Rechnungsdatum"
"Invoice Email Sender","Rechnung E-Mail Absender"
"Invoice Email Template","Rechnung E-Mail Vorlage"
"Invoice Email Template for Guest","Rechnung E-Mail Vorlage für Gäste"
"Invoice Update","Rechnungsaktualisierung"
"Invoice Update for Guest","Rechnungsaktualisierung für Gäste"
"Invoice and Packing Slip Design","Rechnungs- und Lieferscheingestaltung"
"Invoice and Ship","Rechnung und Versand"
"Invoice canceling problem.","Problem beim stornieren einer Rechnung."
"Invoice cannot be canceled.","Rechnung kann nicht storniert werden."
"Invoice cannot be captured.","Rechnung kann nicht erfasst werden."
"Invoice cannot be voided.","Rechnung kann nicht aufgehoben werden."
"Invoice capturing problem.","Rechnungs Erfassungs-Problem."
"Invoice void problem","Problem beim Aufheben der Rechnung"
"Invoice will be created without communication with payment gateway.","Rechnung wird ohne Kommunikation zum Payment Gateway erstellt."
"Invoiced","Berechnet"
"Invoices","Rechnungen"
"Is Closed","geschlossen"
"Item","Artikel"
"Item Status","Artikelstatus"
"Item object is not specified.","Elementobjekt ist nicht näher bestimmt."
"Item options declaration error.","Item options declaration error."
"Item ordered qty","bestellte Stückzahl"
"Item qty declaration error.","Fehler beim Bestimmen der Artikelmenge."
"Items","Artikel"
"Items Invoiced","In Rechnung gestellte Artikel"
"Items Ordered","Bestellte Artikel"
"Items Refunded","Erstattete Artikel"
"Items Shipped","Versandte Artikel"
"Items maximum quantity or price do not allow checkout.","Maximale Bestell-Anzahl für diesen Artikel überschritten oder die Bestellsumme ist zu hoch für den Warenkorb."
"Items options declaration error.","Items options declaration error."
"Items to Refund","Zu erstattende Artikel"
"Items to Ship","Zu versendende Artikel"
"Key","Key"
"Last Name","Nachname"
"Last Ordered Items","Zuletzt bestellte Artikel"
"Last status can\'t be unassigned from state.","Last status can\'t be unassigned from state."
"Link to the New Order","Link zur neuen Bestellung"
"Link to the Previous Order","Link zu vorherigen Bestellung"
"Logo for HTML Print View","Logo für HTML Druckansicht<br />(auch für E-Mail Vorlagen)"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo ausschließlich für HTML Dokumente. Wenn leer, wird das Standardlogo verwendet.<br />(jpeg, gif, png)"
"Logo for PDF Print-outs (200x50)","Logo für PDF-Ausdrucke (200x50)"
"Manage","Verwalten"
"Maximum shipping amount allowed to refund is: %s","Maximum shipping amount allowed to refund is: %s"
"Message","Nachricht"
"Message:","Nachricht:"
"Minimum Amount","Mindestbetrag"
"Minimum Order Amount","Mindestbestellmenge"
"Mixed","Gemischt"
"Move to Shopping Cart","In den Warenkorb verschieben"
"Move to Wishlist","Auf den Wunschzettel verschieben"
"Multi-address Description Message","Multi-address Description Message"
"Multi-address Error to Show in Shopping Cart","Multi-address Error to Show in Shopping Cart"
"My Orders","Meine Bestellungen"
"My Orders - Details","Meine Bestellungen - Details"
