"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Warenkorb Preisregeln basieren auf ""%s"" Attribut wurden deaktiviert."
"%s Coupon(s) have been generated","%s Rabattcode(s9 wurden erstellt"
"Actions","Aktionen"
"Active","Aktiv"
"Add New Rule","Neue Regel"
"Alphabetical","Alphabetisch"
"Alphanumeric","Alphanumerisch"
"An error occurred while generating coupons. Please review the log and try again.","Beim Erstellen der Rabattcodes ist ein Fehler aufgetreten. Bitte sehen Sie in die Log-Aufzeichnung und probieren es erneut."
"Apply","Anwenden"
"Apply To","Anwenden auf"
"Apply the rule only if the following conditions are met (leave blank for all products)","Regel nur bei folgenden Bedingungen anwenden (Leer lassen für alle Warenkörbe)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Regel nur auf Artikel im Warenkorb anwenden, die folgende Kriterien erfüllen (Leer lassen für alle Artikel)"
"Apply the rule to cart items matching the following conditions","Regel auf Artikel im Warenkorb anwenden, die folgende Kriterien erfüllen "
"Apply to Shipping Amount","Anwenden auf Versandbetrag"
"Are you sure you want to delete the selected coupon(s)?","Sind Sie sicher, dass Sie die ausgewählten Rabattcodes löschen möchten?"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Automatisch erstellte Rabattcodes"
"Buy X get Y free (discount amount is Y)","X kaufen, Y kostenlos bekommen (Rabattmenge ist Y)"
"By Fixed value","Um einen Betrag"
"By Percentage","Um einen Prozentsatz"
"Can\'t acquire coupon.","Rabattcode konnte nicht angewendet werden."
"Cart Attribute","Warenkorbattribut"
"Catalog","Katalog"
"Code Format","Codeformat"
"Code Length","Codelänge"
"Code Prefix","Code-Präfix"
"Code Suffix","Code-Suffix"
"Conditions","Bedingungen"
"Conditions combination","Bedingungskombination"
"Coupon","Rabatt"
"Coupon Code","Rabattcode"
"Coupon Qty","Stückzahl"
"Coupon with the same code","Rabattcode mit dem gleichen Code"
"Coupons Information","Rabattcode Information"
"Created On","Erstellt am"
"Customer Groups","Kundengruppen"
"Dash Every X Characters","Bindestrich nach jedem x-ten Zeichen"
"Date Expire","Ablaufdatum"
"Date Start","Startdatum"
"Default Label","Standard Bezeichnung"
"Default Rule Label for All Store Views","Standard Bezeichnung für alle StoreViews"
"Description","Beschreibung"
"Discount Amount","Rabattbetrag"
"Discount Qty Step (Buy X)","Mengenrabatt (X bezahlen, Y bekommen)"
"Edit Rule","Regel bearbeiten"
"Edit Rule '%s'","Regel '%s' bearbeiten"
"Excluding prefix, suffix and separators.","Ohne Präfix, Suffix und Trennzeichen"
"FOUND","gefunden"
"Fixed amount discount","Fester Betrag je Artikel"
"Fixed amount discount for whole cart","Fester Betrag für gesamten Warenkorb"
"For matching items only","Nur für passende Artikel"
"For shipment with matching items","Für Versand mit passenden Artikeln"
"Free Shipping","Versandkostenfrei"
"From Date","vom"
"General Information","Allgemeine Information"
"Generate","Erstellen"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Wenn %s %s %s für eine Unterauswahl an Artikeln im Warenkorb %s der folgenden Bedingungen erfüllt:"
"If an item is %s in the cart with %s of these conditions true:","Wenn ein Artikel im Warenkorb %s wurde, der %s der folgenden Bedingungen erfüllt:"
"If empty no separation.","Wenn leer, keine Aufteilung."
"If you select and save the rule you will be able to generate multiple coupon codes.","Wenn Sie dies aktivieren und die Regel speichern, können Sie im nächsten Schritt den Assistent für mehrere Rabattcodes nutzen."
"Inactive","Inaktiv"
"Item totals are not set for rule.","Artikelsummen sind nicht für Regel gesetzt.´"
"Labels","Bezeichnungen"
"Manage Coupon Codes","Rabattcodes verwalten"
"Maximum Qty Discount is Applied To","Maximalmenge an rabattierten Artikeln"
"NOT FOUND","nicht gefunden"
"NOT LOGGED IN","NICHT ANGEMELDET"
"New Rule","Neue Regel"
"No","Nein"
"No Coupon","Ohne Rabattcode"
"Not valid data provided","Keine gültigen Daten angegeben."
"Number of Uses","Anzahl an Verwendungen"
"Numeric","Numerisch"
"Payment Method","Zahlart"
"Percent of product price discount","Prozentualer Rabatt je Artikel"
"Period","Zeitraum"
"Price in cart","Preis im Warenkorb"
"Priority","Priorität"
"Product attribute combination","Artikelattribut-Kombination"
"Products subselection","Artikel-Unterauswahl"
"Promotions","Preisregeln"
"Public In RSS Feed","Im öffentlichen Rabatte-RSS-Feed anzeigen"
"Quantity in cart","Menge im Warenkorb"
"Row total in cart","Zeilen gesamt im Warenkorb"
"Rule Information","Regelinformation"
"Rule Name","Regelname"
"Rule is not defined","Regel ist nicht definiert"
"Sales Discount Amount","Rabattbetrag"
"Sales Subtotal Amount","Zwischensumme"
"Sales Total Amount","Gesamtsumme"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Shipping Country","Versandland"
"Shipping Method","Versandart"
"Shipping Postcode","Versand-Postleitzahl"
"Shipping Region","Versandregion"
"Shipping State/Province","Versand-Bundesland/-Provinz"
"Shopping Cart Price Rule","Warenkorb Preisregel"
"Shopping Cart Price Rules","Warenkorb Preisregeln"
"Special Price","Sonderpreis"
"Specific Coupon","Nur mit angegebenem Rabattcode"
"Status","Status"
"Stop Further Rules Processing","Regelausführung nach dieser Regel stoppen"
"Store View Specific Labels","StoreView spezifische Bezeichnungen"
