"Add Sitemap","Sitemap hinzufügen"
"Always","Immer"
"CMS Pages Options","CMS Seitenoptionen"
"Categories Options","Kategorieoptionen"
"Daily","Täglich"
"Edit Sitemap","Sitemap bearbeiten"
"Enabled","Aktiviert"
"Error Email Recipient","Fehler E-Mail Empfänger"
"Error Email Sender","Fehler E-Mail Absender"
"Error Email Template","Fehler E-Mail Vorlage"
"Filename","Dateiname"
"Frequency","Häufigkeit"
"Generation Settings","Einstellungen für die Erstellung"
"Google Sitemap","Google Sitemap"
"Hourly","Stündlich"
"ID","ID"
"Last Time Generated","Zuletzt erzeugt"
"Link for Google","Link für Google"
"Monthly","Monatlich"
"Never","Niemals"
"New Sitemap","Neue Sitemap"
"Path","Pfad"
"Please create the specified folder ""%s"" before saving the sitemap.","Bitte legen Sie den Ordner ""%s"" an, bevor Sie die Sitemap speichern."
"Please define correct path","Bitte definieren Sie den korrekten Pfad"
"Please make sure that ""%s"" is writable by web-sebver.","Bitte stellen Sie sicher, daß ""%s"" vom Webserver beschreibbar ist."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) only in the filename. No spaces or other characters are allowed.","Bitte benutzen Sie nur Buchstaben (a-z oder A-Z), Ziffern (0-9) oder den Unterstrich (_) im Dateinamen. Leerzeichen oder andere Zeichen sind nicht erlaubt."
"Priority","Priorität"
"Priority must be between 0 and 1","Priorität muß zwischen 0 und 1 liegen"
"Products Options","Produktoptionen"
"Sitemap","Sitemap"
"Sitemap generate Warnings","Warnungen bei der Sitemaperstellung"
"Sitemap was successfully deleted","Sitemap wurde erfolgreich gelöscht"
"Sitemap was successfully saved","Sitemap wurde erfolgreich gespeichert"
"Start Time","Startzeit"
"Store View","StoreView"
"This sitemap no longer exists","Sitemap existiert nicht mehr"
"Unable to find a sitemap to delete","Es wurde keine Sitemap zum Löschen gefunden"
"Weekly","Wöchentlich"
"Yearly","Jährlich"
