"%s is not supported currency.","%s ist keine unterstützte Währung."
"Accept","Akzeptieren"
"Basic","Basis"
"Cannot retreive rate from strikeirion.","Kurs kann nicht von Strikeiron abgefragt werden."
"Cannot retrieve rate from %s to %s","Kurs von %s bis %s kann nciht abgefragt werden"
"Check all email servers","Alle E-Mail-Server prüfen"
"Complete","Komplett"
"Country/Region/Postal code combination","Bundesland/PLZ Kombination"
"Customer Tax Class","Kundensteuerklasse"
"Email Verification","E-Mail-Prüfung"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","E-Mail-Adresse konnte nicht bestätigt werden. "
"Enable US address verification","Adressprüfung in den USA aktivieren"
"Enable email verification","E-Mail-Prüfung aktivieren"
"Enable foreign exchange rate","Fremden Umrechnungskurs aktivieren"
"Enable global address verification","Allgemeine Adressprüfung aktivieren"
"Enable sales and use tax","Verkaufs- und Gebrauchssteuern aktivieren"
"Error Email Recipient","E-Mail-Empfänger Fehler"
"Error Email Sender","E-Mail-Absender Fehler"
"Error Email Template","E-Mail-Template Fehler"
"Error address action","Adressaktion Fehler"
"Foreign Exchange Rates","Fremder Umrechnungskurs"
"Global Address Verification","Allgemeine Adressprüfung"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Wenn Typ komplett ist und die PLZ zu mehreren Steuersätzen gehört, wählen Sie den Mindest- oder Maximal-Steuersatz."
"Invalid email address","Ungültige E-Mail-Adresse"
"Maximum tax rate","Maximal-Steuersatz"
"Minimum tax rate","Minimal-Steuersatz"
"Password","Passwort"
"Pop up warning and accept","Warnung anzeigen und akzeptieren"
"Product Tax Class","Produktsteuerklasse"
"Reject","Zurückweisen"
"Sales and Use Tax","Verkaufs und Gebrauchssteuer"
"Sales and Use Tax Type","Verkaufs- und Gebrauchssteuertyp"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron Konfiguration"
"Strikeiron Section","Strikeiron"
"Strikeiron foreign exchange rate is disabled","Strikeiron fremder Umrechnungskurs ist deaktiviert"
"Tax","Steuer"
"There is an error in retrieving tax rate. Please contact us","Fehler beim Empfang des Steuersatzes. Bitte nehmen Sie Kontakt zu uns auf."
"There is an error in verifying an email. Please contact us.","Fehler bei der E-Mail-Prüfung. Bitte nehmen Sie Kontakt zu uns auf."
"There is no more hits remaining for the foreign Exchange Rate Service.","Keine weiteren Anfragen für fremden Umrechnungskurs"
"There is no response back from Strikeiron server","Keine Antwort vom Strikeiron Server"
"US Address Verification","Adressprüfung USA"
"Undetermined email action","Unbekannte E-Mail-Aktion"
"Use","Benutzen"
"User ID","Nutzer ID"
"Verify address in admin","Adressprüfung im Adminbereich"
"Verify email in admin","E-Mail-Prüfung im Adminbereich"
