"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - steht für alle; 'xyz*' - steht für alle die mit 'xyz' beginnen und nicht länger wie %d Zeichen aufweisen."
"-- Please Select --","-- Bitte wählen --"
"Add New Class","Neue Klasse anlegen"
"Add New Tax Rate","Neuen Steuersatz anlegen"
"Add New Tax Rule","Neue Steuerregel anlegen"
"After Discount","Nach Rabatt"
"An error occurred while deleting this rate.","Ein Fehler ist beim Löschen des Steuersatzes aufgetreten."
"An error occurred while deleting this rate. Incorrect rate ID.","Ein Fehler ist beim Löschen des Steuersatzes aufgetreten. Falsche Satz ID."
"An error occurred while deleting this tax class.","Ein Fehler ist beim Löschen der Steuerklasse aufgetreten."
"An error occurred while deleting this tax rule.","Ein Fehler ist beim Löschen der Steuerregel aufgetreten."
"An error occurred while saving this rate.","Ein Fehler ist beim Speichern des Steuersatzes aufgetreten."
"An error occurred while saving this tax class.","Ein Fehler ist beim Speichern der Steuerklasse aufgetreten."
"An error occurred while saving this tax class. A class with the same name already exists.","Ein Fehler ist beim Speichern der Steuerklasse aufgetreten. Eine Klasse mit dem selben Namen existiert bereits."
"An error occurred while saving this tax rule.","Ein Fehler ist beim Speichern der Steuerregel aufgetreten."
"Apply Customer Tax","Verwende Kundensteuerklasse"
"Apply Discount On Prices","Wende Rabatt auf Preise an"
"Apply Tax On","Steuer anwenden auf"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","'Wende Rabatt auf Preise inklusive Steuern an' basiert auf der eingestellten Store-Steuer, wenn 'Wende Steuern nach Rabatt an' ausgewählt ist."
"Are you sure you want to do this?","Sind Sie sicher, dass Sie das machen wollen?"
"Back","Zurück"
"Before Discount","Vor Rabatt"
"CSV","CSV"
"Calculation Settings","Berechnung"
"Catalog Prices","Katalog Preise"
"Class Name","Klassenname"
"Code","Code"
"Country","Land"
"County","Landkreis"
"Custom price if available","Individueller Preis, wenn verfügbar"
"Customer Tax Class","Kundensteuerklasse"
"Customer Tax Class Information","Kundensteuerklasse Information"
"Customer Tax Classes","Kundensteuerklassen"
"Default Country","Standard Land"
"Default Post Code","Standard PLZ"
"Default State","Standard Bundesland"
"Default Tax Destination Calculation","Standard Ursprung für Steuerberechnung"
"Delete Class","Steuerklasse löschen"
"Delete Rate","Steuersatz löschen"
"Delete Rule","Regel löschen"
"Display Full Tax Summary","Steuern vollständig anzeigen"
"Display Prices","Preisanzeige"
"Display Product Prices In Catalog","Anzeige von Artikelpreisen<br />im Shop Frontend"
"Display Shipping Amount","Anzeige von Versandkosten"
"Display Shipping Prices","Versandkosten anzeigen"
"Display Subtotal","Zwischensumme anzeigen"
"Display Zero Tax Subtotal","Steuerzwischensumme auch anzeigen, wenn 0,00"
"Edit Class","Steuerklasse bearbeiten"
"Edit Class '%s'","Steuerklasse '%s' bearbeiten"
"Edit Rule","Regel bearbeiten"
"Edit Tax Rate","Steuersatz löschen"
"Excel XML","Excel XML"
"Excl. Tax","zzgl. Steuern"
"Excl. Tax:","zzgl. Steuern:"
"Excluding Tax","Zuzüglich Steuern"
"Export Tax Rates","Steuersätze exportieren"
"Grand Total (Excl. Tax)","Gesamtsumme (Zzgl. Steuern)"
"Grand Total (Excl.Tax)","Gesamtsumme (Zzgl. Steuern)"
"Grand Total (Incl. Tax)","Gesamtsumme (Inkl. Steuern)"
"Grand Total (Incl.Tax)","Gesamtsumme (Inkl. Steuern)"
"Grand Total Excl. Tax","Gesamtsumme Zzgl. Steuern"
"Grand Total Incl. Tax","Gesamtsumme Inkl. Steuern"
"Import / Export Tax Rates","Steuersätze exportieren"
"Import Tax Rates","Steuersätze importieren"
"Inc. Tax","Inkl. Steuern"
"Incl. Tax","Inkl. Steuern"
"Incl. Tax:","Inkl. Steuern:"
"Include Tax In Grand Total","Beziehe Steuer in Gesamtsumme mit ein"
"Including Tax","Inklusive Steuern"
"Including and Excluding Tax","Inklusive und zuzüglich Steuern"
"Invalid file format upload attempt","Ungültiges Dateiformat hochgeladen"
"Invalid file upload attempt","Ungültige Datei hochgeladen"
"Manage Customer Tax Classes","Kundensteuerklassen verwalten"
"Manage Product Tax Classes","Artikelsteuerklassen verwalten"
"Manage Tax Rates","Steuersätze verwalten"
"Manage Tax Rules","Steuerregeln verwalten"
"Manage Tax Zones & Rates","Steuerzonen und -sätze verwalten"
"Name","Name"
"New Class","Neue Steuerklasse"
"New Rule","Neue Regel"
"New Tax Rate","Neuer Steuersatz"
"No","Nein"
"None","keine"
"One of the country has invalid code.","Eines der Bundesländer hat einen ungültigen Code."
"Orders, Invoices, Creditmemos Display Settings","Anzeige in Bestellungen, Rechnungen, Gutschriften"
"Original price only","Nur Originalpreis"
"Price Display Settings","Preisanzeige"
"Priority","Priorität"
"Product Tax Class","Artikelsteuerklasse"
