"%s","%s"
"-- Please Select --","-- Bitte wählen --"
"Actions","Aktionen"
"Add Layout Update","Layout Update hinzufügen"
"Add New Widget Instance","Neue Widget Instanz hinzufügen"
"All","Alle"
"All Pages","Alle Seiten"
"All Product Types","Alle Artikelarten"
"Anchor Categories","Ankerkategorien"
"Assign to Store Views","Zuweisen zu StoreViews"
"Big Image","Großes Bild"
"Block Reference","Block Referenz"
"CMS","CMS"
"Categories","Kategorien"
"Choose...","Bitte wählen"
"Close","Schließen"
"Continue","Fortsetzen"
"Default Template","Standardvorlage"
"Delete","Löschen"
"Design Package/Theme","Design Paket/Theme"
"Export to:","Export nach:"
"Frontend Properties","Frontend Eigenschaften"
"Generic Pages","Generische Seiten"
"Images","Bilder"
"Insert Widget","Widget einfügen"
"Layout Updates","Layout Updates"
"Manage Widget Instances","Widget Instanzen verwalten"
"New Instance","Neue Instanz"
"New Widget Instance","Neue Widget Instanz"
"Next page","Nächste Seite"
"Non-Anchor Categories","Keine Anker-Kategorien"
"Not Selected","Nicht ausgewählt"
"Page","Seite"
"Please Select Block Reference First","Bitte zuerst Block Referenz wählen"
"Previous page","Letzte Seite"
"Products","Artikel"
"Remove Layout Update","Layout Update entfernen"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Select All","Alle auswählen"
"Select Visible","Sichtbare auswählen"
"Settings","Einstellungen"
"Sort Order","Reihenfolge"
"Sort Order of widget instances in the same block reference","Reihenfolge der Widget-Instanzen innerhalb der gleichen Block Referenz."
"Specific %s","Bestimmte %s"
"Specified Page","Bestimmte Seite"
"Template","Vorlage"
"The information in this tab has been changed.","Die Information in diesem Tab wurde geändert."
"The widget instance has been deleted.","Die Widget Instanz wurde gelöscht."
"The widget instance has been saved.","Die Widget Instanz wurde gespeichert."
"This tab contains invalid data. Please solve the problem before saving.","Dieses Tab enthält ungültige Daten. Bitte beheben Sie dieses Problem bevor Sie speichern."
"Thumbnail","Miniaturbild"
"Total %d records found","Insgesamt %d Einträge gefunden"
"Type","Art"
"Unselect All","Alle abwählen"
"Unselect Visible","Sichtbare abwählen"
"View","Ansicht"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Instance","Widget Instanz"
"Widget Instance Title","Widget Instanz Titel"
"Widget Options","Widget Optionen"
"Widget Type","Widget Art"
"Widget Type is not specified","Widget Typ ist nicht angegeben"
"Widget instance is not full complete to create.","Widget Instanz ist nicht komplett, um angelegt zu werden."
"Widgets","Widgets"
"Wrong wigdet instance specified.","Falsche Widget-Instanz angegeben."
"items selected","Artikel ausgewählt"
"of %s pages","von %s Seiten"
"per page","pro Seite"
