" But cart has some errors."," Aber der Warenkorb enthält Fehler."
"""Description"" is more than %d characters long","""Beschreibung"" ist länger als %d Zeichen"
"""Title"" is more than %d characters long","""Titel"" ist länger als %d Zeichen"
"%1$s has been added to your wishlist.","%1$s wurde zum Wunschzettel hinzugefügt."
"%1$s incl tax.","%1$s inkl. Steuern."
"%s API Key required.","%s API Schlüssel erforderlich"
"%s Application ID required.","%s API Application ID erforderlich"
"%s Secret Key required.","%s Geheimschlüssel erforderlich"
"%s has been added to your cart.","%s wurde zum Warenkorb hinzugefügt."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Enthält mehr Länder als unten aufgeführt. Als Inhaber der Applikation sind Sie verpflichtet, die Einhaltung der länderspezifischen Gesetze zu Verteilung und Verkauf Ihrer Anwendung in diesen Ländern sicherzustellen, inklusive Ihres Heimatlandes.)"
"*Subject to change","* Änderungen vorbehalten"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank"">Anmelden</a> bei Urban Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Eine App, die ausschließlich den Katalog präsentiert enthält keine Funktionen wie Warenkorb, Wunschzettel oder Login."
"A new password has been sent.","Ein neues Passwort wurde gesendet."
"Account","Account"
"Account confirmation is required. Please check your email for the confirmation link.","Eine Bestätigung des Accounts ist notwendig. Bitte überprüfen Sie Ihren Posteingang auf eine eMail mit dem Bestätigungslink."
"Account information has been saved.","Account Informationen wurden gespeichert."
"Action","Altion"
"Activate","Aktivieren"
"Activate PayPal Checkout","PayPal Checkout aktivieren"
"Activation Key","Aktivierungsschlüssel"
"Add App","App hinzufügen"
"Add New Template","Neue Vorlage hinzufügen"
"Add Page","Seite hinzufügen"
"Add to Cart","In den Warenkorb"
"Add to Wishlist","Auf den Wunschzettel"
"Additional Address","Zusätzliche Adressen"
"Additional Product Info","Zusätzliche Artikelinfo"
"Address","Adresse"
"Address 2","Adresse 2. Zeile"
"Address data not specified.","Adressdaten nicht eingegeben."
"Address does not belong to this customer.","Adresse gehört nicht zu diesem Kunden."
"Address has been deleted.","Adresse wurde gelöscht."
"Address has been saved.","Adresse wurde gespeichert."
"Administrative contact for this app and for app submission issues.","Ansprechpartner für diese App."
"Advanced Settings","Erweitert"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","Nachdem die App an Magento übermittelt wurde, nehmen Sie bitte mit <a href=""mailto:%1$s"">%1$s</a> Kontakt auf, um den Anwendungsschlüssel und den Anwendungshauptkennwort zu erhalten."
"AirMail Message Queue","AirMail Nachrichten Warteschlange"
"AirMail Messages Queue","AirMail Nachrichten Warteschlange"
"AirMail Template Preview","AirMail Vorlagenvorschau"
"AirMail message","AirMail Nachricht"
"AirMail templates","AirMail Vorlagen"
"All Allowed Countries","Alle erlaubten Länder"
"All locations","Alle Orte"
"An account with this email address already exists.","Mit dieser Adresse besteht bereits ein Account."
"An error occurred while adding item to wishlist.","Es ist ein Fehler beim Hinzufügen zum Wunschzettel aufgetreten."
"An error occurred while deleting the address.","Es ist ein Fehler beim Löschen der Adresse aufgetreten."
"An error occurred while loading category filters.","Es ist ein Fehler beim Laden der Kategoriefilter aufgetreten."
"An error occurred while processing your order. Please contact us or try again later.","Es ist ein Fehler beim Bearbeiten Ihrer Bestellung aufgetreten. Bitte nehmen Kontakt mit uns auf oder versuchen Sie es zu einem späteren Zeitpunkt noch einmal."
"An error occurred while processing your request.","Es ist ein Fehler beim Bearbeiten Ihrer Anfrage aufgetreten."
"An error occurred while removing item from wishlist.","Es ist ein Fehler beim Entfernen des Artikels vom Wunschzettel aufgetreten."
"An error occurred while removing items from wishlist.","Es ist ein Fehler beim Entfernen der Artikel vom Wunschzettel aufgetreten."
"Analytics","Analytics"
"Android","Android"
"App Background","App Hintergrund"
"App Background (landscape mode).","App Hintergrund (Quer)"
"App Background (portrait mode).","App Hintergrund (Hoch)"
"App Background <br />(landscape mode)","App Hintergrund<br />(Quer)"
"App Background <br />(portrait mode)","App Hintergrund<br />(Hoch)"
"App Background image missing.","App Hintergrund fehlt."
"App Code","App Code"
"App Information","App Information"
"App Name","App Name"
"App Stores","App Stores"
"App Submission History","App Übertragungsprotokoll"
"App Title","App Titel"
"App code required.","App Code notwendig."
"App does not exist.","App existiert nicht."
"App has been deleted.","App wurde gelöscht."
"App has been saved.","App wurde gespeichert."
"App has been submitted.","App wurde übertragen."
"App model not loaded.","App-Model nicht geladen."
"App with specified code does not exist.","Unter diesem App Code App wurde keine App gefunden."
"Appears in the info section of your app (example: Copyright 2010 – Your Company, Inc.)","Ist im Infobereich Ihrer App sichtbar (Beispiel: Copyright 2011 – Ihr Firmenname)"
"Application","Anwendung"
"Application Key","Anwendungsschlüssel"
"Application Master Secret","Anwendungshauptpasswort"
"Application Name","Anwendungsame"
"Application Secret","Anwendungspasswort"
"Are you sure you want to delete this theme? This change will affect all applications.","Sind Sie sicher, dass Sie diese Vorlage löschen möchten? Dieser Vorgang betrifft alle Apps."
"Are you sure you whant to cancel a message?","Sind Sie sicher, dass Sie die Nachricht stornieren möchten?"
"Are you sure you whant to delete a message?","Sind Sie sicher, dass Sie die Nachricht löschen möchten?"
"Are you sure you what to cancel selected records?","Sind Sie sicher, dass Sie die gewählten Einträge stornieren möchten?"
"Are you sure you what to delete selected records?","Sind Sie sicher, dass Sie die gewählten Einträge löschen möchten?"
"As a Magento customer, Urban Airship is offering you unlimited Push Notifications and Rich Push for $100/year* along with a 60 day free trial.","Als Magento-Kunde bietet Ihnen Urban Airshop unbegrenzte Push-Meldungen und umfangreichere Push Meldungen für 100 USD pro Jahr, sowie eine 60 tägige Testphase an."
"Authentication complete.","Bestätigung komplett."
"Back","Zurück"
"Back to App Edit","Zurück zu App bearbeiten"
"Background Color","Hintergrundfarbe"
"Banner on Home Screen","Banner Home-Bildschirm"
"Banner on Home Screen (landscape mode) image missing.","Banner Home-Bildschirm (Quer)"
"Banner on Home Screen (portrait mode) image missing.","Banner Home-Bildschirm (Hoch)"
"Banner on Home Screen <br />(landscape mode)","Banner Home-Bildschirm <br />(Quer)"
"Banner on Home Screen <br />(portrait mode)","Banner Home-Bildschirm <br />(Hoch)"
"Banner on Home Screen image missing.","Banner Home-Bildschirm fehlt."
