"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Alle Kreditkarten / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International"
"All Polish Banks","Alle Polnischen Banken"
"CartaSi","CartaSi"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (powered by Moneybookers) - Italien"
"Carte Bleue","Carte Bleue"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (powered by Moneybookers) - Frankreich"
"Credit Card / Visa, Mastercard, AMEX, JCB, Diners","Credit Card / Visa, Mastercard, AMEX, JCB, Diners"
"Customer ID","Kunden-ID"
"Customer was redirected to Moneybookers.","Kunde wurde zu Moneybookers umgeleitet."
"Dankort","Dankort"
"Dankort (powered by Moneybookers) - Denmark","Dankort (powered by Moneybookers) - Dänemark"
"EPS Online-Überweisung","EPS Online-Überweisung"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (powered by Moneybookers) - Österreich"
"Enabled","Aktiviert"
"Giropay","Giropay"
"Giropay (powered by Moneybookers) - Germany","Giropay (powered by Moneybookers) - Deutschland"
"Laser","Laser"
"Laser (powered by Moneybookers) - Ireland","Laser (powered by Moneybookers) - Irland"
"Lastschrift (ELV)","Lastschrift (ELV)"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (powered by Moneybookers) - Deutschland"
"Loading secure payment page (SSL)","Lade sichere Bezahlseite (SSL)"
"Moneybookers","Moneybookers"
"Moneybookers Info URL","Moneybookers Info URL"
"Moneybookers Settings","Moneybookers Einstellungen"
"Moneybookers Transaction ID: %s","Moneybookers Transaktions-ID: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Mehr Informationen über Moneybookers"
"Nordea Solo","Nordea Solo"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (powered by Moneybookers) - Finnland"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (powered by Moneybookers) - Schweden"
"Order ID","Bestell-ID"
"POLi","POLi"
"POLi (powered by Moneybookers) - Australia","POLi (powered by Moneybookers) - Australien"
"Payment failed","Zahlung fahlgeschlagen"
"Payment from Applicable Countries","Zahlung aus zugelassenen Ländern"
"Payment from Specific Countries","Zahlung von bestimmten Ländern"
"Payment has not been processed yet.","Zahlung wurde noch nicht abgeschlossen."
"Payment was canceled","Zahlung wurde storniert"
"Pending bank transfer created.","Ausstehender Banktransfer angelegt."
"Please pay your order now","Bitte bezahlen Sie Ihre Bestellung jetzt"
"Postepay","Postepay"
"Postepay (powered by Moneybookers) - Italy","Postepay (powered by Moneybookers) - Italien"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (powered by Moneybookers) - Polen"
"Sofortüberweisung","Sofortüberweisung"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (powered by Moneybookers) - Deutschland"
"Sort Order","Reihenfolge"
"The amount has been authorized and captured by Moneybookers.","Der Betrag wurde von Moneybookers authorisiert und erfasst."
"The order has been canceled.","Die Bestellung wurde storniert."
"Title","Titel"
"You will be redirected to our secure payment page when you place an order.","Sie werden zu unserer sicheren Bezahlseite weitergeleitet wenn Sie die Bestellung abschließen."
"eNETS","eNETS"
"eNETS (powered by Moneybookers) - Singapore","eNETS (powered by Moneybookers) - Singapur"
"iDeal","iDeal"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (powered by Moneybookers) - Niederlande"

"Email Address of Your Moneybookers Account","E-Mail Adresse von Ihrem Moneybookers Konto"
"Secret Word","Geheimes Wort"
